dimension_id,dimension,rank,activation,descriptor_row,panorama_sample_index,city_key,panoid,patch_row,patch_column,dominant_semantic_id,dominant_semantic,dominant_semantic_fraction
0,D000,1,3.3203125,20772,20780,India/NewDelhi,I6-kC_HIkgXrM0p6_TEWaA,8,9,30,Vegetation,1.0
0,D000,2,3.26171875,6534,6542,Bangladesh/Dhaka,GD01gLeJAa0QXGxGLcQCPQ,7,9,30,Vegetation,1.0
0,D000,3,3.25390625,20772,20780,India/NewDelhi,I6-kC_HIkgXrM0p6_TEWaA,7,10,30,Vegetation,1.0
0,D000,4,3.244140625,7170,7178,Bangladesh/Dhaka,Q382rbrYmg1RlkkXMepltw,7,9,29,Terrain,0.908203125
0,D000,5,3.2421875,22402,22410,Indonesia/Jakarta,2xlByGWlTn8m0dLNKL5Bqg,7,9,29,Terrain,0.9111328125
0,D000,6,3.232421875,6065,6073,Bangladesh/Dhaka,6wYDLp0wEw_b6x22mZASBQ,8,11,30,Vegetation,0.5185546875
0,D000,7,3.23046875,20772,20780,India/NewDelhi,I6-kC_HIkgXrM0p6_TEWaA,7,9,30,Vegetation,1.0
0,D000,8,3.2265625,6065,6073,Bangladesh/Dhaka,6wYDLp0wEw_b6x22mZASBQ,8,10,29,Terrain,0.59130859375
0,D000,9,3.216796875,24946,24954,Japan/Osaka,WgBuJ8oIoQSYm0A3RBryWg,8,10,26,Sand,1.0
0,D000,10,3.212890625,7714,7722,Bangladesh/Dhaka,jfWwZKpy_4mLFVIsEeRfmQ,7,9,30,Vegetation,1.0
0,D000,11,3.212890625,20772,20780,India/NewDelhi,I6-kC_HIkgXrM0p6_TEWaA,8,10,30,Vegetation,1.0
0,D000,12,3.20703125,6042,6050,Bangladesh/Dhaka,6Z5OcUcwhNU9vPjrsYnh9Q,8,10,29,Terrain,1.0
1,D001,1,3.078125,21615,21623,India/NewDelhi,nbTwGJaadPnKSgkhhqOp9w,7,55,30,Vegetation,0.55517578125
1,D001,2,3.021484375,29215,29223,Mexico/MexicoCity,UFrcqYLJTQ4MvUKiWZqU8g,7,27,30,Vegetation,0.95263671875
1,D001,3,3.013671875,51992,52000,Turkey/Istanbul,1A0fE2T_IXH-a3OPZlFrow,7,20,17,Building,0.552734375
