heatmap_row,dimension_id,dimension,semantic_cluster_16,top1_class,assessment
0,285,D285,1,Tunnel,clear_single_semantic
1,489,D489,1,Tunnel,clear_single_semantic
2,411,D411,1,Tunnel,coherent_semantic_mixture
3,470,D470,1,Vegetation,coherent_semantic_mixture
4,347,D347,2,Sky,clear_single_semantic
5,320,D320,2,Sky,clear_single_semantic
6,135,D135,2,Sky,clear_single_semantic
7,76,D076,2,Sky,clear_single_semantic
8,440,D440,2,Sky,clear_single_semantic
9,422,D422,2,Sky,clear_single_semantic
10,36,D036,2,Sky,clear_single_semantic
11,229,D229,2,Sky,clear_single_semantic
12,131,D131,2,Sky,clear_single_semantic
13,353,D353,2,Sky,clear_single_semantic
14,134,D134,2,Sky,clear_single_semantic
15,127,D127,2,Sky,clear_single_semantic
16,281,D281,2,Sky,clear_single_semantic
17,487,D487,2,Sky,clear_single_semantic
18,136,D136,2,Sky,clear_single_semantic
19,98,D098,2,Sky,clear_single_semantic
20,245,D245,2,Sky,clear_single_semantic
21,180,D180,2,Sky,clear_single_semantic
22,181,D181,2,Sky,clear_single_semantic
23,174,D174,2,Sky,clear_single_semantic
24,250,D250,2,Sky,clear_single_semantic
25,331,D331,2,Sky,clear_single_semantic
26,197,D197,2,Sky,clear_single_semantic
27,407,D407,2,Sky,clear_single_semantic
28,437,D437,2,Sky,clear_single_semantic
29,284,D284,2,Sky,clear_single_semantic
30,282,D282,2,Sky,clear_single_semantic
31,201,D201,2,Sky,clear_single_semantic
32,9,D009,2,Sky,clear_single_semantic
33,157,D157,2,Sky,clear_single_semantic
34,10,D010,2,Sky,clear_single_semantic
35,364,D364,2,Sky,clear_single_semantic
36,270,D270,2,Sky,clear_single_semantic
37,485,D485,2,Sky,clear_single_semantic
38,269,D269,2,Sky,clear_single_semantic
39,421,D421,2,Sky,clear_single_semantic
40,12,D012,2,Sky,clear_single_semantic
41,399,D399,2,Sky,clear_single_semantic
42,161,D161,2,Sky,clear_single_semantic
43,113,D113,2,Sky,clear_single_semantic
44,283,D283,2,Sky,clear_single_semantic
45,342,D342,2,Sky,clear_single_semantic
46,189,D189,2,Sky,clear_single_semantic
47,50,D050,2,Sky,clear_single_semantic
48,368,D368,2,Sky,clear_single_semantic
49,300,D300,2,Sky,clear_single_semantic
50,121,D121,2,Sky,clear_single_semantic
51,495,D495,2,Sky,clear_single_semantic
52,310,D310,2,Sky,clear_single_semantic
53,64,D064,2,Sky,clear_single_semantic
54,420,D420,2,Sky,clear_single_semantic
55,443,D443,2,Sky,clear_single_semantic
56,350,D350,2,Sky,clear_single_semantic
57,447,D447,2,Vegetation,coherent_semantic_mixture
58,365,D365,2,Vegetation,coherent_semantic_mixture
59,84,D084,2,Sky,coherent_semantic_mixture
60,255,D255,2,Vegetation,coherent_semantic_mixture
61,375,D375,2,Sky,coherent_semantic_mixture
62,17,D017,2,Vegetation,clear_single_semantic
63,434,D434,2,Vegetation,clear_single_semantic
64,486,D486,2,Vegetation,clear_single_semantic
65,70,D070,2,Vegetation,clear_single_semantic
66,196,D196,2,Vegetation,clear_single_semantic
67,362,D362,2,Vegetation,clear_single_semantic
68,363,D363,2,Vegetation,coherent_semantic_mixture
69,94,D094,2,Sky,coherent_semantic_mixture
70,86,D086,2,Sky,coherent_semantic_mixture
