sample_id,panorama_sample_index,panoid,heading,jpg_offset,jpg_size,lat,lon,year,month,place_id,split,tar_path,city_key,clean_direction_count,direction_index,pano_index,city_sample_index,sample_index,descriptor_row,selection_cluster,cluster_size,distance_to_cluster_centroid
P01,9064,d5opaNGOpCAddTCY6eKcFw,0,261746688,75783,-23.57432599761516,-46.48068284604112,2010,2,t99SVXRKTrGuSVj2AR2vfw,train,/nas_data_24T/GSV/packages_main/cities/Brazil/SaoPaulo/shard-000246.tar,Brazil/SaoPaulo,1,0,5247,4,36256,9056,7,6326,0.5341325998306274
P02,4277,I6cTuX0SA5HsAdtCKYqHTA,0,151690752,86510,48.15149398740326,16.38515061390872,2021,7,4y7FhT8VROu0Uqxgd1xAtQ,train,/nas_data_24T/GSV/packages_main/cities/Austria/Vienna/shard-000045.tar,Austria/Vienna,1,0,1293,2,17108,4276,10,5269,0.554327130317688
P03,44146,-BoSmWWb39NpkaEBQl3qlw,0,598568448,85240,-26.07226166859195,28.2145047373047,2023,8,poEYBD0eSfur4zE-7ItJBg,train,/nas_data_24T/GSV/packages_main/cities/SouthAfrica/Johannesburg/shard-000001.tar,SouthAfrica/Johannesburg,1,0,677,22,176584,44138,15,4858,0.5435760617256165
P04,245,5peVGgpmLDEV6H20vn9ocw,0,719203840,61933,-34.77757508784625,-58.45943436785352,2015,11,xULmzNChSjGPMo8BQdipZA,train,/nas_data_24T/GSV/packages_main/cities/Argentina/BuenosAires/shard-000281.tar,Argentina/BuenosAires,1,0,1164,0,980,245,6,4679,0.6256837248802185
P05,40139,HF7oljHtXoyEA_nYyo0TzA,0,97457152,95008,1.384100543746813,103.8470927330031,2023,1,vHKsH43LSPaMoUl2oUUrLA,train,/nas_data_24T/GSV/packages_main/cities/Singapore/Singapore/shard-000039.tar,Singapore/Singapore,2,0,633,20,160556,40131,18,4438,0.5683493614196777
P06,43512,oCWY0oUsp1UWeCmHhzgesg,0,196576768,74410,-34.01846534875395,18.62060070423097,2021,6,96pZZrh9Q4y-0Nhg9LmiTQ,train,/nas_data_24T/GSV/packages_main/cities/SouthAfrica/CapeTown/shard-000159.tar,SouthAfrica/CapeTown,1,0,7571,21,174048,43504,1,4131,0.5194555521011353
P07,37231,gahg8dFuCqkIBizInteG2w,0,921585664,114717,14.87566205223489,120.8498831518224,2022,6,6LdawPBzSC2IJVmiWnxQzw,train,/nas_data_24T/GSV/packages_main/cities/Philippines/Manila/shard-000286.tar,Philippines/Manila,1,0,6243,18,148924,37223,5,3856,0.5229634046554565
P08,56194,-PNL3pV0L_OlyH5GJB2Ycg,0,621737984,88721,33.78270208050503,-118.0993308595203,2018,4,WkUT2wb3RkigQPiCgEHNug,train,/nas_data_24T/GSV/packages_main/cities/UnitedStates/LosAngeles/shard-000011.tar,UnitedStates/LosAngeles,1,0,1036,28,224776,56186,0,3554,0.5380879044532776
P09,35695,s01vEApgya7iLRtyvnIHQQ,0,290543616,62862,-12.04235398706241,-76.91719636061491,2024,7,_n4oagJiTiOu3Z8YFm8O7w,train,/nas_data_24T/GSV/packages_main/cities/Peru/Lima/shard-000226.tar,Peru/Lima,1,0,8372,17,142780,35687,19,3423,0.5700262188911438
P10,32473,LaPAljCtkpMqTJOT8lakiA,0,399678464,47494,6.448201918504503,3.229327904909391,2017,3,eRICSk-iT1Cf-zvOVmsHRA,train,/nas_data_24T/GSV/packages_main/cities/Nigeria/Lagos/shard-000122.tar,Nigeria/Lagos,2,0,2400,16,129892,32465,4,3350,0.5901020169258118
P11,49588,gngWL40-wQAMYysOdj86cg,0,450946560,90951,24.98745352537675,121.5781080839403,2016,7,gCEoNvuGRuafftl2PZbcDg,train,/nas_data_24T/GSV/packages_main/cities/Taiwan/Taipei/shard-000086.tar,Taiwan/Taipei,1,0,7952,24,198352,49580,14,2793,0.7209632396697998
P12,3810,s9SEkPzaxadC7J9jK5ZNVA,0,381427200,63564,-33.9214196667284,151.1732103122989,2025,5,GpuFxGDdR7G-yohbMyeEXA,train,/nas_data_24T/GSV/packages_main/cities/Australia/Sydney/shard-000315.tar,Australia/Sydney,1,0,8956,1,15240,3810,17,2736,0.6542091965675354
P13,20654,I2VYTGDE2w8ODI7z-zFmUQ,0,37711872,64236,28.63939795549098,77.34173118846127,2022,5,2Yrbt560T4SIXwojJmVkYg,train,/nas_data_24T/GSV/packages_main/cities/India/NewDelhi/shard-000235.tar,India/NewDelhi,1,0,2961,10,82616,20646,3,2634,0.6255508661270142
P14,59807,GdqRzJLix9K-Quv4FokBng,0,263696384,123949,40.79763926474898,-73.53290841873148,2025,8,TTSVNGn8QRG_DXUbjR17ag,train,/nas_data_24T/GSV/packages_main/cities/UnitedStates/NewYorkCity/shard-000287.tar,UnitedStates/NewYorkCity,2,0,8773,29,239228,59799,11,2071,0.5271509885787964
P15,24523,JgthJn3aTGt-SPNGOZWq1w,0,438808064,73623,34.93816498639943,135.8143060250558,2015,3,fDQ9LKpUSom0zldtosfmBQ,train,/nas_data_24T/GSV/packages_main/cities/Japan/Osaka/shard-000496.tar,Japan/Osaka,1,0,2517,12,98092,24515,8,1808,0.4647866487503052
P16,15936,zh6gmP6XsqUSpJw181p-Sw,0,69639680,90615,4.664295747572869,-74.05387870192328,2018,9,DYZU-7FVRkum148olVQNXA,train,/nas_data_24T/GSV/packages_main/cities/Colombia/Bogota/shard-000204.tar,Colombia/Bogota,1,0,9673,7,63744,15928,2,1775,0.7247162461280823
P17,16748,1a3j8MQX3amK7utvHv5r2g,0,793974272,91934,48.76447683630949,2.167990563880687,2023,2,aehTyJ-CS964e4W-khWIsg,train,/nas_data_24T/GSV/packages_main/cities/France/Paris/shard-000015.tar,France/Paris,2,0,3696,8,66992,16740,13,1505,0.6157243251800537
P18,28848,P3lRky3Zf2YRHOBITsp79Q,0,58046464,92381,19.4402423951352,-99.12859500865476,2022,6,4YLiMqtJQmyTjU4HeiRp-w,train,/nas_data_24T/GSV/packages_main/cities/Mexico/MexicoCity/shard-000522.tar,Mexico/MexicoCity,1,0,4385,14,115392,28840,12,499,0.8159925937652588
P19,30045,CWpZGaQJ4oL3I5OuYCCMhg,0,879488512,83483,52.34290894461899,4.901338186603954,2016,6,HFVvNzYTQIuuBMQDsT9s2g,train,/nas_data_24T/GSV/packages_main/cities/Netherlands/Amsterdam/shard-000026.tar,Netherlands/Amsterdam,2,0,299,15,120180,30037,16,175,0.736126184463501
