sample_id,rank,dimension_id,image_activation_top20,global_top_semantic,global_top_semantic_share,global_top3_semantic_share,assessment
P01,1,161,3.40625,Sky,0.95567236328125,0.9996723632812501,clear_single_semantic
P01,2,105,3.267578125,Road,0.9324380798339844,0.9959474635124207,clear_single_semantic
P01,3,372,3.234375,Tunnel,0.2656227684020996,0.6677489495277404,spatial_artifact_candidate
P01,4,119,3.220703125,Vegetation,0.963611083984375,0.9984997062683106,clear_single_semantic
P01,5,171,3.203125,Road,0.31827067136764525,0.6501873507499695,spatial_artifact_candidate
P01,6,164,2.986328125,Vegetation,0.5224132561683654,0.703256456375122,low_mapillary_specificity
P02,1,329,3.720703125,Car,0.6816746082305908,0.9588723740577698,clear_single_semantic
P02,2,171,3.525390625,Road,0.31827067136764525,0.6501873507499695,spatial_artifact_candidate
P02,3,270,3.4765625,Sky,0.93637109375,0.9860044598579407,clear_single_semantic
P02,4,168,3.40625,Building,0.9042409286499024,0.9676411690711976,clear_single_semantic
P02,5,372,3.275390625,Tunnel,0.2656227684020996,0.6677489495277404,spatial_artifact_candidate
P02,6,419,3.251953125,Fence,0.23817074632644653,0.5445407900810242,spatial_artifact_candidate
P03,1,105,3.654296875,Road,0.9324380798339844,0.9959474635124207,clear_single_semantic
P03,2,372,3.646484375,Tunnel,0.2656227684020996,0.6677489495277404,spatial_artifact_candidate
P03,3,451,3.35546875,Vegetation,0.993484375,0.9984356651306152,clear_single_semantic
P03,4,38,3.072265625,Road,0.7970420846939087,0.912673948764801,clear_single_semantic
P03,5,270,3.04296875,Sky,0.93637109375,0.9860044598579407,clear_single_semantic
P03,6,119,3.01953125,Vegetation,0.963611083984375,0.9984997062683106,clear_single_semantic
P04,1,105,3.865234375,Road,0.9324380798339844,0.9959474635124207,clear_single_semantic
P04,2,372,3.712890625,Tunnel,0.2656227684020996,0.6677489495277404,spatial_artifact_candidate
P04,3,270,3.48046875,Sky,0.93637109375,0.9860044598579407,clear_single_semantic
P04,4,476,3.16015625,Road,0.649257257938385,0.8246054635047912,clear_single_semantic
P04,5,300,3.146484375,Sky,0.5779146881103515,0.8091196498870848,clear_single_semantic
P04,6,491,3.130859375,Road,0.29492275190353395,0.6950186791419983,spatial_artifact_candidate
P05,1,372,3.384765625,Tunnel,0.2656227684020996,0.6677489495277404,spatial_artifact_candidate
P05,2,451,3.326171875,Vegetation,0.993484375,0.9984356651306152,clear_single_semantic
P05,3,270,3.2578125,Sky,0.93637109375,0.9860044598579407,clear_single_semantic
P05,4,105,3.119140625,Road,0.9324380798339844,0.9959474635124207,clear_single_semantic
P05,5,335,3.080078125,Road,0.27458690834045413,0.6590480256080629,spatial_artifact_candidate
P05,6,180,3.080078125,Sky,0.9733043212890625,0.9901846923828125,clear_single_semantic
P06,1,270,3.591796875,Sky,0.93637109375,0.9860044598579407,clear_single_semantic
P06,2,171,3.087890625,Road,0.31827067136764525,0.6501873507499695,spatial_artifact_candidate
P06,3,168,2.9765625,Building,0.9042409286499024,0.9676411690711976,clear_single_semantic
P06,4,161,2.970703125,Sky,0.95567236328125,0.9996723632812501,clear_single_semantic
P06,5,372,2.955078125,Tunnel,0.2656227684020996,0.6677489495277404,spatial_artifact_candidate
P06,6,476,2.9296875,Road,0.649257257938385,0.8246054635047912,clear_single_semantic
P07,1,171,3.328125,Road,0.31827067136764525,0.6501873507499695,spatial_artifact_candidate
P07,2,451,3.263671875,Vegetation,0.993484375,0.9984356651306152,clear_single_semantic
P07,3,124,3.09765625,Vegetation,0.6749069290161133,0.9963552923202514,clear_single_semantic
P07,4,119,3.09375,Vegetation,0.963611083984375,0.9984997062683106,clear_single_semantic
P07,5,270,3.03515625,Sky,0.93637109375,0.9860044598579407,clear_single_semantic
P07,6,278,3.029296875,Building,0.9390323181152344,0.991138635635376,clear_single_semantic
P08,1,372,3.513671875,Tunnel,0.2656227684020996,0.6677489495277404,spatial_artifact_candidate
P08,2,105,3.310546875,Road,0.9324380798339844,0.9959474635124207,clear_single_semantic
P08,3,270,3.236328125,Sky,0.93637109375,0.9860044598579407,clear_single_semantic
P08,4,213,3.19140625,Barrier,0.4130151753425598,0.6749602603912354,low_mapillary_specificity
