class_id,class_name,pixel_count,pixel_share,images_present,image_presence_share
27,Sky,40003301,0.24416077270507813,389,0.9725
13,Road,35574634,0.21713033447265626,389,0.9725
30,Vegetation,29003840,0.177025390625,384,0.96
17,Building,24145639,0.14737328491210938,382,0.955
29,Terrain,6419877,0.039183819580078126,268,0.67
15,Sidewalk,4955947,0.030248699951171874,307,0.7675
3,Fence,3617321,0.022078375244140625,301,0.7525
55,Car,3321805,0.020274688720703125,291,0.7275
6,Wall,2597569,0.015854302978515623,282,0.705
2,Curb,1853349,0.011311944580078125,336,0.84
24,Lane Marking - General,1492156,0.0091073974609375,197,0.4925
16,Bridge,1330831,0.008122747802734375,54,0.135
26,Sand,1142960,0.00697607421875,46,0.115
5,Barrier,872993,0.005328326416015625,76,0.19
47,Utility Pole,823237,0.005024639892578125,219,0.5475
35,Billboard,670219,0.004090692138671875,191,0.4775
64,Ego Vehicle,637140,0.0038887939453125,29,0.0725
61,Truck,538096,0.00328427734375,89,0.2225
45,Pole,523805,0.003197052001953125,308,0.77
23,Lane Marking - Crosswalk,436135,0.002661956787109375,42,0.105
59,Other Vehicle,410048,0.002502734375,43,0.1075
10,Parking,378832,0.00231220703125,79,0.1975
19,Person,312973,0.001910235595703125,158,0.395
57,Motorcycle,265523,0.001620623779296875,75,0.1875
4,Guard Rail,253308,0.0015460693359375,55,0.1375
11,Pedestrian Area,238545,0.001455963134765625,26,0.065
7,Bike Lane,210760,0.001286376953125,12,0.03
12,Rail Track,186566,0.00113870849609375,19,0.0475
63,Car Mount,183044,0.0011172119140625,8,0.02
51,Trash Can,166106,0.00101383056640625,87,0.2175
14,Service Lane,163754,0.00099947509765625,20,0.05
9,Curb Cut,119929,0.000731988525390625,115,0.2875
25,Mountain,109642,0.00066920166015625,41,0.1025
50,Traffic Sign (Front),85689,0.000523004150390625,116,0.29
32,Banner,81724,0.0004988037109375,37,0.0925
21,Motorcyclist,72477,0.000442364501953125,47,0.1175
36,Catch Basin,66637,0.000406719970703125,56,0.14
49,Traffic Sign (Back),59148,0.0003610107421875,70,0.175
28,Snow,57824,0.0003529296875,4,0.01
52,Bicycle,53474,0.00032637939453125,35,0.0875
33,Bench,52153,0.000318316650390625,35,0.0875
39,Junction Box,48234,0.00029439697265625,43,0.1075
54,Bus,45116,0.0002753662109375,46,0.115
41,Manhole,44091,0.000269110107421875,55,0.1375
31,Water,42919,0.000261956787109375,19,0.0475
44,Street Light,39264,0.0002396484375,158,0.395
62,Wheeled Slow,27567,0.000168255615234375,15,0.0375
60,Trailer,22663,0.000138323974609375,8,0.02
43,Pothole,13910,8.489990234375e-05,12,0.03
48,Traffic Light,13730,8.380126953125e-05,25,0.0625
46,Traffic Sign Frame,11183,6.8255615234375e-05,25,0.0625
20,Bicyclist,10760,6.5673828125e-05,21,0.0525
8,Crosswalk - Plain,9736,5.9423828125e-05,5,0.0125
40,Mailbox,6452,3.93798828125e-05,15,0.0375
34,Bike Rack,3081,1.8804931640625e-05,6,0.015
18,Tunnel,2895,1.7669677734375e-05,3,0.0075
1,Ground Animal,2607,1.5911865234375e-05,5,0.0125
38,Fire Hydrant,1794,1.094970703125e-05,15,0.0375
53,Boat,1768,1.0791015625e-05,6,0.015
0,Bird,1528,9.326171875e-06,5,0.0125
58,On Rails,1140,6.9580078125e-06,4,0.01
56,Caravan,293,1.788330078125e-06,4,0.01
22,Other Rider,228,1.3916015625e-06,2,0.005
37,CCTV Camera,24,1.46484375e-07,1,0.0025
42,Phone Booth,7,4.2724609375e-08,2,0.005
