panoid,heading,jpg_offset,jpg_size,lat,lon,year,month,place_id,split,tar_path,city_key,clean_direction_count,direction_index,pano_index,city_sample_index,sample_index,panorama_sample_index
5oKZc7wMG82Vk06JLscnNA,0,456315904,64158,-34.73016474072246,-58.41839018625856,2013,12,-IKsJe2RTEOmBSmDQ1yCJA,train,/nas_data_24T/GSV/packages_main/cities/Argentina/BuenosAires/shard-000281.tar,Argentina/BuenosAires,1,0,891,0,0,0
5oKZc7wMG82Vk06JLscnNA,90,456585728,79449,-34.73016474072246,-58.41839018625856,2013,12,-IKsJe2RTEOmBSmDQ1yCJA,train,/nas_data_24T/GSV/packages_main/cities/Argentina/BuenosAires/shard-000281.tar,Argentina/BuenosAires,1,1,891,0,1,0
5oKZc7wMG82Vk06JLscnNA,180,456381952,97202,-34.73016474072246,-58.41839018625856,2013,12,-IKsJe2RTEOmBSmDQ1yCJA,train,/nas_data_24T/GSV/packages_main/cities/Argentina/BuenosAires/shard-000281.tar,Argentina/BuenosAires,1,2,891,0,2,0
5oKZc7wMG82Vk06JLscnNA,270,456480768,103185,-34.73016474072246,-58.41839018625856,2013,12,-IKsJe2RTEOmBSmDQ1yCJA,train,/nas_data_24T/GSV/packages_main/cities/Argentina/BuenosAires/shard-000281.tar,Argentina/BuenosAires,1,3,891,0,3,0
TMLl84M6I_BBp5A6bLJMBA,0,738256384,77705,-34.68573805913479,-58.70406924424806,2021,7,ZAy24wdbTAGv_TRMYBFdVA,train,/nas_data_24T/GSV/packages_main/cities/Argentina/BuenosAires/shard-000718.tar,Argentina/BuenosAires,1,0,4387,0,4,1
TMLl84M6I_BBp5A6bLJMBA,90,738335744,71533,-34.68573805913479,-58.70406924424806,2021,7,ZAy24wdbTAGv_TRMYBFdVA,train,/nas_data_24T/GSV/packages_main/cities/Argentina/BuenosAires/shard-000718.tar,Argentina/BuenosAires,1,1,4387,0,5,1
TMLl84M6I_BBp5A6bLJMBA,180,738408960,73550,-34.68573805913479,-58.70406924424806,2021,7,ZAy24wdbTAGv_TRMYBFdVA,train,/nas_data_24T/GSV/packages_main/cities/Argentina/BuenosAires/shard-000718.tar,Argentina/BuenosAires,1,2,4387,0,6,1
TMLl84M6I_BBp5A6bLJMBA,270,738484224,62694,-34.68573805913479,-58.70406924424806,2021,7,ZAy24wdbTAGv_TRMYBFdVA,train,/nas_data_24T/GSV/packages_main/cities/Argentina/BuenosAires/shard-000718.tar,Argentina/BuenosAires,1,3,4387,0,7,1
eqT4dhwInxJU6P23GwVnFg,0,278467584,86601,-34.54202055538862,-58.77091614742983,2014,1,woY8VYrqSki-Ztnu7s6OnQ,train,/nas_data_24T/GSV/packages_main/cities/Argentina/BuenosAires/shard-000448.tar,Argentina/BuenosAires,2,0,6543,0,8,2
eqT4dhwInxJU6P23GwVnFg,90,278724096,61555,-34.54202055538862,-58.77091614742983,2014,1,woY8VYrqSki-Ztnu7s6OnQ,train,/nas_data_24T/GSV/packages_main/cities/Argentina/BuenosAires/shard-000448.tar,Argentina/BuenosAires,2,1,6543,0,9,2
eqT4dhwInxJU6P23GwVnFg,180,278556160,85733,-34.54202055538862,-58.77091614742983,2014,1,woY8VYrqSki-Ztnu7s6OnQ,train,/nas_data_24T/GSV/packages_main/cities/Argentina/BuenosAires/shard-000448.tar,Argentina/BuenosAires,2,2,6543,0,10,2
eqT4dhwInxJU6P23GwVnFg,270,278643712,78781,-34.54202055538862,-58.77091614742983,2014,1,woY8VYrqSki-Ztnu7s6OnQ,train,/nas_data_24T/GSV/packages_main/cities/Argentina/BuenosAires/shard-000448.tar,Argentina/BuenosAires,2,3,6543,0,11,2
