city,n_valid_grids,n_adjacent_grid_pairs,mean_pairwise_similarity,median_pairwise_similarity,visual_homogeneity,visual_heterogeneity,local_visual_continuity,mean_morans_i
BuenosAires,829,554,0.8545013468807909,0.8650914966832985,0.8545013468807909,0.14549865311920906,0.8952893841461504,0.159311688850339
Sydney,1084,1369,0.88737920267931,0.89607529545778,0.88737920267931,0.11262079732068997,0.9107443761749241,0.14187203609828944
Vienna,637,1093,0.8834453276041231,0.895403323872372,0.8834453276041231,0.11655467239587691,0.9271355097283852,0.2601170028817985
Dhaka,509,432,0.8123083957933881,0.8235639399594632,0.8123083957933881,0.1876916042066119,0.8835978786213703,0.16619152355118122
SaoPaulo,997,1072,0.8830715055325652,0.8916567606387358,0.8830715055325652,0.11692849446743481,0.9027473335033598,0.08810763742680489
Toronto,832,550,0.8706480668250192,0.8778606407097118,0.8706480668250192,0.12935193317498084,0.8993425087159512,0.16315278293565028
HongKong,202,313,0.9020202456341725,0.9191964286169225,0.9020202456341725,0.09797975436582751,0.934803665424854,0.20986614282172114
Bogota,440,766,0.9122117957202623,0.9260301372512425,0.9122117957202623,0.08778820427973766,0.9442589840413032,0.19081065330516
Paris,754,470,0.8472348459643011,0.8577207346551533,0.8472348459643011,0.1527651540356989,0.8834787848032645,0.18981213648316123
Mumbai,555,879,0.8964856506470836,0.9077086640839772,0.8964856506470836,0.10351434935291637,0.9279405247221881,0.14891211343440006
NewDelhi,810,770,0.8368911578166205,0.850858660264782,0.8368911578166205,0.1631088421833795,0.8852023701232451,0.1522095577167402
Jakarta,583,342,0.8520418787995241,0.859738112493397,0.8520418787995241,0.1479581212004759,0.8757548754489481,0.07369786638441556
Osaka,851,624,0.869139809812177,0.8770517854311904,0.869139809812177,0.13086019018782302,0.8929837507598555,0.09192930809189515
KualaLumpur,882,1344,0.8898081566962344,0.8995081291367918,0.8898081566962344,0.11019184330376564,0.910002477216163,0.10185866074573102
MexicoCity,973,1066,0.8740019645900259,0.8848571198612742,0.8740019645900259,0.12599803540997412,0.9064163378289988,0.12435530059324852
Amsterdam,603,974,0.871590007476549,0.8834407571278744,0.871590007476549,0.12840999252345098,0.9190457762297378,0.25587590159905116
Lagos,739,1208,0.8717428963889301,0.8807956824212833,0.8717428963889301,0.1282571036110699,0.924158063364941,0.23099119590658193
Lima,707,1122,0.8851315285686912,0.8979975896205367,0.8851315285686912,0.11486847143130885,0.9294979155994247,0.21244787588302452
Manila,854,953,0.8723386948909171,0.8804611424077221,0.8723386948909171,0.1276613051090829,0.9038582486125325,0.1206789200817383
Moscow,599,285,0.8437644040510249,0.8538070496231093,0.8437644040510249,0.15623559594897507,0.8923110793447928,0.24892734201825256
Singapore,354,615,0.9317964764408836,0.9400836798732529,0.9317964764408836,0.06820352355911641,0.9532191649002253,0.15989462693624937
CapeTown,769,1275,0.9039880271223538,0.9114643187754514,0.9039880271223538,0.09601197287764618,0.9319973616329459,0.2032687995885138
Johannesburg,977,1124,0.8651766759841922,0.8747696409284935,0.8651766759841922,0.13482332401580777,0.9008923770805743,0.17458138280419502
Seoul,807,720,0.8553606499662588,0.8647305716836418,0.8553606499662588,0.14463935003374118,0.891503080190403,0.1075864232935293
Taipei,768,1134,0.8786250150065608,0.8857935490907454,0.8786250150065608,0.12137498499343924,0.9076267953807277,0.12966470650026518
Bangkok,865,801,0.8574381286827049,0.8657408626963579,0.8574381286827049,0.14256187131729514,0.8792414945797868,0.07392905514855341
Istanbul,974,1346,0.8635041732851142,0.8776354800772014,0.8635041732851142,0.1364958267148858,0.9029206418336352,0.15674148991525869
London,603,260,0.86014132564553,0.8678412907246059,0.86014132564553,0.13985867435446997,0.8799728188696753,0.14356209800187142
LosAngeles,205,24,0.873000995578517,0.8802019693023899,0.873000995578517,0.12699900442148304,0.8975718997576418,0.095919366528998
NewYorkCity,380,77,0.8571306733047986,0.866219324443252,0.8571306733047986,0.14286932669520136,0.8848385163480224,0.09335691764798906
