cluster_id,parent_cluster_id,member_dimensions,medoid_dimension,cluster_size,fine_children,mean_split_sample_jaccard,representative_images,representative_activation_maps
C000,ROOT,"[0, 18, 33, 56, 68, 93, 95, 128, 129, 154, 249, 395, 439, 464, 467, 468, 508]",56,17,"[""F000"", ""F038""]",0.6845781803131104,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_056/rank_01_Bangladesh__Dhaka_05520.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_056/rank_02_Bangladesh__Dhaka_00343.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_056/rank_03_Bangladesh__Dhaka_09031.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_056/rank_04_Philippines__Manila_06758.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_056/rank_05_Bangladesh__Dhaka_07058.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_056/rank_06_Malaysia__KualaLumpur_09419.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_056/rank_07_Bangladesh__Dhaka_08235.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_056/rank_08_Malaysia__KualaLumpur_03793.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_056/rank_09_Indonesia__Jakarta_10654.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_056/rank_10_Indonesia__Jakarta_07287.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_056/contact_sheet.jpg
C001,ROOT,"[1, 21, 40, 77, 164, 170, 217, 231, 238, 279, 285, 291, 304, 313, 345, 372, 382, 428]",1,18,"[""F001"", ""F031""]",0.798034131526947,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_001/rank_01_India__Mumbai_05588.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_001/rank_02_Peru__Lima_01486.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_001/rank_03_India__Mumbai_01033.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_001/rank_04_Thailand__Bangkok_06270.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_001/rank_05_Australia__Sydney_05243.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_001/rank_06_Bangladesh__Dhaka_04419.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_001/rank_07_Mexico__MexicoCity_00325.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_001/rank_08_India__NewDelhi_06331.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_001/rank_09_Bangladesh__Dhaka_03721.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_001/rank_10_India__NewDelhi_07473.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_001/contact_sheet.jpg
C002,ROOT,"[2, 49, 55, 81, 135, 149, 196, 254, 347, 354, 366, 407, 426, 457]",354,14,"[""F002""]",0.6048272252082825,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_354/rank_01_China__HongKong_07978.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_354/rank_02_China__HongKong_01122.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_354/rank_03_Philippines__Manila_10224.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_354/rank_04_China__HongKong_12538.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_354/rank_05_Singapore__Singapore_02297.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_354/rank_06_Malaysia__KualaLumpur_04557.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_354/rank_07_Bangladesh__Dhaka_03683.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_354/rank_08_China__HongKong_07142.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_354/rank_09_Brazil__SaoPaulo_00158.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_354/rank_10_China__HongKong_01952.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_354/contact_sheet.jpg
C003,ROOT,"[3, 4, 12, 50, 64, 74, 127, 155, 199, 201, 202, 263, 264, 311, 396, 448, 481, 493, 501]",493,19,"[""F003"", ""F037""]",0.6201124787330627,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_493/rank_01_China__HongKong_11826.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_493/rank_02_Malaysia__KualaLumpur_06105.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_493/rank_03_Indonesia__Jakarta_07458.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_493/rank_04_Brazil__SaoPaulo_10663.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_493/rank_05_Thailand__Bangkok_05346.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_493/rank_06_Taiwan__Taipei_10052.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_493/rank_07_Thailand__Bangkok_11144.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_493/rank_08_Thailand__Bangkok_07985.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_493/rank_09_SouthKorea__Seoul_05325.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_493/rank_10_SouthKorea__Seoul_05157.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_493/contact_sheet.jpg
C004,ROOT,"[5, 11, 121, 141, 174, 188, 262, 307, 315, 380, 393, 409, 418, 421, 456, 483]",262,16,"[""F004"", ""F010""]",0.48065993189811707,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_262/rank_01_India__Mumbai_07425.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_262/rank_02_UnitedKingdom__London_03937.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_262/rank_03_Argentina__BuenosAires_09798.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_262/rank_04_Turkey__Istanbul_06344.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_262/rank_05_UnitedStates__LosAngeles_07654.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_262/rank_06_Canada__Toronto_08279.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_262/rank_07_Malaysia__KualaLumpur_08177.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_262/rank_08_UnitedStates__LosAngeles_08811.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_262/rank_09_UnitedStates__LosAngeles_10003.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_262/rank_10_Canada__Toronto_02126.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_262/contact_sheet.jpg
C005,ROOT,"[6, 27, 100, 138, 145, 184, 245, 292, 295, 341, 349, 356, 381, 390, 394, 434, 440, 452, 488]",245,19,"[""F005"", ""F022"", ""F062""]",0.612128734588623,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_245/rank_01_Austria__Vienna_07006.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_245/rank_02_India__Mumbai_10306.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_245/rank_03_Malaysia__KualaLumpur_09225.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_245/rank_04_France__Paris_02999.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_245/rank_05_India__NewDelhi_09099.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_245/rank_06_India__Mumbai_01629.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_245/rank_07_India__Mumbai_02136.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_245/rank_08_India__NewDelhi_02396.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_245/rank_09_Austria__Vienna_07836.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_245/rank_10_India__NewDelhi_09884.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_245/contact_sheet.jpg
C006,ROOT,"[7, 28, 115, 137, 230, 327, 459, 460, 469]",460,9,"[""F006""]",0.7388888597488403,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_460/rank_01_India__Mumbai_06140.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_460/rank_02_Thailand__Bangkok_11537.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_460/rank_03_India__NewDelhi_04862.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_460/rank_04_India__Mumbai_12500.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_460/rank_05_India__NewDelhi_05407.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_460/rank_06_India__NewDelhi_02706.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_460/rank_07_India__Mumbai_09871.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_460/rank_08_India__NewDelhi_11927.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_460/rank_09_Nigeria__Lagos_03841.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_460/rank_10_India__NewDelhi_04305.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_460/contact_sheet.jpg
C007,ROOT,"[8, 89, 112, 122, 228, 269, 319, 346, 353, 379, 487]",319,11,"[""F007""]",0.7088842988014221,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_319/rank_01_Nigeria__Lagos_11415.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_319/rank_02_Indonesia__Jakarta_11621.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_319/rank_03_Indonesia__Jakarta_10902.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_319/rank_04_SouthAfrica__CapeTown_12233.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_319/rank_05_UnitedKingdom__London_05216.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_319/rank_06_Nigeria__Lagos_01730.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_319/rank_07_UnitedKingdom__London_11189.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_319/rank_08_France__Paris_12601.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_319/rank_09_Indonesia__Jakarta_08880.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_319/rank_10_Brazil__SaoPaulo_01618.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_319/contact_sheet.jpg
C008,ROOT,"[9, 79, 136, 169, 215, 241, 276, 297, 320, 413, 417, 435, 451, 476, 479, 505]",215,16,"[""F008"", ""F047""]",0.7809523940086365,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_215/rank_01_China__HongKong_11488.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_215/rank_02_SouthKorea__Seoul_05804.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_215/rank_03_Russia__Moscow_11758.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_215/rank_04_Taiwan__Taipei_04248.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_215/rank_05_UnitedKingdom__London_07172.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_215/rank_06_France__Paris_11673.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_215/rank_07_SouthKorea__Seoul_09716.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_215/rank_08_Malaysia__KualaLumpur_03605.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_215/rank_09_Thailand__Bangkok_11085.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_215/rank_10_Canada__Toronto_01658.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_215/contact_sheet.jpg
C009,ROOT,"[10, 51, 182, 197, 240, 265, 274, 368, 392, 411, 431, 449]",182,12,"[""F009""]",1.0,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_182/rank_01_Russia__Moscow_02566.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_182/rank_02_Taiwan__Taipei_00235.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_182/rank_03_Malaysia__KualaLumpur_07391.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_182/rank_04_Singapore__Singapore_11930.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_182/rank_05_Colombia__Bogota_05658.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_182/rank_06_Singapore__Singapore_01562.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_182/rank_07_Singapore__Singapore_01277.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_182/rank_08_UnitedStates__LosAngeles_08285.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_182/rank_09_SouthAfrica__CapeTown_12607.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_182/rank_10_Singapore__Singapore_09550.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_182/contact_sheet.jpg
