cluster_id,parent_cluster_id,member_dimensions,medoid_dimension,cluster_size,mean_split_sample_jaccard,representative_images,representative_activation_maps
F000,C000,"[0, 18, 33, 68, 93, 128, 154, 249, 464]",18,9,0.4043114483356476,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_018/rank_01_UnitedKingdom__London_00815.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_018/rank_02_Austria__Vienna_01456.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_018/rank_03_Austria__Vienna_10014.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_018/rank_04_Singapore__Singapore_02062.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_018/rank_05_Austria__Vienna_12250.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_018/rank_06_Austria__Vienna_01391.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_018/rank_07_France__Paris_12773.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_018/rank_08_Austria__Vienna_06671.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_018/rank_09_Austria__Vienna_10648.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_018/rank_10_Japan__Osaka_02359.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_018/contact_sheet.jpg
F038,C000,"[56, 95, 129, 395, 439, 467, 468, 508]",95,8,0.53125,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_095/rank_01_Bangladesh__Dhaka_08990.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_095/rank_02_Austria__Vienna_06483.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_095/rank_03_Brazil__SaoPaulo_05369.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_095/rank_04_Singapore__Singapore_04392.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_095/rank_05_Colombia__Bogota_04104.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_095/rank_06_Singapore__Singapore_08713.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_095/rank_07_SouthKorea__Seoul_10280.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_095/rank_08_Colombia__Bogota_05984.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_095/rank_09_Austria__Vienna_05934.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_095/rank_10_Netherlands__Amsterdam_02114.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_095/contact_sheet.jpg
F001,C001,"[1, 21, 77, 164, 231, 285, 291, 304, 313, 372]",77,10,0.36757373809814453,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_077/rank_01_Philippines__Manila_00084.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_077/rank_02_Peru__Lima_02875.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_077/rank_03_Nigeria__Lagos_08756.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_077/rank_04_Brazil__SaoPaulo_11018.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_077/rank_05_Argentina__BuenosAires_09883.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_077/rank_06_Argentina__BuenosAires_00386.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_077/rank_07_Netherlands__Amsterdam_07323.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_077/rank_08_Thailand__Bangkok_06493.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_077/rank_09_Indonesia__Jakarta_09741.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_077/rank_10_Turkey__Istanbul_07456.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_077/contact_sheet.jpg
F031,C001,"[40, 170, 217, 238, 279, 345, 382, 428]",170,8,0.5565476417541504,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_170/rank_01_Netherlands__Amsterdam_08619.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_170/rank_02_Netherlands__Amsterdam_07025.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_170/rank_03_Netherlands__Amsterdam_00184.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_170/rank_04_France__Paris_06287.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_170/rank_05_Netherlands__Amsterdam_01794.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_170/rank_06_Netherlands__Amsterdam_06034.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_170/rank_07_UnitedKingdom__London_08805.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_170/rank_08_SouthAfrica__Johannesburg_07019.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_170/rank_09_Taiwan__Taipei_06220.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_170/rank_10_Netherlands__Amsterdam_00514.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_170/contact_sheet.jpg
F002,C002,"[2, 49, 55, 81, 135, 149, 196, 254, 347, 354, 366, 407, 426, 457]",354,14,0.5684704184532166,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_354/rank_01_China__HongKong_07978.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_354/rank_02_China__HongKong_01122.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_354/rank_03_Philippines__Manila_10224.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_354/rank_04_China__HongKong_12538.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_354/rank_05_Singapore__Singapore_02297.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_354/rank_06_Malaysia__KualaLumpur_04557.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_354/rank_07_Bangladesh__Dhaka_03683.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_354/rank_08_China__HongKong_07142.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_354/rank_09_Brazil__SaoPaulo_00158.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_354/rank_10_China__HongKong_01952.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_354/contact_sheet.jpg
F003,C003,"[3, 4, 12, 64, 127, 202, 264, 311]",3,8,0.630515456199646,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_003/rank_01_UnitedStates__NewYorkCity_07458.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_003/rank_02_Austria__Vienna_02816.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_003/rank_03_Netherlands__Amsterdam_11907.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_003/rank_04_Austria__Vienna_12604.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_003/rank_05_Austria__Vienna_09319.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_003/rank_06_Austria__Vienna_01672.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_003/rank_07_UnitedStates__NewYorkCity_02381.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_003/rank_08_Austria__Vienna_01020.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_003/rank_09_Austria__Vienna_09910.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_003/rank_10_Austria__Vienna_06058.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_003/contact_sheet.jpg
F037,C003,"[50, 74, 155, 199, 201, 263, 396, 448, 481, 493, 501]",493,11,0.6591790914535522,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_493/rank_01_China__HongKong_11826.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_493/rank_02_Malaysia__KualaLumpur_06105.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_493/rank_03_Indonesia__Jakarta_07458.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_493/rank_04_Brazil__SaoPaulo_10663.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_493/rank_05_Thailand__Bangkok_05346.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_493/rank_06_Taiwan__Taipei_10052.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_493/rank_07_Thailand__Bangkok_11144.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_493/rank_08_Thailand__Bangkok_07985.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_493/rank_09_SouthKorea__Seoul_05325.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_493/rank_10_SouthKorea__Seoul_05157.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_493/contact_sheet.jpg
F004,C004,"[5, 141, 393, 456, 483]",483,5,0.7429166436195374,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_483/rank_01_China__HongKong_07254.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_483/rank_02_Thailand__Bangkok_00198.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_483/rank_03_Canada__Toronto_08734.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_483/rank_04_Brazil__SaoPaulo_07171.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_483/rank_05_Malaysia__KualaLumpur_07208.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_483/rank_06_China__HongKong_00313.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_483/rank_07_China__HongKong_11291.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_483/rank_08_India__Mumbai_07036.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_483/rank_09_SouthKorea__Seoul_09894.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_483/rank_10_Canada__Toronto_05384.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_483/contact_sheet.jpg
F010,C004,"[11, 121, 174, 188, 262, 307, 315, 380, 409, 418, 421]",380,11,0.6875132918357849,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_380/rank_01_Russia__Moscow_07994.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_380/rank_02_Russia__Moscow_04409.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_380/rank_03_Russia__Moscow_09695.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_380/rank_04_UnitedStates__NewYorkCity_04768.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_380/rank_05_Russia__Moscow_09029.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_380/rank_06_France__Paris_06423.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_380/rank_07_Indonesia__Jakarta_09126.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_380/rank_08_Russia__Moscow_07453.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_380/rank_09_Brazil__SaoPaulo_03923.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_380/rank_10_UnitedStates__NewYorkCity_10989.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_380/contact_sheet.jpg
F005,C005,"[6, 100, 145, 184, 341, 381]",341,6,0.340190052986145,"[""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_341/rank_01_Bangladesh__Dhaka_08652.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_341/rank_02_Colombia__Bogota_03764.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_341/rank_03_Bangladesh__Dhaka_04425.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_341/rank_04_Malaysia__KualaLumpur_04770.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_341/rank_05_UnitedKingdom__London_08344.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_341/rank_06_Indonesia__Jakarta_11367.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_341/rank_07_Bangladesh__Dhaka_02610.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_341/rank_08_India__NewDelhi_07897.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_341/rank_09_Peru__Lima_06597.jpg"", ""outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_341/rank_10_Thailand__Bangkok_10599.jpg""]",outputs/experiments/dinov3_multicity/feature_mae_n30x12800_qc/heatmaps/feature_341/contact_sheet.jpg
