city,visual_diversity,visual_homogeneity,visual_heterogeneity,local_visual_continuity,mean_morans_i,nearest_visual_city,n_valid_grids,n_adjacent_grid_pairs
Amsterdam,0.8981976032511596,0.871590007476549,0.1284099925234509,0.9190457762297378,0.2558759015990511,London,603,974
Bangkok,0.8915498536594257,0.8574381286827049,0.1425618713172951,0.8792414945797868,0.0739290551485534,Manila,865,801
Bogota,0.8721968545133293,0.9122117957202625,0.0877882042797376,0.9442589840413032,0.19081065330516,SaoPaulo,440,766
BuenosAires,0.8823490073622003,0.8545013468807909,0.145498653119209,0.8952893841461504,0.159311688850339,SaoPaulo,829,554
CapeTown,0.87373375379312,0.9039880271223538,0.0960119728776461,0.931997361632946,0.2032687995885138,Johannesburg,769,1275
Dhaka,0.8984048615449659,0.8123083957933881,0.1876916042066119,0.8835978786213703,0.1661915235511812,Jakarta,509,432
HongKong,0.8956621846243122,0.9020202456341724,0.0979797543658275,0.934803665424854,0.2098661428217211,Seoul,202,313
Istanbul,0.8908011633538068,0.8635041732851142,0.1364958267148858,0.9029206418336352,0.1567414899152586,Paris,974,1346
Jakarta,0.8967961066221485,0.8520418787995241,0.1479581212004759,0.8757548754489481,0.0736978663844155,Manila,583,342
Johannesburg,0.873820340759084,0.8651766759841922,0.1348233240158077,0.9008923770805743,0.174581382804195,CapeTown,977,1124
KualaLumpur,0.882023994266885,0.8898081566962344,0.1101918433037656,0.910002477216163,0.101858660745731,Singapore,882,1344
Lagos,0.8880678357862134,0.8717428963889301,0.1282571036110699,0.924158063364941,0.2309911959065819,Johannesburg,739,1208
Lima,0.8787422205397368,0.8851315285686912,0.1148684714313088,0.9294979155994249,0.2124478758830245,Bogota,707,1122
London,0.8901893851692632,0.86014132564553,0.1398586743544699,0.8799728188696753,0.1435620980018714,Paris,603,260
LosAngeles,0.8578289598627122,0.873000995578517,0.126999004421483,0.8975718997576418,0.095919366528998,Sydney,205,24
Manila,0.8918190211290763,0.8723386948909171,0.1276613051090829,0.9038582486125324,0.1206789200817383,Bangkok,854,953
MexicoCity,0.8763241091900709,0.8740019645900259,0.1259980354099741,0.9064163378289988,0.1243553005932485,SaoPaulo,973,1066
Moscow,0.8676380824886243,0.8437644040510249,0.156235595948975,0.8923110793447928,0.2489273420182525,KualaLumpur,599,285
Mumbai,0.8943050460731637,0.8964856506470836,0.1035143493529163,0.927940524722188,0.1489121134344,NewDelhi,555,879
NewDelhi,0.8939096935784467,0.8368911578166205,0.1631088421833795,0.8852023701232451,0.1522095577167402,Mumbai,810,770
NewYorkCity,0.8743115054405537,0.8571306733047986,0.1428693266952013,0.8848385163480224,0.093356917647989,Toronto,380,77
Osaka,0.8892374156855936,0.869139809812177,0.130860190187823,0.8929837507598555,0.0919293080918951,Seoul,851,624
Paris,0.8927287273659582,0.8472348459643011,0.1527651540356989,0.8834787848032645,0.1898121364831612,Vienna,754,470
SaoPaulo,0.8807315870287286,0.8830715055325652,0.1169284944674348,0.9027473335033598,0.0881076374268048,MexicoCity,997,1072
Seoul,0.8883384016642637,0.8553606499662588,0.1446393500337411,0.891503080190403,0.1075864232935293,Taipei,807,720
Singapore,0.8769645589275219,0.9317964764408836,0.0682035235591164,0.9532191649002252,0.1598946269362493,KualaLumpur,354,615
Sydney,0.8717488954456689,0.88737920267931,0.1126207973206899,0.910744376174924,0.1418720360982894,LosAngeles,1084,1369
Taipei,0.8936092505595664,0.8786250150065608,0.1213749849934392,0.9076267953807275,0.1296647065002651,Seoul,768,1134
Toronto,0.8662195238187463,0.8706480668250192,0.1293519331749808,0.8993425087159512,0.1631527829356502,NewYorkCity,832,550
Vienna,0.8885652663951543,0.8834453276041231,0.1165546723958769,0.9271355097283852,0.2601170028817985,Paris,637,1093
