element_a,name_a,element_b,name_b,parent_a,parent_b,observed,expected,pearson_residual,log_lift,visual_distance,unexpected_score,visual_bridge_index,q_value_bh,pair_stability
F011,road_edge,F058,shaded alley,C010,C031,36598,27310.927389933957,56.19667459933433,0.2927020556406912,0.9101736972704716,51.14873509438172,0.2664097121811551,0.0,0.5802747302151703
F027,car_top_heat,F029,electric_bike_parking,C020,C022,42705,31454.173180788664,63.43738947912743,0.3057801546484355,0.7429280397022332,47.129415409555214,0.2271726508728078,0.0,0.6133318385503258
F027,car_top_heat,F058,shaded alley,C020,C031,51949,42478.03292874151,45.95281576948032,0.2012732520982914,0.9573200992555831,43.99155415351243,0.1926829296762303,0.0,0.9090593301370956
F029,electric_bike_parking,F058,shaded alley,C022,C031,65823,56439.41345976168,39.49822848692038,0.153800323758579,0.9310173697270472,36.77353679477054,0.1431907728888805,0.0,0.5903524015870344
F057,streetlight illumination,F058,shaded alley,C027,C031,64002,53499.11307804803,45.40831626519763,0.179247723406962,0.7722084367245657,35.06468491744293,0.1384166042785274,0.0,0.4808846061898305
F033,zebra_crossing,F035,small alley entrance,C023,C010,10875,7691.586466324198,36.29820047848685,0.34632048419419,0.8446650124069479,30.659819957510976,0.2925247960786657,0.0,0.5668075483525976
F034,red_door_street,F060,street_corner_shop,C018,C031,2766,1484.603490330449,33.2566345490573,0.6220985230714169,0.913151364764268,30.36834122593818,0.5680701153604998,6.1297624510947354e-229,0.5686586353388894
F009,highlighted road,F058,shaded alley,C009,C031,18066,13976.63151698177,34.59035249917832,0.2566368636555506,0.8138957816377171,28.152941984442897,0.2088756607419866,0.0,0.9354143466934852
F002,shaded patches,F062,shaded alley,C002,C005,857,281.0497125268599,34.35527479716765,1.1137121483776025,0.7141439205955334,24.534610636786223,0.7953507600572555,6.910340505386523e-182,0.5331371347382861
F051,zebra_crossing,F060,street_corner_shop,C020,C031,3513,1830.9325454439863,39.31037943047347,0.6515142193160464,0.6213399503722085,24.425109204443068,0.4048118126966203,0.0,0.5815401651832038
F020,advertising_wall,F034,red_door_street,C013,C018,986,370.3700721718609,31.98908228753202,0.9783115339723516,0.7022332506203474,22.46379723913539,0.6870028886207828,4.1019053309529582e-168,0.728915409199657
F054,highlighted_lane,F058,shaded alley,C023,C031,117225,109924.62122708002,22.0190158831333,0.064300012385774,0.9965260545905708,21.942523023985935,0.0640766376529202,0.0,0.8874119557107478
F010,green_wall,F035,small alley entrance,C004,C010,27711,21145.192374702365,45.15255534927358,0.2704112749702284,0.4769230769230769,21.534295628115093,0.1289653772934935,0.0,0.4699765235428341
F010,green_wall,F054,highlighted_lane,C004,C023,85147,78952.4040304315,22.046025550715644,0.0755335235401336,0.9364764267990074,20.64558323285381,0.070735364228403,0.0,0.7866142110336878
F012,bamboo,F058,shaded alley,C011,C031,14654,12194.95750993881,22.26772695012969,0.1836839083780611,0.905210918114144,20.156989556841964,0.166272679345699,1.2838677152017973e-209,0.4917280052342564
F045,underpass glow,F062,shaded alley,C027,C005,2264,1502.1701318311168,19.6561489413107,0.4101103704973102,0.925062034739454,18.183157134790644,0.3793775337999932,5.181304839825146e-101,0.5966287862790239
F041,concrete_wall,F062,shaded alley,C011,C005,395,157.53048957546895,18.920192273238037,0.9173628008008036,0.9141439205955336,17.295778743079136,0.8386016273325461,8.71445490639836e-59,0.505917372747934
F045,underpass glow,F060,street_corner_shop,C027,C031,10255,8047.162640106859,24.61193098140485,0.2424324530368297,0.68287841191067,16.806956342636763,0.1655518885253983,8.527898187229654e-179,0.5256073775569561
F007,roof_and_eaves,F034,red_door_street,C007,C018,6248,4870.986925119714,19.730113429177685,0.2489422210177106,0.7995037220843673,15.774299123774318,0.1990302322876088,3.8432661006559716e-123,0.8048968704660893
F010,green_wall,F062,shaded alley,C004,C005,3106,2144.062518148557,20.774382564896623,0.3705611131862232,0.7364764267990075,15.299843040350666,0.2729095245500522,1.614772319332774e-133,0.5863076237454876
