city,element_a,name_a,element_b,name_b,parent_a,parent_b,city_n11,city_expected,visual_distance,delta_log_odds,city_atypicality_index,q_value_global_bh,pair_stability
Lagos,F029,electric_bike_parking,F050,greenery_and_water,C022,C030,167,54.324748743718594,0.8332506203473945,2.173766320046723,1.8112921346692048,7.937132568068591e-44,0.5235316812975132
Vienna,F003,building facade,F062,shaded alley,C003,C005,74,13.22138613861386,0.943424317617866,1.5142158755812771,1.4285480791464062,4.6669006685035954e-07,0.5614781834154955
Mumbai,F038,red-yellow hotspot,F054,highlighted_lane,C000,C023,73,56.66684187472624,0.9761786600496278,1.4558982321407554,1.4212167854197846,3.679053984605906e-07,0.6914658154406248
Paris,F041,concrete_wall,F045,underpass glow,C011,C027,122,67.57517899761336,0.8987593052109181,1.5660341299710896,1.4074877465894011,1.038609339313506e-39,0.6036897361201449
Amsterdam,F045,underpass glow,F062,shaded alley,C027,C005,151,40.265369095656304,0.925062034739454,1.4455033878543726,1.3371803051913402,1.1718161554352833e-29,0.5966287862790239
Bangkok,F058,shaded alley,F062,shaded alley,C031,C005,59,42.81669535283993,0.9389578163771712,1.3709070323937065,1.2872238735925023,5.166773343056671e-12,0.6614378277661477
Lagos,F050,greenery_and_water,F058,shaded alley,C030,C031,186,131.5605370603015,0.9836228287841192,1.2656561207783827,1.2449282537879676,2.322431460547911e-13,0.775960629454285
Dhaka,F021,road_and_building,F038,red-yellow hotspot,C017,C000,233,184.47794580970384,0.9622828784119106,1.26787315975586,1.2200526336310733,2.727641840033032e-15,0.6189612062922315
London,F038,red-yellow hotspot,F054,highlighted_lane,C000,C023,51,41.5554145180484,0.9761786600496278,1.236696088040929,1.2072363301124107,0.0001867139561338,0.6914658154406248
Bogota,F004,highlighted_buildings,F008,stone_wall_and_retaining_wall,C004,C008,71,22.225685199686765,0.9667493796526054,1.193774602891238,1.1540808567901395,2.8279721412630686e-16,0.5743415842037122
HongKong,F025,shaded alley,F062,shaded alley,C019,C005,102,41.85279987398598,0.9483870967741936,1.092827207296857,1.036423222404116,4.1092298697110015e-15,0.5949507956134751
Lagos,F050,greenery_and_water,F054,highlighted_lane,C030,C023,161,120.74945037688444,0.9339950372208436,1.1000239497054336,1.0274169098489458,3.883628706091716e-12,0.7869677025583657
Vienna,F038,red-yellow hotspot,F062,shaded alley,C000,C005,75,20.764356435643563,0.9806451612903224,1.0411129444996383,1.020962371380291,6.089856553807889e-08,0.5153881959740826
Paris,F019,road_and_building,F045,underpass glow,C016,C027,176,89.94272076372314,0.9563275434243176,1.0655628535338908,1.0190271060842715,6.329695204073319e-26,0.5704230159512896
Mumbai,F038,red-yellow hotspot,F058,shaded alley,C000,C031,50,38.11371003066141,0.967741935483871,1.017908665310291,0.9850729019131848,2.4461545164315446e-05,0.6817944976028216
Singapore,F038,red-yellow hotspot,F054,highlighted_lane,C000,C023,104,86.69245327655548,0.9761786600496278,1.0010883549995857,0.9772410889747816,5.275448180276845e-09,0.6914658154406248
Istanbul,F038,red-yellow hotspot,F058,shaded alley,C000,C031,141,109.68923173803526,0.967741935483871,0.9923719452863936,0.9603599470513484,1.3097190743193786e-13,0.6817944976028216
HongKong,F060,street_corner_shop,F062,shaded alley,C031,C005,101,60.26108529573915,0.9528535980148884,1.0031081189901645,0.9558151803777248,3.5763014792098615e-14,0.440481074367024
Vienna,F041,concrete_wall,F045,underpass glow,C011,C027,75,58.61148514851485,0.8987593052109181,1.0612802244166053,0.9538354771307552,9.262646744337745e-13,0.6036897361201449
Bangkok,F007,roof_and_eaves,F038,red-yellow hotspot,C007,C000,123,69.670943514317,0.8307692307692308,1.1431376132861262,0.9496835556530896,2.4318927478032925e-10,0.6426585900977407
LosAngeles,F002,shaded patches,F058,shaded alley,C002,C031,131,142.1106825159411,0.8367245657568239,1.1245892637474282,0.9409714633638532,8.005050235876087e-13,0.7052741366055197
Jakarta,F013,tree-lined_driveway,F058,shaded alley,C012,C031,1593,1132.0815383410354,0.9870967741935484,0.9389222475181576,0.9268071217437296,1.0384731524174012e-93,0.6715418703493187
Vienna,F002,shaded patches,F038,red-yellow hotspot,C002,C000,73,29.865742574257425,0.7612903225806451,1.2131629290868942,0.923569197627442,1.18183280045905e-11,0.5495451721591132
HongKong,F001,shaded_corner,F003,building facade,C001,C003,82,32.304953926124284,0.4253101736972705,2.163820232424936,0.9202947589023176,2.9654747780653087e-15,0.4814155766560449
Toronto,F031,road_edge,F058,shaded alley,C001,C031,55,46.620169651272384,0.9022332506203474,1.0130897407913977,0.914043250004348,0.0003069725263559,0.6978389495961068
Dhaka,F029,electric_bike_parking,F062,shaded alley,C022,C005,55,53.29694391934468,0.9751861042183624,0.9370667522808148,0.9138144755492807,2.430254705195061e-07,0.4462644687111503
HongKong,F025,shaded alley,F060,street_corner_shop,C019,C031,175,59.27723084193117,0.8009925558312655,1.13755036284,0.9111693725179948,1.8741594521080128e-29,0.5241291312946784
Mumbai,F058,shaded alley,F062,shaded alley,C031,C005,169,157.0119141480508,0.9389578163771712,0.9699257179175624,0.9107193341439346,4.9963256035892163e-17,0.6614378277661477
London,F045,underpass glow,F062,shaded alley,C027,C005,51,14.702023006743357,0.925062034739454,0.9812437527184644,0.9077113424651204,2.1825742172983994e-07,0.5966287862790239
Mumbai,F027,car_top_heat,F031,road_edge,C020,C001,61,31.956636005256243,0.7464019851116626,1.21389504171727,0.9060536688549748,4.217190665915162e-13,0.7250022949296128
