element_a,name_a,element_b,name_b,observed,expected,pearson_residual,log_lift,visual_distance,unexpected_score,visual_bridge_index,q_value_bh,pair_stability
F027,car_top_heat,F029,electric_bike_parking,127365,110133.84518423094,51.922307307376194,0.1453599653923498,0.7429280397022332,38.57453798468593,0.1079919941401229,0.0,0.6133318385503258
F051,zebra_crossing,F060,street_corner_shop,22462,14933.389395435275,61.60779145251436,0.4082141657486322,0.6213399503722085,38.27938208364664,0.2536397694874876,0.0,0.5815401651832038
F011,road_edge,F058,shaded alley,111295,98188.50381977623,41.826958367660055,0.1252945945021574,0.9101736972704716,38.06979734307124,0.114039844326033,0.0,0.5802747302151703
F041,concrete_wall,F062,shaded alley,4456,2412.584877170568,41.60210469122048,0.6134577436076437,0.9141439205955336,38.03031108745813,0.560788666861181,0.0,0.505917372747934
F034,red_door_street,F060,street_corner_shop,17062,12698.405186659556,38.72307403859237,0.2953672889714023,0.913151364764268,35.360027906208416,0.2697150430309579,0.0,0.5686586353388894
F002,shaded patches,F004,highlighted_buildings,21525,16558.838120152686,38.59276915548049,0.2622880992791919,0.9116625310173696,35.18358160725442,0.2391182324446032,0.0,0.6498662464866642
F008,stone_wall_and_retaining_wall,F017,building facade,40657,32537.244983078945,45.014511094277,0.2227825212748361,0.771712158808933,34.73824553429316,0.1719239804379008,0.0,0.4406949870625596
F029,electric_bike_parking,F058,shaded alley,173014,160343.45086558716,31.64242972943877,0.0760542051544114,0.9310173697270472,29.45965169847501,0.0708077860395413,0.0,0.5903524015870344
F027,car_top_heat,F058,shaded alley,143040,132029.4879387991,30.302052585753124,0.0800987288056883,0.9573200992555831,29.00876398904108,0.0766801230105076,0.0,0.9090593301370956
F004,highlighted_buildings,F008,stone_wall_and_retaining_wall,42366,36817.686778347386,28.915634143920894,0.1403660265805482,0.9667493796526054,27.95417137089722,0.1356987691210461,0.0,0.5743415842037122
F033,zebra_crossing,F035,small alley entrance,51497,44534.16785897186,32.99432549818298,0.1452653239235691,0.8446650124069479,27.869152356281607,0.1227005366342008,0.0,0.5668075483525976
F033,zebra_crossing,F060,street_corner_shop,33835,26098.62838619073,47.88819643583373,0.2596086285662533,0.5766749379652606,27.615922708902627,0.1497097897736904,0.0,0.6229343093385172
F057,streetlight illumination,F058,shaded alley,139030,126347.88966205408,35.67857752704132,0.0956502448250654,0.7722084367245657,27.5512985767128,0.0738619260286857,0.0,0.4808846061898305
F020,advertising_wall,F034,red_door_street,6406,3948.203799713847,39.11524793587893,0.4839257268792812,0.7022332506203474,27.46802770683309,0.339828736245252,0.0,0.728915409199657
F019,road_and_building,F041,concrete_wall,10365,7230.163479560106,36.86725807202831,0.360152184456731,0.7424317617866005,27.371423362657247,0.2673884208175035,0.0,0.4836959265489858
F038,red-yellow hotspot,F062,shaded alley,3039,1855.914222661014,27.462323799416,0.4930462384306062,0.9806451612903224,26.930794951685364,0.4835034080093686,2.101454691277294e-165,0.5153881959740826
F000,red brick corner,F041,concrete_wall,10839,7350.220467348437,40.69334055229372,0.3883985382971113,0.6446650124069478,26.233572892024583,0.2503869485101476,0.0,0.4549384066062928
F039,red car corner,F051,zebra_crossing,2584,1489.452232998432,28.36099278367073,0.5507880046007844,0.896774193548387,25.433406431807946,0.4939324686419937,3.833130851988172e-182,0.5137107019790221
F033,zebra_crossing,F050,greenery_and_water,4814,3310.5091732705414,26.13084084918944,0.3743791685931245,0.9439205955334988,24.665438856157973,0.3533842077737582,3.572146683426353e-194,0.8295368060123951
F002,shaded patches,F062,shaded alley,5103,3217.597827980719,33.23824793277343,0.4611361305106925,0.7141439205955334,23.736892692437205,0.3293175641711595,5.684322404961245e-267,0.5331371347382861
