configuration_a,configuration_b,n_clusters,ari,nmi
E,E+D,32,0.05301244735858178,0.3763593402805504
E,E+D+P,32,0.0001296919157342709,0.27221460498550826
E,E+D+P+Q,32,0.005391279680165807,0.28438088439898607
E,E+D+P+C,32,0.0033249658819074837,0.2813716952302607
E,E+D+P+C+Q,32,0.008156166292932088,0.28937276065755474
E,E+D,64,0.06771742257544683,0.5667700562247326
E,E+D+P,64,0.006336456736129664,0.5044842863661122
E,E+D+P+Q,64,0.005755419710652801,0.501325577583354
E,E+D+P+C,64,0.006599095903353308,0.5045307882425967
E,E+D+P+C+Q,64,0.007931253129223628,0.5066612100635384
E+D,E+D+P,32,0.007714720579959196,0.2847533170714126
E+D,E+D+P+Q,32,0.0037125033619662593,0.28160937049228624
E+D,E+D+P+C,32,0.005504242758220876,0.2841393584862522
E+D,E+D+P+C+Q,32,0.006976152725112301,0.28794919364317184
E+D,E+D+P,64,0.007512496112959173,0.5061831859437634
E+D,E+D+P+Q,64,0.007861964129708724,0.5035322759690093
E+D,E+D+P+C,64,0.008260057469730136,0.506068596127128
E+D,E+D+P+C+Q,64,0.012516277280526001,0.5109337584504892
E+D+P,E+D+P+Q,32,0.5504628872541183,0.7856143378463043
E+D+P,E+D+P+C,32,0.4240829180886523,0.7053531264648558
E+D+P,E+D+P+C+Q,32,0.2871847511162472,0.5868781450219485
E+D+P,E+D+P+Q,64,0.4942076594143908,0.8105063565853446
E+D+P,E+D+P+C,64,0.42066686876369475,0.7748488733908238
E+D+P,E+D+P+C+Q,64,0.2403176469687875,0.6763964386516601
E+D+P+Q,E+D+P+C,32,0.4022264783637693,0.697476847387358
E+D+P+Q,E+D+P+C+Q,32,0.29977903493226843,0.6195435727592532
E+D+P+Q,E+D+P+C,64,0.40417215931970013,0.7678388335217314
E+D+P+Q,E+D+P+C+Q,64,0.3436917918835587,0.7351612805732949
E+D+P+C,E+D+P+C+Q,32,0.3083784789927765,0.6187823635375336
E+D+P+C,E+D+P+C+Q,64,0.3255446075311365,0.7289642121567078
