grid_size_m,minimum_panoramas,metric,spearman_vs_primary,n_cities
500,5,visual_homogeneity,0.7490545050055617,30
500,5,local_visual_continuity,0.7608695652173912,24
500,10,visual_homogeneity,0.7142857142857143,13
500,10,local_visual_continuity,0.5030303030303029,10
500,20,visual_homogeneity,0.5,3
500,20,local_visual_continuity,,2
500,30,visual_homogeneity,,1
500,30,local_visual_continuity,,1
1000,5,visual_homogeneity,1.0,30
1000,5,local_visual_continuity,1.0,30
1000,10,visual_homogeneity,0.7071702244116037,28
1000,10,local_visual_continuity,0.7295652173913043,24
1000,20,visual_homogeneity,0.22637362637362637,14
1000,20,local_visual_continuity,0.2087912087912088,13
1000,30,visual_homogeneity,0.0303030303030303,10
1000,30,local_visual_continuity,-0.14285714285714288,7
2000,5,visual_homogeneity,0.9252502780867631,30
2000,5,local_visual_continuity,0.9163515016685205,30
2000,10,visual_homogeneity,0.9528364849833146,30
2000,10,local_visual_continuity,0.9172413793103448,30
2000,20,visual_homogeneity,0.6394088669950737,29
2000,20,local_visual_continuity,0.5977011494252873,28
2000,30,visual_homogeneity,0.3952569169960475,23
2000,30,local_visual_continuity,0.3766233766233766,21
