,F000,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063
F000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1607687028462991,0.0,0.15969849225883648,0.0,0.0,0.4226731705808868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13352854233625774,0.0,0.0,0.0,0.06775984152670086,0.15821651510865894,0.0,0.0,0.0,0.4050536425355741,0.0,0.2645345320367512,0.024138453221108115,0.0,0.0,0.0,0.0,0.0,0.45328653363808175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F001,0.0,0.0,0.03708239444782335,0.0,0.0,0.0,0.0,0.024600862659667252,0.0,0.0,0.0,0.14055254582157817,0.0,0.0,0.0,0.0,0.0,0.0,0.1518226190609254,0.0,0.0,0.05302390770394373,0.010904971957159785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30037421947675125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09910459242843637,0.1753565049162201,0.33394280759809397,0.0,0.0,0.0,0.04323470711876876,0.0,0.0,0.0,0.0,0.0
F002,0.0,0.03708239444782335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3630529339116413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15036544568704133,0.0,0.0,0.0,0.0,0.3267412898434755,0.0,0.507089738417854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49737088426150855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08884976842345475,0.0,0.0,0.0,0.0,0.0,0.39265911954356014,0.0,0.0,0.0
F003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005427789631691997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11640004186215089,0.0,0.0,0.0,0.0,0.17214829048375024,0.0,0.13061890114305238,0.0,0.0,0.0,0.0,0.09031971947353948,0.0,0.008034234572953262,0.0,0.0,0.20012142861488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051798469774533416,0.0,0.4595016236833884,0.0
F005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19103592769883526,0.0,0.0,0.11798369184637152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23933309712663212,0.0,0.0,0.0,0.0,0.02155026089214761,0.0,0.0,0.0,0.0,0.0,0.3594986880936191,0.0,0.4694693913079044,0.0,0.0,0.0,0.0,0.0,0.0,0.15613828005458186,0.0,0.0,0.41616454764411903,0.0,0.0,0.0,0.0,0.0,0.0,0.2907372574128218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F007,0.0,0.024600862659667252,0.0,0.0,0.0,0.0,0.19103592769883526,0.0,0.0,0.1397229909393878,0.0,0.15101672711706118,0.0,0.0,0.0,0.0,0.0,0.0,0.16176050084714988,0.0,0.3353629131342819,0.0,0.0,0.08880502407656936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01922079239206348,0.14707465616309107,0.0,0.0,0.0,0.0,0.0,0.15644466259368733,0.0,0.0,0.0,0.07989848739005112,0.0,0.07216424362033193,0.0,0.0,0.0,0.0,0.17553036778180428,0.17244920802755823,0.0,0.0,0.0,0.23446092181948447,0.08241372344828492,0.0,0.0,0.16185447731716632,0.038735680524023576,0.0,0.0
F008,0.0,0.0,0.0,0.0,0.0005427789631691997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054035623457190055,0.0,0.39119773100764915,0.454652770889703,0.22745876750367733,0.0,0.0,0.389600013915195,0.04398428898343907,0.0,0.23619852902728927,0.14200021808403324,0.33390042340908943,0.0,0.023568218459046997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04008796328624201,0.0,0.0,0.11134202168901511,0.0,0.0,0.0,0.0,0.3357583620217843,0.0,0.24121662885348116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00200956514260919,0.0,0.0
F009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1397229909393878,0.0,0.0,0.0,0.35090677063310094,0.0,0.06651840044758324,0.0,0.0,0.0,0.09281815564558685,0.0,0.0,0.8980131290812305,0.0,0.0,0.0,0.0,0.0,0.0,0.027673228768516852,0.0,0.039305580741836876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15621123704862497,0.0,0.0,0.0,0.0,0.0,0.0,0.20767926378642132,0.20329892693133628,0.2732953705436442,0.0,0.0,0.0,0.0,0.37776636896853355,0.0,0.18314540925920797,0.0,0.0,0.0
