,F000,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063
F000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2574156491884832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20257203266445573,0.0,0.0,0.0,0.0,0.010605441697632667,0.0,0.3187693078676455,0.0,0.0,0.0,0.0,0.0,0.3248572143524592,0.0,0.0,0.0,0.0,0.0,0.0,0.25662686202521534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10369757484217693,0.04645261407339979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26881472181967203,0.06585135543911688,0.2128724627614948,0.0,0.3077560763386739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.438371276456513,0.0,0.0,0.0,0.5127182135906339,0.0,0.008673689870947372,0.0,0.0,0.0,0.0,0.0,0.0,0.34803038275842396,0.0,0.0,0.15379960047804475,0.0,0.0,0.0,0.0,0.08596681187645809,0.04916751343654484,0.0,0.0,0.0,0.0,0.18342166932850001,0.0,0.0,0.0,0.0,0.0,0.0
F002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18806940729307953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17780897136534235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11084501992031709,0.0,0.10965938714173326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02750639871354632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5260421441462523,0.0,0.0,0.0
F003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.146201658289578,0.0,0.0,0.0,0.0,0.09626872236317761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22338734569523164,0.0,0.0,0.0,0.0,0.0,0.0,0.1635591026082551,0.0,0.0,0.0,0.12127467231555372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8773042884020379,0.0803312744434827,0.150511974627254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46061380905712074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F007,0.0,0.26881472181967203,0.0,0.0,0.0,0.0,0.0,0.0,0.059769786167475615,0.2247298387808869,0.0,0.25932293805127526,0.0,0.0,0.0,0.0,0.0,0.19156613005554968,0.19558612914779328,0.0,0.14436421590313833,0.0,0.0,0.5302635832109356,0.0,0.0,0.0,0.026410922902594083,0.0,0.0,0.0,0.0,0.0,0.0,0.2718790161643468,0.0,0.1072218149730169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16996149491683848,0.0,0.0,0.0,0.0,0.23076312347443645,0.00484063499179641,0.0,0.0,0.0,0.0,0.22399358627028298,0.19486503632045152,0.0,0.0,0.0,0.0,0.0
F008,0.0,0.06585135543911688,0.0,0.0,1.146201658289578,0.0,0.0,0.059769786167475615,0.0,0.00693738878686041,0.0,0.0,0.0,0.10814665139007915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027194704983824397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14937950437693842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028439374694355535,0.09062973652148018,0.0,0.0,0.0,0.0,0.05951043374037928,0.0,0.0,0.0,0.0,0.0
F009,0.0,0.2128724627614948,0.0,0.0,0.0,0.0,0.0,0.2247298387808869,0.00693738878686041,0.0,0.0,0.22315607879329669,0.0,0.04170360268998273,0.0,0.0,0.0,0.2634385383260545,0.18184935750855177,0.06562711699122975,0.4977157403641961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11152091332926865,0.15634222366300898,0.0,0.0,0.0,0.0,0.0,0.1914045228701718,0.0,0.0,0.0,0.0,0.0,0.24931307749188292,0.0,0.0,0.0,0.0,0.0
