,F000,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063
F000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17927585971824608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34391546557581243,0.0,0.0,0.0,0.0,0.0,0.09626575475890796,0.5411161745762882,0.0,0.0,0.0,0.0,0.0,0.0,0.1667018830466014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06187719182444168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F001,0.0,0.0,0.03699731781934501,0.0,0.0,0.0,0.0,0.11066919176811611,0.0,0.0,0.0,0.12137912815442946,0.10563451895888548,0.0,0.0,0.0,0.0,0.013626951891333573,0.0,0.0,0.0,0.0,0.0,0.0,0.34239099947855933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3386254609395787,0.11938283071975736,0.0,0.0,0.0,0.0,0.0,0.0,0.046562168771999965,0.0,0.06380940330117553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009585848871073022,0.0,0.0,0.0,0.0,0.0,0.3114811992199587,0.0,0.0,0.0
F002,0.0,0.03699731781934501,0.0,0.0,0.35891574986901437,0.0,0.0,0.0,0.0,0.0,0.2355915865382742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06693947794201939,0.0,0.0,0.0,0.0,0.0,0.0,0.14978848247656126,0.09780265004486693,0.0,0.0,0.0,0.0,0.0,0.32577115579438853,0.09241181601668966,0.0,0.0,0.0,0.07699128345293216,0.0,0.21006398889349218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051666014344934355,0.0,0.02367724087217516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F004,0.0,0.0,0.35891574986901437,0.0,0.0,0.0,0.0,0.0,0.11512223643828454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5980641319355761,0.0,0.0,0.0,0.0,0.0,0.022623576260280425,0.0,0.0,0.0,0.0,0.0,0.18638348330965085,0.19506733456913797,0.0,0.0,0.0,0.16587028203530502,0.0,0.024477669705498587,0.0,0.0,0.0,0.0,0.22682799036534124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38850187016163557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08717675063896423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10072060997873226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4320100183585564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F007,0.0,0.11066919176811611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.193986322693887,0.0,0.19342099448319472,0.0,0.0,0.0,0.0,0.0,0.0,0.12568373214658354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2228840470829321,0.33837288059630183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06811196745231414,0.0,0.0,0.0,0.16740863841416567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07896623443823587,0.05134849664717831,0.0,0.09834258597577027,0.0,0.0,0.0
F008,0.0,0.0,0.0,0.0,0.11512223643828454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055534413503995406,0.0,0.5164832671954501,0.5915193104621649,0.0961788826106214,0.0,0.0,0.0,0.07308849800878602,0.02002474716474081,0.0,0.18902288343900267,0.08528919354779113,0.0,0.020258648802263208,0.05246388293738401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11538082355123533,0.017579124042194347,0.0,0.0,0.0,0.0,0.0,0.0,0.3890068554192218,0.0,0.12136851717082485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.193986322693887,0.0,0.0,0.0,0.16722729062424563,0.0,0.022828238478391518,0.0,0.0,0.0,0.0,0.2954458111782534,0.0,0.6042687897892343,0.0,0.0,0.0,0.023373969996074447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3354541598979184,0.07820980631454773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16223546255244015,0.0,0.0,0.0,0.0,0.0,0.04730181249703066,0.0,0.0,0.0,0.0,0.0,0.0502646929249233,0.0,0.15181210277158957,0.0,0.0,0.0
