,F000,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063
F000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13635189675271517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06867627285556926,0.0,0.0,0.0,0.0,0.0,0.0,0.4384058688717777,0.0,0.0,0.0,0.0,0.0,0.1323789876064843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011407951522577755,0.0,0.0,0.12853581962551758,0.0,0.0,0.0,0.0,0.0,0.0
F001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38227475305520037,0.25324180711582156,0.11843270415591965,0.0,0.4157468614360364,0.05849737111749502,0.0,0.0,0.025688653768135564,0.0,0.11470065252417158,0.0,0.0,0.0,0.0,0.0,0.39273803916655753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1975514896030338,0.0,0.147356234035079,0.0,0.0,0.0,0.0,0.0,0.0,0.19407635266661785,0.21658120902388442,0.0,0.0,0.0,0.0,0.0,0.0,0.10064442112073554,0.25249017148006087,0.0649920563374293,0.007841287445815644,0.0,0.43413783307892695,0.08546254637236814,0.1944444861050274,0.0,0.0,0.0,0.0,0.0
F002,0.0,0.0,0.0,0.0,0.44732496387957094,0.0,0.0,0.0,0.0,0.0,0.0713370323156936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12212494180607929,0.0,0.08779318481457696,0.0,0.0,0.0,0.0,0.0,0.0,0.16963609609512637,0.0,0.6182024269434363,0.0,0.0,0.20339741034733014,0.0,0.2198506472936196,0.0,0.0,0.0,0.0,0.0,0.44226500847783967,0.0,0.0,0.0,0.17010648841027387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44862516937641583,0.0,0.0,0.0
F003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F004,0.0,0.0,0.44732496387957094,0.0,0.0,0.0,0.0,0.0,0.01494715834172328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008650042875329587,0.0,0.0,0.0,0.0,0.0,0.06402584595480348,0.0,0.17105338659911043,0.0,0.0,0.10057608048862032,0.0,0.24383761353915248,0.0,0.0,0.0,0.0,0.08810768180174879,0.0,0.0,0.0,0.0,0.05356735345587207,0.0,0.0,0.0,0.0,0.0,0.590889751384385,0.0,0.02123995048994345,0.0,0.0,0.0,0.0,0.0,0.0,0.1049380210739538,0.0,0.04826968712645849,0.0
F005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18272154644086838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23463085786768934,0.0,0.0,0.0,0.0,0.0,0.053493205202359895,0.0,0.0,0.0,0.0,0.1465090864948705,0.0,0.22366191506734992,0.28113913979775257,0.0,0.0,0.0,0.0,0.0,0.31176091518398336,0.0,0.0,0.23612194517393684,0.0,0.0,0.0,0.0,0.0,0.0,0.20929087928435366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6982941446377483,0.0
F007,0.0,0.38227475305520037,0.0,0.0,0.0,0.0,0.0,0.0,0.03241224262644939,0.5074666027123379,0.0,0.45767086318222344,0.0,0.0,0.0,0.0,0.0,0.0,0.5064051226255004,0.0,0.5903624222470085,0.0,0.0,0.35226133839682233,0.0,0.08051475906967528,0.0,0.04563185789532769,0.0,0.0,0.0,0.0,0.0,0.0,0.255488941543343,0.0,0.097492440523255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3344192496839088,0.0,0.5136514445299479,0.0,0.0,0.0,0.0,0.11663685751943544,0.19070647975214558,0.0,0.0,0.0,0.0,0.3752827941978191,0.2594970919181999,0.0,0.006191453048386014,0.0,0.0,0.0
F008,0.0,0.25324180711582156,0.0,0.0,0.01494715834172328,0.0,0.0,0.03241224262644939,0.0,0.08238765829791339,0.0,0.13700936833957406,0.0,0.05056720357821851,0.0,0.33684373540957424,0.5906818087761825,0.42802532427912876,0.048436287346911897,0.0,0.0,0.0,0.0008375665094485158,0.0,0.0,0.2766012266772995,0.0,0.007807516593318047,0.0,0.0,0.0,0.0,0.0,0.0,0.1692528295477454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18898538386469482,0.20200743182057943,0.0,0.0,0.0,0.0,0.0,0.0,0.4896076966078778,0.0,0.21672875474072906,0.0,0.0,0.0,0.0,0.10551935239831436,0.0,0.0,0.0,0.0,0.0
F009,0.0,0.11843270415591965,0.0,0.0,0.0,0.0,0.0,0.5074666027123379,0.08238765829791339,0.0,0.0,0.4301041570823114,0.0,0.19354384470995387,0.0,0.0,0.0,0.4558340985851923,0.4480250250602379,0.0,1.2202442484102787,0.0,0.0,0.0,0.0,0.0,0.0,0.029848634778436415,0.0,0.023067600231840717,0.0,0.0,0.0,0.10606481369703111,0.3327606851586865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2509708680051853,0.0,0.3894481820178277,0.0,0.0,0.0,0.0,0.06916927637622236,0.36931055520288564,0.0,0.0,0.0,0.0,0.0,0.2852923213372821,0.0,0.1606561271959777,0.0,0.0,0.0
F010,0.13635189675271517,0.0,0.0713370323156936,0.0,0.0,0.0,0.18272154644086838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22614431759242878,0.0,0.09522473259352632,0.036471589055923306,0.0,0.0,0.0,0.0,0.0,0.13800973986645884,0.05353715437750344,0.14038103237751987,0.0,0.0,0.045788493956462346,0.0,0.19101092109539147,0.0,0.0,0.0,0.0,0.043034631172315777,0.3214343758918045,0.24927426406384612,0.0,0.0,0.011818478889880123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029172616415807345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23270302787914957,0.0
