,F000,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063
F000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24277057424363496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3081866480442418,0.0,0.0,0.0,0.0,0.0,0.0932090800392221,0.0,0.0,0.0,0.0,0.0,0.0,0.3559406250403466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F001,0.0,0.0,0.04778015025175855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18947476508955166,0.043031194575904125,0.0,0.0,0.0,0.0,0.0,0.0,0.149903025220378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5598695941593488,0.0,0.0,0.0,0.0,0.0035265579270183775,0.0,0.09526224486800255,0.0,0.0,0.0,0.5444962600668902,0.0,0.4380497292450064,0.07305991516609127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0994254278668234,0.0,0.0,0.0,0.0,0.0,0.0,0.030260281334904385,0.0,0.0
F002,0.0,0.04778015025175855,0.0,0.0,0.3732727586893155,0.0,0.0,0.0,0.0,0.0,0.2097962498874188,0.0,0.0,0.0,0.0,0.0,0.0,0.08394365463368425,0.0,0.0,0.0,0.10261008464027996,0.0,0.0,0.0,0.0,0.0,0.0,0.27110235738464483,0.005517111994098812,0.9326550244758884,0.0,0.0,0.0,0.0,0.07491199387952681,0.0,0.0,0.0,0.0,0.021882863368064397,0.0,0.0037680646279057033,0.0,0.0,0.0808229503372363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F004,0.0,0.0,0.3732727586893155,0.0,0.0,0.0,0.0,0.0,0.3206137165067929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21462359124565633,0.0,0.5636182907662206,0.0,0.0,0.11994396142994165,0.0,0.0,0.0,0.0,0.0,0.0,0.21470607674235567,0.0,0.0,0.0,0.22187322766350842,0.23484849397727486,0.3694046246308101,0.0579515340278637,0.0,0.0,0.0,0.4673186397458215,0.0,0.07732399063220306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052386673083069296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F007,0.0,0.0,0.0,0.0,0.0,0.0,0.052386673083069296,0.0,0.0,0.07616600756783545,0.0,0.09349553920436438,0.0,0.0,0.0,0.0,0.0,0.0,0.12370782845106691,0.03263371439558971,0.15157252656806586,0.0,0.0,0.008360431455917992,0.0,0.0,0.0,0.006984558605525928,0.0,0.0,0.0,0.004133561556707485,0.0,0.0068192323414300125,0.10562096990086965,0.0,0.0074420491428335706,0.1228321694378617,0.341806445985749,0.1671347485050863,0.09249211612416736,0.0,0.0,0.0,0.0,0.0,0.0,0.1216475555360151,0.0,0.0,0.0,0.0,0.0,0.019753761709346836,0.0,0.0,0.0,0.044355110457035204,0.0,0.0,0.10610813289647279,0.19355545283992717,0.0,0.0
F008,0.0,0.0,0.0,0.0,0.3206137165067929,0.0,0.0,0.0,0.0,0.0,0.0,0.07261939329446192,0.0,0.0506803231652129,0.0,0.0,0.0,0.0,0.0,0.0,0.20143693892907155,0.10350038036545549,0.0,0.0,0.0,0.0,0.0,0.0,0.034226846102327596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09341756300040169,0.0,0.0,0.0,0.22061911203858173,0.0,0.09492685426160766,0.0,0.0,0.0,0.0,0.4064749595843888,0.0,0.14484188081564822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07616600756783545,0.0,0.0,0.0,0.0,0.0,0.1279995461245125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18580219008531526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16129536195130323,0.0,0.0,0.0,0.0,0.0,0.0,0.0495827172205628,0.010246050497368682,0.0,0.0,0.0,0.0,0.07123746571646554,0.0,0.16744803187580024,0.0,0.0,0.0
