,F000,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063
F000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0817179770245876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36645188003268764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13365727655406442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15817226475768434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008397405182917528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003229538983093559,0.0,0.0,0.0,0.0,0.0,0.7085225633705765,0.0,0.40320466198011434,0.1259772505534643,0.0,0.0,0.023987728965836848,0.0,0.0,0.0,0.017469776686819892,0.0,0.0,0.03892973083741979,0.0,0.0,0.0004531824031719482,0.0,0.0,0.0,0.0,0.0,0.0
F002,0.0,0.0,0.0,0.0,0.3761860154411198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29270970722240813,0.0,0.0,0.0,0.11601606307744712,0.0,0.0,0.0,0.0,0.0,0.0,0.31297720923889544,0.0,0.0,0.0,0.0,0.5031651250639827,0.0,0.0,0.0,0.0,0.0,0.0,0.0647269213316984,0.0,0.008974724975481482,0.0,0.0,0.24027160992626717,0.0,0.0,0.0,0.0,0.0,0.0,0.0038152575913054914,0.01586653394118489,0.0,0.0,0.0,0.0,0.0,0.0,0.11961573490160089,0.0,0.0,0.0
F003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F004,0.0,0.0,0.3761860154411198,0.0,0.0,0.0,0.0,0.0,0.32147738914542456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21570072837274085,0.0,0.0,0.14452120235338908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13157400923954823,0.022202248726388766,0.0,0.0,0.0,0.2170882198044545,0.0,0.0,0.0,0.0,0.0,0.0,0.1684585673411187,0.0,0.0,0.0,0.0,0.02157833122732958,0.32579630274923094,0.0,0.0,0.0,0.0,0.2894384956632493,0.0,0.20653639139139185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22359986238500978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08366506178887619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2334489844450067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F007,0.0817179770245876,0.0,0.0,0.0,0.0,0.0,0.22359986238500978,0.0,0.0,0.0,0.0,0.16861352225393622,0.0,0.0,0.0,0.0,0.0,0.0,0.11495772057211577,0.09169549119080449,0.1887744239911192,0.0,0.0,0.12784263562884773,0.03722508096436248,0.01362341142548819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02160715394066016,0.32754849905409833,0.0,0.028738410204748002,0.16124379151696266,0.056559417388432766,0.0,0.12286996215843807,0.0,0.047033328153585026,0.0,0.06564556892857655,0.0,0.0,0.19356845185337737,0.0,0.0,0.0,0.09786692399492193,0.010118392637360533,0.0,0.0,0.0,0.0,0.004992718067534376,0.0,0.0,0.08310588656908875,0.07507435279920305,0.0,0.0
F008,0.0,0.0,0.0,0.0,0.32147738914542456,0.0,0.0,0.0,0.0,0.0,0.0,0.04079627486861782,0.0,0.0,0.0,0.0,0.0,0.016689404438192005,0.0,0.0,0.2955152408453984,0.07288019166605557,0.0,0.0,0.0,0.0,0.0,0.0,0.1137023320781187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0591860916347302,0.0,0.0,0.0,0.0,0.0,0.18917229083898515,0.0,0.0,0.0,0.0,0.329284545087958,0.0,0.12807586516377695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018749679067113854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06147714992154003,0.0,0.0,0.0,0.0,0.0,0.0,0.08875950049749778,0.0,0.0,0.0,0.0,0.0,0.0928030076250985,0.0,0.0,0.0,0.0,0.0
