,F000,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063
F000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28730615132364146,0.0,0.0,0.0,0.0,0.0,0.0,0.06620895603916706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F001,0.0,0.0,0.016607768016954405,0.0,0.0,0.0,0.0,0.04125439832952632,0.0,0.012664756789342256,0.014708352164097608,0.05606760699945374,0.13040192641401688,0.0,0.0,0.0,0.055218142652642285,0.0,0.13007038109306213,0.0,0.0,0.0,0.0,0.01885757217691554,0.24916966771343585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029355490208059137,0.0,0.05117179204153783,0.009618141770506348,0.0,0.0,0.0,0.0,0.0,0.24156593177588842,0.3123968455255515,0.24658922470365616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022532077499512883,0.0,0.018152098153644835,0.0,0.0,0.0,0.0,0.0,0.177862341189194,0.0,0.0,0.0
F002,0.0,0.016607768016954405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02763123750713303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1558385615732564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4297125376755097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07797993920586473,0.08278754357895449,0.1010034199016329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08937415445626831,0.0,0.0,0.04361880651297704,0.0,0.0819303929118602,0.0,0.0,0.024312473281491026,0.0,0.0,0.0,0.0,0.0,0.0055640737248735936,0.0,0.0,0.0,0.0,0.0,0.17588568988564127,0.0,0.0,0.0,0.0,0.0,0.0,0.2805976457206371,0.1290742806754779,0.0,0.0,0.0,0.20383207288286936,0.0,0.0,0.0,0.09992310365077803,0.0,0.0,0.0,0.0,0.0,0.0,0.28737341494447827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666655572170317,0.0,0.0,0.0
F005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24149135366049018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4586015045959947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F007,0.0,0.04125439832952632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04379961435777308,0.0,0.22390467275712525,0.0,0.0,0.0,0.0,0.0,0.0,0.12631649139774842,0.19351099569281144,0.0,0.0,0.0,0.0,0.0,0.1120775039663944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3811473478359679,0.0,0.0,0.12923806524023654,0.0,0.0,0.0,0.06094534247066266,0.0,0.31825076908489514,0.081633154616169,0.0,0.0,0.13815851871583226,0.0,0.0,0.0,0.0,0.17704965446855822,0.012142525360324438,0.0,0.0,0.0,0.0,0.13083510897398054,0.0,0.0,0.3161974862772907,0.0,0.0,0.0
F008,0.0,0.0,0.0,0.0,0.08937415445626831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3139595704233704,0.2261841828454286,0.15606563469075854,0.0,0.0,0.0,0.13624503349797426,0.0,0.10928526716177017,0.0,0.0,0.0,0.0,0.05137586991360816,0.0,0.0,0.0,0.0,0.0,0.0,0.02736895664171313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13326255967607958,0.0,0.0,0.0,0.0,0.0,0.0,0.11473319098407064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F009,0.0,0.012664756789342256,0.0,0.0,0.0,0.0,0.0,0.04379961435777308,0.0,0.0,0.0,0.2038812635366671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021830767031966614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9107301101969326,0.0,0.0,0.05475171440641029,0.0,0.0,0.0,0.07628316707249014,0.0,0.0,0.0,0.0,0.2370476292074894,0.06345722015826855,0.0,0.0,0.0,0.0,0.0,0.09150502199578767,0.0,0.0,0.0,0.0,0.0,0.07671193721040714,0.0,0.0,0.0,0.0,0.0
F010,0.0,0.014708352164097608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15326011870410416,0.0,0.0,0.0,0.0,0.0,0.0,0.05583092886165295,0.0,0.0939933627745597,0.06941560366430957,0.0,0.0,0.0,0.0,0.0,0.011986882336507689,0.0,0.0,0.0,0.0,0.0,0.0,0.14886722439137617,0.0,0.0,0.0,0.0,0.12727131333639127,0.0,0.15562921042856215,0.0,0.0790117552935611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030394753821477202,0.0,0.0,0.0,0.0,0.0,0.004918949336628704,0.0,0.0,0.0
F011,0.0,0.05606760699945374,0.02763123750713303,0.0,0.04361880651297704,0.0,0.0,0.22390467275712525,0.0,0.2038812635366671,0.0,0.0,0.0,0.025394851062425686,0.0,0.0,0.2367829684758805,0.0,0.074806842133014,0.0,0.0,0.0,0.0,0.47254659940959637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2433961464112433,0.0,0.0,0.17880424447959284,0.0,0.0,0.0,0.0,0.0,0.10226573089505464,0.24080703137574525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13840010649684778,0.025036557739803796,0.0,0.010675584484007553,0.0,0.0,0.14023223389570683,0.0,0.0,0.0,0.0,0.0,0.0
F012,0.0,0.13040192641401688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15326011870410416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19219590464234423,0.0,0.0,0.0,0.0,0.0,0.22979656416764038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030882137427616255,0.0,0.0,0.0,0.07770658085494697,0.0,0.0,0.0,0.0,0.0
F013,0.0,0.0,0.0,0.0,0.0819303929118602,0.0,0.0,0.0,0.0,0.0,0.0,0.025394851062425686,0.0,0.0,0.0,0.08381865484653812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10998596240496966,0.0,0.0,0.0,0.0,0.0,0.059403199051810435,0.0,0.0,0.0,0.002643874978979959,0.0,0.0,0.010100252921521582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0726078638839565,0.0,0.0,0.0,0.07979957928496409,0.0,0.0,0.0,0.0,0.009717165632882444,0.09040472684533747,0.0,0.0,0.0,0.1398376132505913,0.0,0.0
F014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3139595704233704,0.0,0.0,0.0,0.0,0.08381865484653812,0.0,0.0,0.0,0.08882116415003435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04976876125906149,0.2642605804618149,0.0,0.0,0.0,0.0,0.0,0.0024182893118794083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003671146335878515,0.18779327813350535,0.0,0.0,0.0,0.0,0.0,0.0,0.21269958688741594,0.0,0.0,0.17217890584206785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F016,0.0,0.055218142652642285,0.0,0.0,0.024312473281491026,0.0,0.0,0.0,0.2261841828454286,0.0,0.0,0.2367829684758805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004815938206146046,0.0,0.0,0.0,0.0,0.0,0.24238183068481772,0.0,0.0,0.0,0.0,0.0,0.0,0.14485108603920605,0.030097214854950687,0.0,0.0,0.0,0.3854532264563983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15606563469075854,0.0,0.0,0.0,0.0,0.0,0.0,0.08882116415003435,0.0,0.0,0.0,0.0,0.0,0.04470073289116589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1660982192911779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18650263726505964,0.0,0.0,0.0,0.0,0.07474298918696592,0.0,0.0,0.0,0.0,0.0
F018,0.0,0.13007038109306213,0.0,0.0,0.0,0.0,0.0,0.12631649139774842,0.0,0.0,0.0,0.074806842133014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22066761867220105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25113138494172677,0.0,0.0,0.0,0.2450956751838709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2390757568558936,0.0,0.0,0.0,0.0,0.0766040512415297,0.0,0.0,0.0,0.0,0.0,0.0
F019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19351099569281144,0.0,0.0,0.05583092886165295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2795097197363877,0.0,0.0,0.0,0.08145261694596255,0.02089714135787306,0.0,0.0,0.0,0.0,0.0
F020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F021,0.0,0.0,0.1558385615732564,0.0,0.0,0.0,0.0,0.0,0.13624503349797426,0.0,0.0939933627745597,0.0,0.19219590464234423,0.0,0.0,0.0,0.0,0.04470073289116589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006638441980385968,0.0,0.0,0.0,0.0,0.0,0.0,0.0851766025229541,0.0,0.0,0.0,0.0,0.0,0.0,0.0686431494349602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010337006390582456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F022,0.0,0.0,0.0,0.0,0.0055640737248735936,0.0,0.0,0.0,0.0,0.0021830767031966614,0.06941560366430957,0.0,0.0,0.0,0.0,0.0,0.004815938206146046,0.0,0.22066761867220105,0.0,0.0,0.0,0.0,0.2734899907470601,0.0,0.0,0.0,0.0,0.0,0.029196089789301796,0.0,0.0,0.0,0.16970928950668382,0.0,0.0,0.03566020641624216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35272414421904535,0.12094419383765474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F023,0.0,0.01885757217691554,0.0,0.0,0.0,0.0,0.0,0.0,0.10928526716177017,0.0,0.0,0.47254659940959637,0.0,0.10998596240496966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2734899907470601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21484740884222678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010250534904466124,0.0,0.0,0.0,0.0,0.0,0.0
F024,0.0,0.24916966771343585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22218782487125607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38528654026172093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04422163807883756,0.0,0.0,0.0,0.0,0.0
