,F000,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063
F000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23585522612168353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045754140654978945,0.0,0.0,0.0,0.0,0.0,0.04599316701979657,0.429634555485297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27470346765814585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0429396251006426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08925003013245682,0.0,0.20609749516066206,0.0,0.3024764435858918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042329306914617615,0.018011149722338585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14693692992912508,0.0,0.0,0.0,0.0,0.08075667667716636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2984552288744069,0.16810003267474138,0.0,0.0,0.0,0.0,0.0,0.0,0.035699946956342106,0.0,0.0,0.06976221674578456,0.0,0.0,0.034907018332613345,0.006480678116600699,0.0,0.0,0.35052734397906915,0.0,0.0
F002,0.0,0.0,0.0,0.0,0.22318686357550768,0.0,0.0,0.0,0.0,0.0,0.2665503091216489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035801159459261545,0.0,0.0,0.0,0.0,0.0,0.0,0.1960911289154052,0.0,0.0,0.0,0.0,0.07771467456045554,0.0,0.05097180663857468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033693796984644184,0.0,0.0,0.0,0.0,0.0,0.0,0.015887296603973103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19039246460198125,0.0,0.0,0.0
F003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F004,0.0,0.0,0.22318686357550768,0.0,0.0,0.0,0.0,0.0,0.30953221336759806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1530818450517894,0.0,0.0,0.0,0.0,0.2881231611000414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09544663802338685,0.053736539195376735,0.0,0.0,0.0,0.3793981166593553,0.0,0.09554180273907015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21457291255581215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21064608732879953,0.0,0.0,0.0,0.0,0.0,0.07129657655622162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3407729685473677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3426416767488288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F007,0.0,0.08925003013245682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22824152355053923,0.0,0.17305851439233946,0.0,0.0,0.0,0.06047041594972006,0.0,0.0,0.15062795394842418,0.013311188639931979,0.09900373025928104,0.0,0.0,0.0,0.2702693735218067,0.0,0.0,0.042662356678141354,0.0,0.0,0.0,0.0,0.0,0.0,0.21357573460188908,0.0,0.029743623492177868,0.03860364979348406,0.4408873214206751,0.0,0.0036482522687476195,0.0,0.0,0.0,0.0,0.0,0.04589152505893005,0.11965910688887228,0.0,0.0,0.0,0.0,0.029650508023856322,0.0,0.0,0.0,0.0,0.08741716483988335,0.0924211926380097,0.0,0.0,0.26863820698934143,0.0,0.0
F008,0.0,0.0,0.0,0.0,0.30953221336759806,0.0,0.0,0.0,0.0,0.0,0.0,0.15022432051806445,0.0,0.0,0.0,0.0,0.0,0.28834522827468984,0.0,0.0,0.35972325492419943,0.1753370153640465,0.0,0.0,0.0,0.0,0.0,0.0,0.04933509215934155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4214644257159688,0.0,0.19073392959013832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F009,0.0,0.20609749516066206,0.0,0.0,0.0,0.0,0.0,0.22824152355053923,0.0,0.0,0.0,0.17507467974409702,0.0,0.08440382853804865,0.0,0.0,0.0,0.0,0.4123905493771453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04965220400199775,0.0,0.0,0.0,0.0,0.0,0.10257755802208222,0.0,0.0,0.0,0.0,0.0,0.15799495847916645,0.0,0.0,0.0,0.0,0.0
