,F000,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063
F000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011130991590982157,0.0,0.02063433663750923,0.0,0.2637705094274301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12773097208913306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08299604264785122,0.12149540801779023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20341245588128581,0.36745271977513394,0.0,0.0,0.0,0.0,0.0,0.0,0.23107143822037748,0.19146713224242745,0.0,0.09300594307325429,0.0,0.0,0.0,0.0,0.0,0.22259485455942835,0.0,0.0,0.0
F002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08386484045884886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012029986388334458,0.0,0.0,0.0,0.0,0.0,0.0,0.18239235568037535,0.0,0.0,0.0,0.0,0.0,0.0,0.35295799611907436,0.0,0.0,0.0,0.0,0.4304741235528294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0688961760297887,0.06640691350587362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005336455256465378,0.0,0.0,0.0,0.0,0.030219810072439592,0.0,0.0,0.0,0.29844590015111316,0.0,0.0,0.0,0.0,0.036508987810310534,0.0,0.0,0.0,0.0,0.0,0.10930166469482339,0.0,0.0,0.0,0.0,0.2907798824779767,0.0,0.0,0.0879686434831063,0.0,0.0,0.0,0.06870987738879661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3827697815749535,0.0,0.0,0.1129365974364305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10021717876272485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F007,0.0,0.011130991590982157,0.0,0.0,0.0,0.0,0.3827697815749535,0.0,0.0,0.07050898045408154,0.0,0.1608539516292991,0.0,0.0,0.0,0.0,0.0,0.0,0.29143485245563217,0.0,0.22962069185941356,0.0,0.0,0.0,0.12136134695937134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26250686415675634,0.28605136750989746,0.0,0.06739176371024315,0.0,0.20515828032335692,0.0,0.20830539562605815,0.0,0.015991928960198118,0.0,0.03298423056062704,0.0,0.0,0.0,0.0,0.0,0.0,0.26081991258787707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13171140446237417,0.0,0.0,0.0
F008,0.0,0.0,0.0,0.0,0.005336455256465378,0.0,0.0,0.0,0.0,0.0,0.1470781667447425,0.0,0.0,0.0,0.0,0.18830206621474518,0.0,0.26646686730688307,0.0,0.0,0.0,0.04527534365968324,0.003933330686913308,0.0,0.6853010897389633,0.0,0.0,0.18699469505354002,0.0,0.0,0.0,0.0,0.0,0.0,0.32531331588417184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26549090895328964,0.0,0.0,0.0,0.0,0.0,0.0,0.05074287311495622,0.0,0.2171071500806016,0.0,0.0,0.0,0.0,0.0,0.0,0.03412848385055105,0.0,0.0,0.0
F009,0.0,0.02063433663750923,0.0,0.0,0.0,0.0,0.0,0.07050898045408154,0.0,0.0,0.0,0.18708606193503338,0.0,0.012552547561342178,0.0,0.0,0.0,0.0,0.40647932251010505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36830251576821355,0.44360904260764283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5548330550922064,0.0,0.0,0.0,0.0,0.0,0.16667098653021584,0.0,0.21411617721634882,0.0,0.0,0.0
F010,0.0,0.0,0.08386484045884886,0.0,0.0,0.0,0.1129365974364305,0.0,0.1470781667447425,0.0,0.0,0.0,0.0,0.0,0.0,0.09099842656601642,0.0,0.07463376553424854,0.0,0.0,0.0,0.045850735055213476,0.041644004740305156,0.0,0.25640263068032654,0.0,0.0,0.0,0.0,0.13869989981319408,0.23430237742074117,0.0,0.0,0.0,0.0,0.21996070641783347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18353225009065108,0.03893269987648113,0.0,0.0,0.0,0.0,0.0,0.23471601193576638,0.0,0.13971602526761873,0.0
F011,0.0,0.2637705094274301,0.0,0.0,0.0,0.0,0.0,0.1608539516292991,0.0,0.18708606193503338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028023863884534326,0.0,0.0,0.0,0.0,0.013634009765768371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12997751241784314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23885561797372593,0.2442754530236756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023751573230315872,0.24998360596276795,0.0,0.0,0.0,0.0,0.0
F012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06377108497328099,0.0,0.0,0.0,0.0,0.0,0.28792913475421533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15089754319460424,0.1542536963689631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06797418384088409,0.0,0.0,0.0,0.1908190826650798,0.0,0.0,0.0,0.0,0.0
F013,0.0,0.0,0.0,0.0,0.030219810072439592,0.0,0.0,0.0,0.0,0.012552547561342178,0.0,0.0,0.0,0.0,0.0,0.0710610894272663,0.0,0.0,0.0,0.0,0.19859695700958105,0.0,0.0,0.1843637398953698,0.0,0.04452595521502496,0.0,0.0,0.0,0.0027482105018640504,0.0,0.0,0.0,0.0,0.0,0.0,0.0204210890735852,0.0,0.0,0.0,0.004549506465401266,0.0,0.0,0.0,0.0,0.041464410167790705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18830206621474518,0.0,0.09099842656601642,0.0,0.0,0.0710610894272663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00686184652460895,0.0,0.0,0.0,0.0,0.0,0.0013850229566537565,0.0,0.25728104503053645,0.0,0.0,0.0,0.0,0.0,0.10055294583426161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1206439991174013,0.4519735265999747,0.0,0.0,0.0,0.0,0.0,0.0,0.15257472496470126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34766574066651845,0.0,0.0,0.0,0.0,0.026978632243365573,0.0,0.0,0.0,0.0,0.0,0.0,0.22333508469836322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F017,0.0,0.0,0.0,0.0,0.29844590015111316,0.0,0.0,0.0,0.26646686730688307,0.0,0.07463376553424854,0.0028023863884534326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14907123852197826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2335268868716671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29143485245563217,0.0,0.40647932251010505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09613399156423647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9191473289160845,0.0,0.0,0.0,0.0,0.0,0.025331480182112072,0.0,0.0,0.0,0.22050589801346118,0.0,0.0,0.0,0.0,0.0,0.0,0.8668484259133602,0.04310353318079304,0.0,0.0,0.0,0.0,0.08619625326368832,0.0,0.0,0.587842487699236,0.0,0.0,0.0
F019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04724280979365001,0.0,0.0,0.0,0.0,0.0,0.0,0.02026256403008707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06731828421172609,0.0,0.0,0.10750821596980303,0.0,0.0,0.0,0.0,0.0,0.0
F020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22962069185941356,0.0,0.0,0.0,0.0,0.0,0.19859695700958105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12179749475539418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F021,0.0,0.0,0.0012029986388334458,0.0,0.0,0.0,0.0,0.0,0.04527534365968324,0.0,0.045850735055213476,0.0,0.06377108497328099,0.0,0.0,0.00686184652460895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1091881888416322,0.0,0.13259400259128198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01865112628211843,0.0,0.0,0.0,0.0,0.010757051414814407,0.0,0.047476476074192434,0.0,0.0,0.04591527722577395,0.0,0.0,0.0,0.0,0.0,0.0
F022,0.0,0.12773097208913306,0.0,0.0,0.036508987810310534,0.0,0.0,0.0,0.003933330686913308,0.0,0.041644004740305156,0.013634009765768371,0.0,0.0,0.0,0.0,0.0,0.14907123852197826,0.09613399156423647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06412824085568844,0.532457825427141,0.0,0.0,0.0,0.0,0.0,0.06291141164004044,0.0,0.07175790062972902,0.0,0.09007695536532047,0.06765147555140812,0.0,0.0,0.0,0.0,0.0,0.32229832892573973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2669514337803104,0.0,0.0,0.0
F023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1843637398953698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20332641703123722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12136134695937134,0.6853010897389633,0.0,0.25640263068032654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1670062684470971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04452595521502496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025459881603304074,0.01375816457526078,0.0,0.0,0.0,0.0,0.0,0.0,0.0645105141659284,0.0,0.0,0.0,0.0,0.0,0.01173879257380095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18699469505354002,0.0,0.0,0.0,0.28792913475421533,0.0,0.0,0.0013850229566537565,0.0,0.0,0.0,0.0,0.0,0.1091881888416322,0.0,0.0,0.1670062684470971,0.0,0.0,0.0,0.0,0.33637682866511154,0.0,0.0,0.0,0.0,0.12271853526515601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00933241848353946,0.0,0.0,0.11030533260926106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15685841195243272,0.06880094385790571,0.2107401185563051,0.0,0.0,0.0,0.0,0.0
F028,0.0,0.0,0.18239235568037535,0.0,0.10930166469482339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04724280979365001,0.0,0.0,0.0,0.20332641703123722,0.0,0.025459881603304074,0.0,0.0,0.0,0.0,0.09554279178829728,0.0,0.0,0.12499475785748553,0.0,0.0,0.04409885608785824,0.0,0.04343320892175215,0.0,0.19749994250174474,0.0,0.10956783156086869,0.03162120025780092,0.0,0.05514407046536443,0.0,0.0,0.0,0.0,0.0,0.09389192086683189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3014523859025298,0.0
F029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13869989981319408,0.0,0.0,0.0027482105018640504,0.0,0.25728104503053645,0.0,0.0,0.0,0.0,0.0,0.13259400259128198,0.0,0.0,0.0,0.01375816457526078,0.0,0.33637682866511154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09088264333986111,0.0,0.0,0.0,0.0,0.0,0.0,0.11972396332948082,0.014572047844556667,0.0,0.3325812968017486,0.054124245202621005,0.0,0.0,0.0,0.0,0.0,0.0
