,F000,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063
F000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3327049656705203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12086044257035317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30526722255870564,0.047964493951935465,0.0,0.0,0.0,0.0,0.0,0.5192839093554679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2831054188647388,0.1644748073107873,0.0,0.0,0.16798918414294842,0.0,0.0,0.0,0.0,0.008346918591143528,0.0,0.0,0.0,0.0,0.0,0.0,0.2640390226834536,0.14867377033291573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057633888595385215,0.0,0.0,0.0,0.23173147027679783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19675027830837935,0.0,0.06807082448441835,0.0,0.0,0.21301988000099592,0.2040293699786564,0.0,0.0,0.3556462039498342,0.0,0.0
F002,0.0,0.0,0.0,0.0,0.2432564192320427,0.0,0.0,0.0,0.0,0.0,0.11704900163628987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12257723506362175,0.0,0.0,0.0,0.0,0.0,0.0,0.2223221277505084,0.0,0.5194385861112423,0.0,0.0,0.052055471611812815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30928926647694105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064422801333871875,0.0,0.0,0.0,0.0,0.0,0.18518666762103062,0.0,0.0,0.0
F003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F004,0.0,0.0,0.2432564192320427,0.0,0.0,0.0,0.0,0.0,0.15200978434679122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14150319856070984,0.03310256980268632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09496887835994296,0.09075093071283034,0.0,0.0,0.0,0.12830750494743753,0.0,0.0,0.0,0.0,0.0,0.0,0.29328641714171105,0.0,0.0,0.0,0.0,0.0,0.020839115824752934,0.0,0.0,0.0,0.0,0.2826051196895217,0.0,0.1253800179418983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3168993920527448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002745679281437608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F007,0.0,0.2831054188647388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13735078087009853,0.0,0.3796857281416235,0.0,0.10563926451672895,0.0,0.0,0.0,0.15293197290115348,0.08962490908793407,0.0,0.3080874717823979,0.0,0.0,0.15887009021752843,0.44263654569025557,0.0,0.0,0.05206239075402522,0.0,0.0,0.0,0.0,0.0,0.0,0.06349005629874611,0.0,0.035193933359921103,0.0,0.0,0.0,0.10512952410447962,0.0,0.0,0.0,0.0,0.0,0.0,0.2902198277820864,0.0,0.0,0.13134011268728685,0.28393124026045724,0.1279577756486604,0.005319765958883536,0.0,0.0,0.0,0.29993651745354455,0.2501433634081963,0.0,0.0,0.5002600508215361,0.0,0.0
F008,0.0,0.1644748073107873,0.0,0.0,0.15200978434679122,0.0,0.0,0.0,0.0,0.0,0.0,0.21823443657319141,0.0,0.16348263575614777,0.0,0.2637390075614394,0.6238289682907019,0.26734955793720705,0.0,0.0,0.2416867893197081,0.0,0.0,0.11081892541552268,0.43706893055946855,0.0,0.0,0.09230443817458474,0.0,0.05498827994649636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00909665772003711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31008908280241815,0.0,0.14633856684022745,0.0,0.0,0.0,0.0,0.1426667021821689,0.0,0.0,0.16177304331501347,0.0,0.0
F009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13735078087009853,0.0,0.0,0.0,0.2667756627914471,0.0,0.04265436041363359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048115589330548755,0.09451001275272486,0.0,0.0,0.0,0.0,0.0
