,F000,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063
F000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2165991409582922,0.0,0.025629405652527387,0.0,0.0,0.0,0.0,0.6549530126398706,0.0,0.0,0.0,0.0,0.0,0.0,0.027300386827174748,0.0,0.0,0.0,0.0,0.0,0.0,0.30068746272062513,0.0,0.0,0.0,0.0,0.0,0.0019067499662281497,0.11135809651022999,0.0,0.0,0.0,0.0,0.0,0.06134117312887349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11834315242986679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04739671758524326,0.0,0.010995921428718287,0.0,0.07322607333269003,0.2395653668657905,0.0,0.0,0.0,0.0,0.0,0.6160362031464539,0.0,0.0,0.0,0.0,0.0,0.0,0.07121218261571532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01160453958101561,0.0,0.0,0.0,0.0,0.0,0.0,0.2351752816649967,0.5764664887910114,0.4420064960402626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09384771898067758,0.0,0.09418114589503203,0.0,0.0,0.0,0.11371548757936094,0.0,0.38475358657066655,0.0,0.0,0.0
F002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02190198321826566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24306982375024186,0.0,0.0,0.0,0.0,0.0,0.0,0.24284864932162262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06121204826144838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01915801172300021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03445895907687648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030267264706652162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3031745408295392,0.0,0.0,0.0,0.0,0.0850987001751261,0.0,0.0,0.0,0.0,0.0,0.0,0.15198128591608062,0.07748282266244705,0.0,0.0,0.0,0.1366995978025277,0.3448036408211796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020069308453307545,0.004308898539097194,0.0,0.0,0.058416425516386844,0.0,0.0,0.0
F005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2871944219721357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039853924688573655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14417402819081618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6509089410675775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F007,0.0,0.04739671758524326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11440516388621325,0.0,0.0,0.0,0.0,0.0,0.0,0.4024052167323151,0.14454441160589737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018877753478724682,0.0,0.0,0.0,0.0,0.0,0.0,0.12115479469844383,0.0,0.06081946611302314,0.0,0.0,0.0,0.036996395255083164,0.0,0.04226321729390501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05034001980752906,0.10177916528498634,0.0,0.0451560721224605,0.0,0.0,0.0
F008,0.2165991409582922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33482363935961446,0.0,0.3026387070223113,0.0,0.0,0.0,0.02080418453529654,0.0,0.10360096824623213,0.0,0.3282526043359236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14227419625025042,0.0752916616474455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3362710458693477,0.051742715928515155,0.0,0.0,0.0,0.0,0.0,0.0,0.3101020070506519,0.0,0.1463811419917467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F009,0.0,0.010995921428718287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2977410586460423,0.0,0.05687759822475514,0.0,0.0,0.0,0.0,0.4754742867921231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010867976323195876,0.0,0.005813523565956613,0.0,0.0,0.0,0.7333588607493856,0.0,0.0,0.004007798666475253,0.0,0.0,0.0,0.04721336579741693,0.0,0.0,0.0,0.0,0.02006400571837597,0.0013905445228328808,0.0,0.0,0.0,0.0,0.0,0.2096010198897196,0.0,0.0,0.0,0.0,0.0,0.25322408529295964,0.0,0.0,0.0,0.0,0.0
