,F000,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063
F000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4073558293857352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2438529492429238,0.0,0.0,0.0,0.0,0.0,0.1917139445803637,0.26954882209535336,0.0,0.0,0.0,0.0,0.0,0.0,0.052155292332180934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F001,0.0,0.0,0.15872553986029608,0.0,0.0,0.0,0.0,0.1850393951991463,0.1439448376949587,0.13016080246077552,0.0,0.24592598690912307,0.2409303519344797,0.0,0.0,0.0,0.03723530471907926,0.016207294366866996,0.0,0.0,0.0028187966655986124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2902999639492976,0.0021444486447817013,0.339726044200143,0.0,0.0,0.0,0.0,0.0,0.0,0.04789095427775895,0.04162200480621009,0.0,0.08393565466140582,0.0,0.388340882451576,0.0,0.05171259422046106,0.0,0.0,0.0,0.0,0.0
F002,0.0,0.15872553986029608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18703712992753105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0754511801019183,0.0,0.0,0.0,0.0,0.0,0.0,0.17455724893039262,0.0,0.0,0.0,0.0,0.36430563530502297,0.0,0.4652448160872655,0.0,0.0,0.0,0.0,0.046520869193445204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06756549727173707,0.13682737974823203,0.0,0.0,0.0,0.0,0.0,0.09569671494934717,0.0,0.0,0.0
F003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03060591303213822,0.0,0.0,0.0,0.0,0.5293165017397292,0.0,0.265324434067829,0.0,0.0,0.0,0.0,0.15791540428345346,0.0,0.04756055772618393,0.0,0.0,0.1421704531597492,0.0,0.0,0.0,0.0,0.0,0.0,0.010999541493813558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44843887420587714,0.0,0.0,0.0
F005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19984367754585466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2185624524069224,0.0,0.0,0.0,0.0,0.0,0.12474477991116713,0.0,0.0,0.0,0.0,0.0,0.0,0.1101018033228967,0.07218974711944219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4095792318118712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F007,0.0,0.1850393951991463,0.0,0.0,0.0,0.0,0.0,0.0,0.07073089573858983,0.3934224465735035,0.0,0.29936727227139553,0.0,0.0,0.0,0.0,0.0,0.0,0.3995729410154454,0.0,0.2662681761315327,0.0,0.0,0.0,0.0,0.0,0.0,0.019065854200480927,0.0,0.0,0.0,0.0,0.0,0.0,0.21914883477460162,0.0,0.04447823727242803,0.0,0.0,0.0,0.0,0.0,0.06026224954847405,0.0,0.27610287828909236,0.0,0.31886596782201543,0.15023158900206998,0.0,0.0,0.0,0.22189721972091153,0.00646231564055137,0.0,0.0,0.0,0.08041337175522531,0.042814823822993495,0.17369599109296038,0.0,0.0,0.0,0.0,0.0
F008,0.0,0.1439448376949587,0.0,0.0,0.0,0.0,0.0,0.07073089573858983,0.0,0.0,0.0,0.2066818720358197,0.0,0.05748837856502458,0.0,0.20698739564651636,0.5222373913182803,0.05633875139163732,0.03328345769964012,0.0,0.1951325076739662,0.0,0.0,0.0,0.5110079790675646,0.0,0.0,0.11770141285478451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23061225328991244,0.0,0.0,0.0,0.0,0.0,0.40119767623675573,0.0,0.0,0.0,0.0,0.0,0.0,0.3491618641130051,0.0,0.01448477003058913,0.0,0.0,0.18947133836330793,0.0,0.13696621593032907,0.0,0.0,0.0,0.0,0.0
F009,0.0,0.13016080246077552,0.0,0.0,0.0,0.0,0.0,0.3934224465735035,0.0,0.0,0.0,0.2909222227166867,0.0,0.055886986614918914,0.0,0.0,0.0,0.48305189464949994,0.5477215980285878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03602002726921186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5831421989176656,0.0,0.0,0.0,0.0,0.0,0.36195593415786204,0.0,0.0,0.0,0.0,0.0,0.2340852435485142,0.0,0.0,0.0,0.0,0.0
