,BuenosAires,Sydney,Vienna,Dhaka,SaoPaulo,Toronto,HongKong,Bogota,Paris,Mumbai,NewDelhi,Jakarta,Osaka,KualaLumpur,MexicoCity,Amsterdam,Lagos,Lima,Manila,Moscow,Singapore,CapeTown,Johannesburg,Seoul,Taipei,Bangkok,Istanbul,London,LosAngeles,NewYorkCity
BuenosAires,1.0,0.40052261554023644,0.3072816131246128,0.263454843440351,0.44484091008226145,0.4201851351022369,0.23236794983850512,0.4090128338547619,0.3971917076620963,0.2125567303512731,0.3510047254685393,0.2904279042847156,0.3429640306473784,0.3071979651759405,0.48006384192224544,0.32332610497376646,0.2813687555966861,0.3913239261006711,0.3942276105819714,0.3802559905387495,0.30516287483587795,0.41559612495889214,0.4367642562126872,0.3713519665752842,0.4122915760410353,0.26124552690575115,0.45686555221816083,0.34716438458718935,0.39965710440969315,0.37696331794130405
Sydney,0.40052261554023644,0.9999999999999999,0.3273711041635296,0.1967515197090314,0.47141174182394274,0.5005068148909999,0.2635666884191621,0.35394485766897055,0.33462769667753406,0.193811403914596,0.26480936570050945,0.26998183888121086,0.36276374410303763,0.3738601826316578,0.40451403219696064,0.25824052823657695,0.27519816362144645,0.27855455859825945,0.31311186104718863,0.4208733935849418,0.4228281244781019,0.505855608470964,0.5022355633004775,0.33376595075093973,0.36884108474077426,0.30052820469094754,0.31871837589747254,0.3153808910081496,0.6364255398732866,0.5696258301360516
Vienna,0.3072816131246128,0.3273711041635296,1.0,0.2124395538358989,0.32229831801244035,0.2838329793449081,0.31729429424321104,0.27795494808158344,0.5420123164686406,0.20102306849734702,0.3237521289831678,0.254898058188869,0.31034424347039297,0.28403884076413977,0.3499255784033094,0.39601353504234504,0.24692189849918178,0.20690311131737577,0.3017587395105093,0.4180404270844262,0.2411892311735153,0.34351321732593626,0.355446950710773,0.3856513388775418,0.32092283566037305,0.2611351144343733,0.5134431412433519,0.46921258182373987,0.28232254661221423,0.3053001624028457
Dhaka,0.263454843440351,0.1967515197090314,0.2124395538358989,1.0,0.30697899830382347,0.15936939028051694,0.32792666953645355,0.29181908492683173,0.2837489373353616,0.3667623694553168,0.47905790638659385,0.5048707621746025,0.2805845983979384,0.3639252605218573,0.320278951266581,0.3697375145897135,0.2552470644993458,0.27199976615420335,0.4207964330768687,0.2547612944255351,0.23352725600576624,0.27263549057377984,0.2905481913230412,0.3026284734458802,0.4192312468446144,0.48470680703025437,0.40268373549237024,0.18486346537687195,0.15439628688763327,0.16431054903872266
SaoPaulo,0.44484091008226145,0.47141174182394274,0.32229831801244035,0.30697899830382347,1.0,0.3871181049388175,0.37915541373236844,0.6559049932380888,0.37748268856425465,0.3402469473038875,0.4501012049777938,0.4761280897089921,0.4538819470501021,0.40208032543654915,0.652515447591998,0.3390040711139074,0.34707833785258935,0.4671224082752988,0.5621248545861127,0.35253056937810023,0.40890717725845704,0.5194515318937017,0.40488694569559336,0.4925967777509696,0.505864332992323,0.4099238662383625,0.5477480317697252,0.3439942037353315,0.4633023741000971,0.44086749020634
Toronto,0.4201851351022369,0.5005068148909999,0.2838329793449081,0.15936939028051694,0.3871181049388175,1.0,0.22776261991103086,0.27459869279871274,0.3758807312111176,0.20459080380972466,0.2247500009186575,0.1974301995567326,0.3083027036042447,0.24577555000629747,0.3238184893788127,0.25661647423569595,0.2122401350017037,0.19944318935066643,0.2922295662167677,0.3692926574180239,0.3130565985255973,0.45368863320894803,0.5023932279044997,0.3412932593713829,0.28767564613437907,0.20303862994786975,0.3302580552937427,0.4152589544005304,0.580082053170791,0.6017734315991938
HongKong,0.23236794983850512,0.2635666884191621,0.31729429424321104,0.32792666953645355,0.37915541373236844,0.22776261991103086,1.0,0.34141723105724714,0.3660749051762917,0.3887315257783247,0.40014166150645486,0.3055286964019624,0.44370779741754984,0.42234201448229297,0.33312081683317435,0.36103301987755876,0.2962733125157746,0.3052450607637212,0.3672152343127549,0.3411993900962749,0.36036524117754265,0.35155159046213585,0.308824797942132,0.48619588817521825,0.5504481263033841,0.368484635342038,0.4446660918964267,0.33471420541488583,0.2663156005307936,0.24385762320921284
Bogota,0.4090128338547619,0.35394485766897055,0.27795494808158344,0.29181908492683173,0.6559049932380888,0.27459869279871274,0.34141723105724714,1.0,0.32343003383761076,0.34188114968450595,0.3998239422717811,0.37088303565694697,0.4440086555073612,0.3718942567673199,0.5731653270212553,0.34968091352756137,0.26928422188092466,0.5621492125394394,0.48352547283705566,0.25763139495927373,0.3573506285792625,0.4257871611939157,0.3250497723871844,0.4724217356813888,0.46433867533098,0.400919894062758,0.5304327493489637,0.25644440296595505,0.2920113443458577,0.28424124860279276
Paris,0.3971917076620963,0.33462769667753406,0.5420123164686406,0.2837489373353616,0.37748268856425465,0.3758807312111176,0.3660749051762917,0.32343003383761076,0.9999999999999999,0.2907386598033521,0.37009749724479757,0.3003240370695679,0.35993958078937166,0.34152649027252746,0.40256668503793946,0.46119118858934954,0.2984421455305816,0.21996270304747365,0.3898138665593332,0.4138960796267088,0.3243413761816779,0.40899169757455744,0.4061422272798986,0.4537176557741815,0.410097463179694,0.3049663876845013,0.5500485406432847,0.6243916218798994,0.3301778958600735,0.36646055974118186
Mumbai,0.2125567303512731,0.193811403914596,0.20102306849734702,0.3667623694553168,0.3402469473038875,0.20459080380972466,0.3887315257783247,0.34188114968450595,0.2907386598033521,1.0,0.4995625470711055,0.33924570205111965,0.3174390044762719,0.301502653473604,0.34561562986026684,0.26833634626637737,0.19880265756287857,0.285992960260075,0.3324709979562926,0.18615754816991614,0.28736828231912825,0.27486878456771835,0.23638158425471825,0.35727400668534937,0.3592248579709359,0.3265675176720599,0.41106766385701243,0.25637341871000274,0.19368703039475604,0.18273422052442723
