city,n_valid_grids,n_adjacent_grid_pairs,local_visual_continuity
BuenosAires,829,554,0.8952893841461504
Sydney,1084,1369,0.9107443761749241
Vienna,637,1093,0.9271355097283852
Dhaka,509,432,0.8835978786213703
SaoPaulo,997,1072,0.9027473335033598
Toronto,832,550,0.8993425087159512
HongKong,202,313,0.934803665424854
Bogota,440,766,0.9442589840413032
Paris,754,470,0.8834787848032645
Mumbai,555,879,0.9279405247221881
NewDelhi,810,770,0.8852023701232451
Jakarta,583,342,0.8757548754489481
Osaka,851,624,0.8929837507598555
KualaLumpur,882,1344,0.910002477216163
MexicoCity,973,1066,0.9064163378289988
Amsterdam,603,974,0.9190457762297378
Lagos,739,1208,0.924158063364941
Lima,707,1122,0.9294979155994247
Manila,854,953,0.9038582486125325
Moscow,599,285,0.8923110793447928
Singapore,354,615,0.9532191649002253
CapeTown,769,1275,0.9319973616329459
Johannesburg,977,1124,0.9008923770805743
Seoul,807,720,0.891503080190403
Taipei,768,1134,0.9076267953807277
Bangkok,865,801,0.8792414945797868
Istanbul,974,1346,0.9029206418336352
London,603,260,0.8799728188696753
LosAngeles,205,24,0.8975718997576418
NewYorkCity,380,77,0.8848385163480224
