city_a,city_b,contribution_type,rank,element_id,contribution,prevalence_a,prevalence_b
BuenosAires,Sydney,similarity,1,F054,0.26053061863009974,0.09505097655222126,0.09558124890845088
BuenosAires,Sydney,similarity,2,F058,0.0947154234248311,0.05098691817119127,0.06477873397926337
BuenosAires,Sydney,similarity,3,F013,0.0653636032865044,0.0432148478677241,0.05274405436195048
BuenosAires,Sydney,similarity,4,F036,0.06392494114057903,0.04180428129679628,0.05332367696234496
BuenosAires,Sydney,similarity,5,F028,0.05246076795571799,0.047003203875908416,0.03892043588260459
BuenosAires,Sydney,difference,1,F029,0.019531725332226094,0.025766561997151757,0.04529828732937785
BuenosAires,Sydney,difference,2,F057,0.016423557214485227,0.02564815095374713,0.04207170816823236
BuenosAires,Sydney,difference,3,F058,0.013791815808072101,0.05098691817119127,0.06477873397926337
BuenosAires,Sydney,difference,4,F009,0.011691880199288887,0.025321623531025288,0.0136297433317364
BuenosAires,Sydney,difference,5,F007,0.011561546444752994,0.03215597405641947,0.020594427611666476
BuenosAires,Vienna,similarity,1,F054,0.20888263032892687,0.09505097655222126,0.07341240654677712
BuenosAires,Vienna,similarity,2,F028,0.08923006141774345,0.047003203875908416,0.06341725601131541
BuenosAires,Vienna,similarity,3,F036,0.08871278585984153,0.04180428129679628,0.07089068498686603
BuenosAires,Vienna,similarity,4,F013,0.07094066587718402,0.0432148478677241,0.05483855324307941
BuenosAires,Vienna,similarity,5,F021,0.0584201637050737,0.04567556490440202,0.042727015558698726
BuenosAires,Vienna,difference,1,F036,0.029086403690069748,0.04180428129679628,0.07089068498686603
BuenosAires,Vienna,difference,2,F054,0.02163857000544414,0.09505097655222126,0.07341240654677712
BuenosAires,Vienna,difference,3,F046,0.017718903891033387,0.02600178932243367,0.008282885431400282
BuenosAires,Vienna,difference,4,F028,0.016414052135406997,0.047003203875908416,0.06341725601131541
BuenosAires,Vienna,difference,5,F009,0.014263227895543372,0.025321623531025288,0.011058395635481916
BuenosAires,Dhaka,similarity,1,F054,0.10840574329474088,0.09505097655222126,0.03618245502359734
BuenosAires,Dhaka,similarity,2,F021,0.09290619293938325,0.04567556490440202,0.06453020716793334
BuenosAires,Dhaka,similarity,3,F036,0.0721042633351871,0.04180428129679628,0.05471954849992927
BuenosAires,Dhaka,similarity,4,F013,0.06747844668375472,0.0432148478677241,0.04953753713205509
BuenosAires,Dhaka,similarity,5,F028,0.05385072057106051,0.047003203875908416,0.03634681660944151
BuenosAires,Dhaka,difference,1,F054,0.05886852152862392,0.09505097655222126,0.03618245502359734
BuenosAires,Dhaka,difference,2,F058,0.02610884312264633,0.05098691817119127,0.02487807504854494
BuenosAires,Dhaka,difference,3,F009,0.019964802163536893,0.025321623531025288,0.005356821367488394
BuenosAires,Dhaka,difference,4,F021,0.01885464226353132,0.04567556490440202,0.06453020716793334
BuenosAires,Dhaka,difference,5,F053,0.01681144339769637,0.0312621102203482,0.04807355361804457
BuenosAires,SaoPaulo,similarity,1,F054,0.24944973955005376,0.09505097655222126,0.08821157942131633
BuenosAires,SaoPaulo,similarity,2,F058,0.073401965914636,0.05098691817119127,0.04838915694583263
BuenosAires,SaoPaulo,similarity,3,F036,0.06248094313231576,0.04180428129679628,0.050237259666814624
BuenosAires,SaoPaulo,similarity,4,F028,0.06013373412778181,0.047003203875908416,0.0430021171353849
BuenosAires,SaoPaulo,similarity,5,F021,0.059008001876320895,0.04567556490440202,0.04342362825274062
BuenosAires,SaoPaulo,difference,1,F008,0.01659345202001105,0.029214037728868214,0.012620585708857162
BuenosAires,SaoPaulo,difference,2,F057,0.013833789530160408,0.02564815095374713,0.03948194048390754
BuenosAires,SaoPaulo,difference,3,F009,0.01270662603773913,0.025321623531025288,0.012614997493286158
BuenosAires,SaoPaulo,difference,4,F029,0.012335887557227969,0.025766561997151757,0.038102449554379726
BuenosAires,SaoPaulo,difference,5,F001,0.010158453418017532,0.02132275900123275,0.03148121241925028
BuenosAires,Toronto,similarity,1,F054,0.2340272303802119,0.09505097655222126,0.08660686234908667
BuenosAires,Toronto,similarity,2,F036,0.0960851625210302,0.04180428129679628,0.080849634858656
BuenosAires,Toronto,similarity,3,F058,0.08176501227410671,0.05098691817119127,0.056409368648496154
BuenosAires,Toronto,similarity,4,F013,0.06549826880531057,0.0432148478677241,0.05331376188552707
BuenosAires,Toronto,similarity,5,F021,0.0597399238970223,0.04567556490440202,0.046006927747536334
BuenosAires,Toronto,difference,1,F036,0.039045353561859716,0.04180428129679628,0.080849634858656
BuenosAires,Toronto,difference,2,F057,0.018010523637672846,0.02564815095374713,0.04365867459141998
BuenosAires,Toronto,difference,3,F046,0.01393874072882092,0.02600178932243367,0.01206304859361275
BuenosAires,Toronto,difference,4,F056,0.011825465544270596,0.004640357354163046,0.01646582289843364
BuenosAires,Toronto,difference,5,F007,0.010673464935900386,0.03215597405641947,0.021482509120519085
BuenosAires,HongKong,similarity,1,F054,0.17473597747965536,0.09505097655222126,0.05904415794828603
BuenosAires,HongKong,similarity,2,F058,0.08102117978325898,0.05098691817119127,0.05103768687123585
BuenosAires,HongKong,similarity,3,F036,0.07354816384195516,0.04180428129679628,0.056507000689540995
BuenosAires,HongKong,similarity,4,F013,0.07029667385528697,0.0432148478677241,0.052245990937920414
BuenosAires,HongKong,similarity,5,F028,0.06896197910252048,0.047003203875908416,0.04712305493986206
BuenosAires,HongKong,difference,1,F054,0.03600681860393523,0.09505097655222126,0.05904415794828603
BuenosAires,HongKong,difference,2,F027,0.02015721365374039,0.020279784962355656,0.040436998616096044
BuenosAires,HongKong,difference,3,F001,0.018696335980226794,0.02132275900123275,0.040019094981459544
BuenosAires,HongKong,difference,4,F046,0.01667892179627853,0.02600178932243367,0.009322867526155142
BuenosAires,HongKong,difference,5,F009,0.016372458293535473,0.025321623531025288,0.008949165237489813
BuenosAires,Bogota,similarity,1,F054,0.2646264578171679,0.09505097655222126,0.09640300129448803
BuenosAires,Bogota,similarity,2,F058,0.083093079143907,0.05098691817119127,0.05643128825531779
BuenosAires,Bogota,similarity,3,F028,0.07384524580649206,0.047003203875908416,0.054401259329103606
BuenosAires,Bogota,similarity,4,F013,0.06583666048809134,0.0432148478677241,0.05275318428076007
BuenosAires,Bogota,similarity,5,F036,0.05165747433957296,0.04180428129679628,0.04278842312179375
BuenosAires,Bogota,difference,1,F008,0.02278754387369106,0.029214037728868214,0.006426493855177153
BuenosAires,Bogota,difference,2,F057,0.012740610972323221,0.02564815095374713,0.03838876192607035
BuenosAires,Bogota,difference,3,F022,0.010523446459342865,0.027276003782774342,0.03779945024211721
