city,n_valid_grids,mean_pairwise_similarity,median_pairwise_similarity,visual_homogeneity,visual_heterogeneity
BuenosAires,829,0.8545013468807909,0.8650914966832985,0.8545013468807909,0.14549865311920906
Sydney,1084,0.88737920267931,0.89607529545778,0.88737920267931,0.11262079732068997
Vienna,637,0.8834453276041231,0.895403323872372,0.8834453276041231,0.11655467239587691
Dhaka,509,0.8123083957933881,0.8235639399594632,0.8123083957933881,0.1876916042066119
SaoPaulo,997,0.8830715055325652,0.8916567606387358,0.8830715055325652,0.11692849446743481
Toronto,832,0.8706480668250192,0.8778606407097118,0.8706480668250192,0.12935193317498084
HongKong,202,0.9020202456341725,0.9191964286169225,0.9020202456341725,0.09797975436582751
Bogota,440,0.9122117957202623,0.9260301372512425,0.9122117957202623,0.08778820427973766
Paris,754,0.8472348459643011,0.8577207346551533,0.8472348459643011,0.1527651540356989
Mumbai,555,0.8964856506470836,0.9077086640839772,0.8964856506470836,0.10351434935291637
NewDelhi,810,0.8368911578166205,0.850858660264782,0.8368911578166205,0.1631088421833795
Jakarta,583,0.8520418787995241,0.859738112493397,0.8520418787995241,0.1479581212004759
Osaka,851,0.869139809812177,0.8770517854311904,0.869139809812177,0.13086019018782302
KualaLumpur,882,0.8898081566962344,0.8995081291367918,0.8898081566962344,0.11019184330376564
MexicoCity,973,0.8740019645900259,0.8848571198612742,0.8740019645900259,0.12599803540997412
Amsterdam,603,0.871590007476549,0.8834407571278744,0.871590007476549,0.12840999252345098
Lagos,739,0.8717428963889301,0.8807956824212833,0.8717428963889301,0.1282571036110699
Lima,707,0.8851315285686912,0.8979975896205367,0.8851315285686912,0.11486847143130885
Manila,854,0.8723386948909171,0.8804611424077221,0.8723386948909171,0.1276613051090829
Moscow,599,0.8437644040510249,0.8538070496231093,0.8437644040510249,0.15623559594897507
Singapore,354,0.9317964764408836,0.9400836798732529,0.9317964764408836,0.06820352355911641
CapeTown,769,0.9039880271223538,0.9114643187754514,0.9039880271223538,0.09601197287764618
Johannesburg,977,0.8651766759841922,0.8747696409284935,0.8651766759841922,0.13482332401580777
Seoul,807,0.8553606499662588,0.8647305716836418,0.8553606499662588,0.14463935003374118
Taipei,768,0.8786250150065608,0.8857935490907454,0.8786250150065608,0.12137498499343924
Bangkok,865,0.8574381286827049,0.8657408626963579,0.8574381286827049,0.14256187131729514
Istanbul,974,0.8635041732851142,0.8776354800772014,0.8635041732851142,0.1364958267148858
London,603,0.86014132564553,0.8678412907246059,0.86014132564553,0.13985867435446997
LosAngeles,205,0.873000995578517,0.8802019693023899,0.873000995578517,0.12699900442148304
NewYorkCity,380,0.8571306733047986,0.866219324443252,0.8571306733047986,0.14286932669520136
