city,relationship,rank,other_city,cosine_similarity,jensen_shannon_distance
BuenosAires,most_similar,1,SaoPaulo,0.9772658144985491,0.12012352219214097
BuenosAires,most_similar,2,MexicoCity,0.9770677741372867,0.12071942671093541
BuenosAires,most_similar,3,Bogota,0.9750882651402517,0.13857638285690718
BuenosAires,most_similar,4,Lima,0.9741440355975503,0.1314116348976999
BuenosAires,most_similar,5,Sydney,0.9673089245741023,0.13654455694420223
BuenosAires,most_different,1,Lagos,0.878448573184253,0.22477830276989294
BuenosAires,most_different,2,Amsterdam,0.8807323458501183,0.20977549226595157
BuenosAires,most_different,3,Dhaka,0.8922100086769045,0.1988857352118987
BuenosAires,most_different,4,KualaLumpur,0.9107427810216776,0.18196221565585718
BuenosAires,most_different,5,Jakarta,0.914906228295407,0.18718521226277
Sydney,most_similar,1,LosAngeles,0.9795233750774195,0.10426691530232068
Sydney,most_similar,2,CapeTown,0.9780900284309602,0.11452380961369509
Sydney,most_similar,3,Toronto,0.9770260392625123,0.10246256935862186
Sydney,most_similar,4,SaoPaulo,0.9723948572633209,0.13158322509893539
Sydney,most_similar,5,Johannesburg,0.9720317210300676,0.12904781848666405
Sydney,most_different,1,Dhaka,0.8573156965091389,0.24058151443099557
Sydney,most_different,2,Lagos,0.8782486388900291,0.23825548482637512
Sydney,most_different,3,Amsterdam,0.8827718271176952,0.22185042828626808
Sydney,most_different,4,Jakarta,0.8893956963366529,0.21764756489737566
Sydney,most_different,5,Osaka,0.9093323066117099,0.2043348924478283
Vienna,most_similar,1,Paris,0.9915448109188744,0.0747064183121093
Vienna,most_similar,2,Istanbul,0.9807768712678665,0.0914760138680804
Vienna,most_similar,3,Seoul,0.9773955672523118,0.1195033232129197
Vienna,most_similar,4,NewYorkCity,0.9688779773775131,0.15187794288905349
Vienna,most_similar,5,Taipei,0.9656704428961818,0.1415034325543067
Vienna,most_different,1,Lagos,0.8675776425593672,0.2361481431050569
Vienna,most_different,2,Dhaka,0.8989515571803455,0.21516542214503243
Vienna,most_different,3,Jakarta,0.914180331626334,0.20052350807435884
Vienna,most_different,4,Johannesburg,0.9193891473880523,0.19295197228907857
Vienna,most_different,5,CapeTown,0.9200572952605658,0.18535428717234656
Dhaka,most_similar,1,Jakarta,0.9724854399521901,0.10879211564073507
Dhaka,most_similar,2,Manila,0.9548165539771865,0.13311021423655378
Dhaka,most_similar,3,Mumbai,0.9523136526922945,0.1492965799917378
Dhaka,most_similar,4,Bangkok,0.9490318503976866,0.1403309963178
Dhaka,most_similar,5,NewDelhi,0.9426378837488006,0.1574958578019426
Dhaka,most_different,1,LosAngeles,0.8343898617841806,0.26739121948165795
Dhaka,most_different,2,CapeTown,0.8423704027569113,0.24451122304285683
Dhaka,most_different,3,Sydney,0.8573156965091389,0.24058151443099557
Dhaka,most_different,4,Johannesburg,0.8698972817541267,0.22821345709907867
Dhaka,most_different,5,Bogota,0.8703158269244218,0.22938672484929937
SaoPaulo,most_similar,1,MexicoCity,0.9887951047288788,0.06888442096052892
SaoPaulo,most_similar,2,Bogota,0.9806156370601198,0.10687204307756443
SaoPaulo,most_similar,3,Manila,0.9797758700780462,0.09912863669672638
SaoPaulo,most_similar,4,BuenosAires,0.9772658144985491,0.12012352219214097
SaoPaulo,most_similar,5,Sydney,0.9723948572633209,0.13158322509893539
SaoPaulo,most_different,1,Amsterdam,0.8960803644518368,0.21275194086090046
SaoPaulo,most_different,2,Dhaka,0.9014180051826114,0.19811793018195914
SaoPaulo,most_different,3,Lagos,0.9134505126083419,0.19455460749636955
SaoPaulo,most_different,4,Osaka,0.931235733778777,0.1894778296548637
SaoPaulo,most_different,5,Jakarta,0.9408828621130869,0.15954172798711483
Toronto,most_similar,1,NewYorkCity,0.987506082264707,0.08297110352275534
Toronto,most_similar,2,LosAngeles,0.9785503146345259,0.10632839293243229
Toronto,most_similar,3,Sydney,0.9770260392625123,0.10246256935862186
Toronto,most_similar,4,Moscow,0.9646458503289116,0.14283121407102348
Toronto,most_similar,5,Paris,0.9625999228799748,0.15380562273348236
Toronto,most_different,1,Lagos,0.8694512374275993,0.2526601867103171
Toronto,most_different,2,Dhaka,0.8743974003485249,0.2505551715603474
