feature_id,coarse_cluster,fine_cluster,coarse_split_sample_jaccard,fine_split_sample_jaccard,top1_patch_support,image_support
0,C000,F000,0.4625000059604645,0.5,27613,16070
1,C001,F001,0.8333333730697632,0.2875817120075226,550,423
2,C002,F002,0.7000000476837158,0.6941176652908325,96267,35697
3,C003,F003,0.6820175647735596,0.737500011920929,28022,11730
4,C003,F003,0.6820175647735596,0.737500011920929,87,68
5,C004,F004,0.19090908765792847,0.8166666626930237,125531,43850
6,C005,F005,0.7248803377151489,0.1741071492433548,686,351
7,C006,F006,0.7666666507720947,0.8636363744735718,24763,7253
8,C007,F007,0.7272727489471436,0.8636363744735718,2462,930
9,C008,F008,0.7809523940086365,0.5559440851211548,24144,14543
10,C009,F009,1.0,1.0,17492,8476
11,C004,F010,0.5865384340286255,0.685606062412262,719645,166362
12,C003,F003,0.6820175647735596,0.737500011920929,1480,1064
13,C010,F011,0.09020310640335083,0.15000000596046448,2704,1376
14,C011,F012,0.4449999928474426,0.16596639156341553,1184,645
15,C012,F013,0.5821428298950195,0.6174242496490479,413404,128036
16,C013,F014,0.41479551792144775,0.7777777910232544,36494,19496
17,C014,F015,0.7737153768539429,0.9198718070983887,6372,3593
18,C000,F000,0.7823529243469238,0.22600619494915009,2667,1953
19,C015,F016,0.4579741358757019,0.3715277910232544,84443,27438
20,C011,F017,0.7381818294525146,0.4940476417541504,463709,112313
21,C001,F001,0.8333333730697632,0.2875817120075226,85376,40572
22,C013,F018,0.35475316643714905,0.3125,0,0
23,C016,F019,0.03612903133034706,0.0839160829782486,29,24
24,C013,F020,0.09101232886314392,0.5909091234207153,908,724
25,C017,F021,0.8421052694320679,0.7211538553237915,384367,91391
26,C013,F018,0.41479551792144775,0.4166666865348816,0,0
27,C005,F022,0.7248803377151489,0.5267379879951477,4962,1884
28,C006,F006,0.7666666507720947,0.8636363744735718,4009,2066
29,C018,F023,0.8500000238418579,0.625,4820,1804
30,C018,F024,0.8500000238418579,0.5,1006,512
31,C010,F011,0.42407405376434326,0.4583333432674408,1007218,187301
32,C019,F025,0.6136363744735718,0.8136363625526428,1724,1080
33,C000,F000,0.7823529243469238,0.22600619494915009,12226,7473
34,C016,F026,0.7670454978942871,0.5384615659713745,2180,1318
35,C020,F027,0.925000011920929,0.9444444179534912,13993,7560
36,C021,F028,0.7322515249252319,0.75,1390,1139
37,C018,F024,0.8500000238418579,0.5,918,664
38,C022,F029,0.6692308187484741,0.5,35456,15628
39,C012,F030,0.109375,0.36868688464164734,99,66
40,C001,F031,0.8333333730697632,0.5833333730697632,442,344
41,C012,F032,0.1044207289814949,0.4333333373069763,6555,4831
42,C017,F021,0.8421052694320679,0.7211538553237915,188377,73237
43,C013,F018,0.41479551792144775,0.4166666865348816,0,0
44,C023,F033,0.5512422323226929,1.0,28793,12361
45,C018,F034,0.8500000238418579,0.8333333730697632,56499,26869
46,C018,F024,0.8500000238418579,0.5,1325,773
47,C010,F035,0.2743830680847168,0.1487179547548294,23613,10681
48,C024,F036,0.833732008934021,0.7142857313156128,249041,80416
49,C002,F002,0.7000000476837158,0.6941176652908325,216006,59286
50,C003,F037,0.6165413856506348,0.7803030014038086,235903,88427
51,C009,F009,1.0,1.0,1315,822
52,C019,F025,0.6136363744735718,0.8136363625526428,48793,17443
53,C019,F025,0.6136363744735718,0.8136363625526428,26953,13128
