n_clusters,silhouette,calinski_harabasz,davies_bouldin,normalized_size_entropy,minimum_cluster_size,maximum_cluster_size,median_cluster_size,view_configuration,is_primary,split_sample_ari,split_sample_nmi,split_sample_mean_jaccard
32,0.05638594180345535,7.786218427353062,2.3307392678334264,0.9853989581482585,7,28,15.0,E,False,1.0,1.0,1.0
64,0.0852128341794014,7.016952956308941,1.7835482029761751,0.9830275878931423,4,18,7.5,E,False,1.0,1.0,1.0
32,0.04091332107782364,6.361010307887689,2.5165216482058614,0.9861857886432078,9,27,16.0,E+D,False,1.0,1.0,1.0
64,0.05966378003358841,5.548955290990823,1.9705471585664351,0.9840646374286454,4,19,7.5,E+D,False,1.0,1.0,1.0
32,0.20099705457687378,19.646929064786413,1.4874240172897548,0.9795699832701202,7,40,15.0,E+D+P,True,0.7038000946375893,0.8719688254608948,0.6513621807098389
64,0.17122983932495117,16.254445893103416,1.459942771553362,0.9845452033442462,2,16,8.0,E+D+P,True,0.6897682325048451,0.8946077387767639,0.6216225624084473
32,0.12914180755615234,13.639962680871847,1.8691716497217918,0.9836067934806846,7,32,15.0,E+D+P+Q,False,0.5650655360785377,0.8039460935672462,0.514495849609375
64,0.11700625717639923,10.632087990374854,1.6739065835850735,0.9784476061045781,3,17,7.5,E+D+P+Q,False,0.6158685430778013,0.8609979002525117,0.5381836891174316
32,0.11436327546834946,12.431388663450102,1.9061704992062432,0.982989213703056,7,27,16.5,E+D+P+C,False,0.5179530758563407,0.7663979439299708,0.4422745704650879
64,0.11492858827114105,10.293071486623706,1.6485855422251072,0.9831936491923393,3,16,8.0,E+D+P+C,False,0.5465358060829999,0.836567685889078,0.4783593416213989
32,0.08763003349304199,10.831427969035067,2.0654904033986847,0.9801729730089378,5,28,15.5,E+D+P+C+Q,False,0.40273056756666104,0.7034770576551246,0.3649512529373169
64,0.10615956783294678,8.83056986825589,1.7452391124250426,0.9828400860953038,3,16,7.0,E+D+P+C+Q,False,0.4881749051516307,0.8094614955410528,0.4319062829017639
