,D000,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049,D050,D051,D052,D053,D054,D055,D056,D057,D058,D059,D060,D061,D062,D063,D064,D065,D066,D067,D068,D069,D070,D071,D072,D073,D074,D075,D076,D077,D078,D079,D080,D081,D082,D083,D084,D085,D086,D087,D088,D089,D090,D091,D092,D093,D094,D095,D096,D097,D098,D099,D100,D101,D102,D103,D104,D105,D106,D107,D108,D109,D110,D111,D112,D113,D114,D115,D116,D117,D118,D119,D120,D121,D122,D123,D124,D125,D126,D127,D128,D129,D130,D131,D132,D133,D134,D135,D136,D137,D138,D139,D140,D141,D142,D143,D144,D145,D146,D147,D148,D149,D150,D151,D152,D153,D154,D155,D156,D157,D158,D159,D160,D161,D162,D163,D164,D165,D166,D167,D168,D169,D170,D171,D172,D173,D174,D175,D176,D177,D178,D179,D180,D181,D182,D183,D184,D185,D186,D187,D188,D189,D190,D191,D192,D193,D194,D195,D196,D197,D198,D199,D200,D201,D202,D203,D204,D205,D206,D207,D208,D209,D210,D211,D212,D213,D214,D215,D216,D217,D218,D219,D220,D221,D222,D223,D224,D225,D226,D227,D228,D229,D230,D231,D232,D233,D234,D235,D236,D237,D238,D239,D240,D241,D242,D243,D244,D245,D246,D247,D248,D249,D250,D251,D252,D253,D254,D255,D256,D257,D258,D259,D260,D261,D262,D263,D264,D265,D266,D267,D268,D269,D270,D271,D272,D273,D274,D275,D276,D277,D278,D279,D280,D281,D282,D283,D284,D285,D286,D287,D288,D289,D290,D291,D292,D293,D294,D295,D296,D297,D298,D299,D300,D301,D302,D303,D304,D305,D306,D307,D308,D309,D310,D311,D312,D313,D314,D315,D316,D317,D318,D319,D320,D321,D322,D323,D324,D325,D326,D327,D328,D329,D330,D331,D332,D333,D334,D335,D336,D337,D338,D339,D340,D341,D342,D343,D344,D345,D346,D347,D348,D349,D350,D351,D352,D353,D354,D355,D356,D357,D358,D359,D360,D361,D362,D363,D364,D365,D366,D367,D368,D369,D370,D371,D372,D373,D374,D375,D376,D377,D378,D379,D380,D381,D382,D383,D384,D385,D386,D387,D388,D389,D390,D391,D392,D393,D394,D395,D396,D397,D398,D399,D400,D401,D402,D403,D404,D405,D406,D407,D408,D409,D410,D411,D412,D413,D414,D415,D416,D417,D418,D419,D420,D421,D422,D423,D424,D425,D426,D427,D428,D429,D430,D431,D432,D433,D434,D435,D436,D437,D438,D439,D440,D441,D442,D443,D444,D445,D446,D447,D448,D449,D450,D451,D452,D453,D454,D455,D456,D457,D458,D459,D460,D461,D462,D463,D464,D465,D466,D467,D468,D469,D470,D471,D472,D473,D474,D475,D476,D477,D478,D479,D480,D481,D482,D483,D484,D485,D486,D487,D488,D489,D490,D491,D492,D493,D494,D495,D496,D497,D498,D499,D500,D501,D502,D503,D504,D505,D506,D507,D508,D509,D510,D511
D000,1305,0,4,1,0,11,0,10,0,0,4,273,0,0,1,65,7,2,0,47,226,44,0,0,0,259,0,0,0,1,0,248,0,1,0,1,0,0,11,0,0,0,11,0,7,23,0,17,98,135,131,0,0,0,0,20,23,2,0,0,5,7,0,0,0,0,0,23,0,6,0,0,0,3,1,1,0,0,20,0,10,0,131,7,1,6,0,0,0,259,126,0,17,0,0,0,4,0,26,0,4,200,3,17,1,620,130,0,1,6,2,0,3,361,135,59,0,2,0,224,5,0,12,0,139,0,9,5,14,0,11,96,70,1,0,2,1,0,376,27,40,117,79,22,17,0,0,22,106,16,0,0,0,0,29,1,1,162,0,6,0,226,0,565,27,11,0,17,163,0,0,461,0,0,11,114,0,17,140,106,170,145,29,0,2,1,529,0,21,0,15,6,17,0,3,16,0,2,1,11,0,1,1,24,0,0,0,11,0,2,2,1,119,40,0,3,92,7,4,8,0,171,0,58,28,0,0,0,1,0,0,0,0,31,1,1,75,0,0,0,4,0,0,0,0,485,13,0,1,0,66,6,35,0,0,0,28,0,0,0,0,4,0,0,3,4,180,283,14,299,35,6,8,0,5,0,0,0,58,48,0,0,3,0,248,2,0,2,0,106,0,0,153,109,66,3,0,0,86,0,19,1,0,49,0,37,1,3,42,0,0,3,0,2,0,34,22,36,36,226,0,1,4,0,9,171,11,1,7,574,0,9,29,18,0,138,704,185,0,2,0,23,318,17,29,19,0,0,3,0,0,0,1,50,2,3,127,0,1,33,0,172,0,0,41,0,3,0,8,4,0,0,483,1,1,49,0,0,4,3,1,0,12,2,0,2,216,19,1,1,0,14,32,26,31,5,3,9,1,32,4,0,0,5,9,0,12,3,0,0,2,0,58,197,0,0,0,3,625,213,0,0,0,0,0,1,50,1,0,152,140,0,0,37,0,0,735,623,72,1,0,1,421,1,3,0,0,4,4,184,472,47,0,0,32,146,88,6,200,0,1,12,0,0,18,69,6,0,0,0,0,327,2,0,160,0,88,222,0,98,3,1,0,0,0,0,1,0,0,0,5,285,0,0,5,23,50,0,11,63,2,0,22,409,0,8,0,1,20,0,2,2
D001,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,4,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,1,0,0,3,0,0,0,0,0,0,2,1,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,1,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0
D002,4,3,8600,22,0,70,0,29,5,9,3,585,0,17,0,1790,11,0,1,52,396,116,0,0,0,589,0,5,2,8,1,2252,9,5,1,4,0,0,107,0,0,7,256,0,62,111,2,15,435,228,657,1,97,47,0,16,204,32,2,1,31,402,0,2,0,0,0,1384,16,22,0,0,1,21,13,2,0,94,36,0,33,1,99,4,147,0,0,0,6,2891,429,0,108,311,0,0,13,0,1385,0,4,1416,7,54,408,5282,2740,0,2,14,16,0,206,427,209,175,2,6,1,2349,2,0,67,1,1650,9,6,38,166,0,115,1131,253,5,0,2,21,1,1656,34,133,4146,158,653,1300,2,4,6,377,12,29,1,3,25,784,67,1,657,1,260,8,472,6,3423,1782,5,0,2306,1568,1,10,1735,39,34,9,353,1,91,1301,800,506,1220,178,84,6,5,3575,0,23,1,30,13,54,5,5,69,0,5,8,27,0,4,5,236,0,0,2,23,40,79,116,5,233,196,1,51,373,27,11,2,0,572,1,88,80,0,2,0,2,0,0,3,14,179,1,25,2510,10,0,0,25,4,0,0,0,2125,39,43,9,0,187,69,400,0,0,5,32,4,0,0,2,22,2,14,4,64,1142,758,47,938,731,4,41,0,11,0,2,0,798,403,0,77,33,0,784,5,1,6,12,401,104,0,83,1037,216,796,0,0,95,13,77,5,1,113,2,80,9,0,72,0,5,3,1,65,5,149,464,250,579,653,0,55,60,0,20,650,47,1,40,4423,0,7,147,177,13,2802,5684,2491,0,37,0,148,1051,56,170,64,4,0,173,5,2,0,1,30,126,1,281,13,10,102,3,1058,15,1,188,0,19,0,2,101,3,0,1410,146,4,1826,0,0,11,120,6,1,10,9,0,36,2650,20,11,11,6,5,32,97,62,342,17,1,22,25,47,0,0,12,75,0,27,12,0,0,93,1,132,968,0,0,0,176,2593,731,11,2,0,0,10,5,42,4,0,1345,99,3,8,83,133,1,1375,3256,309,71,4,23,2178,1,0,0,1,55,6,544,4651,1806,1,0,220,278,376,12,309,0,8,108,0,3,102,165,147,4,0,0,0,4769,27,0,662,0,1230,1549,0,1010,15,1,0,1,0,0,10,4,4,0,10,1383,1,0,50,90,1500,0,340,483,4,0,269,3580,1,289,0,12,26,0,4,38
D003,1,0,22,2200,0,90,0,52,0,4,11,642,0,0,0,118,13,2,7,4,66,40,0,0,0,252,0,27,2,0,0,250,0,0,1,10,0,1,0,0,0,1,163,0,24,27,0,9,154,501,17,0,53,0,0,11,2,15,0,0,6,20,0,0,0,0,0,81,2,7,0,0,0,7,0,0,0,6,1,0,13,1,28,10,5,0,0,0,0,716,175,0,28,7,0,0,3,0,28,0,0,165,0,1,23,1484,538,0,0,5,1,0,18,364,114,184,0,0,0,392,0,0,10,0,91,0,2,0,73,0,9,372,121,1,0,0,14,0,127,21,35,261,55,180,21,0,1,14,62,8,1,4,6,0,163,10,0,98,1,10,5,164,0,1110,187,2,0,154,615,0,3,667,0,0,2,110,0,23,217,86,180,275,42,10,3,0,557,0,4,0,45,3,3,1,0,8,0,1,0,6,0,1,15,12,0,0,1,85,4,9,30,0,561,268,0,21,59,3,15,0,1,33,0,92,9,0,0,0,3,0,0,0,1,162,0,2,349,6,0,0,97,0,0,0,0,201,6,0,1,0,18,24,341,0,0,2,3,3,0,0,0,0,0,2,1,19,540,291,4,110,270,2,11,0,68,0,1,0,369,84,1,3,2,0,162,2,2,3,1,533,13,0,471,293,23,102,0,0,23,2,23,0,0,0,0,79,2,0,0,0,2,8,0,20,1,77,180,123,256,46,0,22,11,0,2,266,9,0,32,1127,0,3,127,18,1,580,1187,582,0,5,0,51,283,43,14,10,0,0,3,0,0,0,7,148,11,0,95,1,3,17,0,828,0,1,60,0,4,0,0,28,0,0,403,52,6,188,1,0,1,2,4,0,9,1,0,64,501,6,1,3,2,1,2,22,60,228,20,15,16,14,21,0,0,0,98,0,4,11,0,0,21,0,137,188,0,0,0,24,587,279,0,1,1,0,6,2,46,5,0,365,104,0,0,5,2,0,369,999,117,0,0,11,119,0,3,0,1,5,1,147,262,127,1,0,106,90,273,11,223,0,0,76,0,0,113,26,25,2,0,0,0,1195,3,0,328,0,287,408,0,41,1,0,0,0,0,0,0,1,0,0,3,869,2,0,0,82,335,0,28,215,7,0,60,933,0,26,0,1,72,0,0,13
D004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
D005,11,0,70,90,0,11373,3,20,0,3,26,1229,1,1,4,1556,22,14,1,538,1688,87,0,0,0,485,0,17,7,7,1,3326,10,14,3,7,4,1,5,0,0,7,237,0,62,102,4,103,906,158,398,5,169,26,0,76,77,29,3,0,72,250,0,4,4,0,1,561,11,16,0,0,0,37,20,3,0,44,12,0,46,7,158,22,15,14,2,0,3,3222,643,0,112,107,0,0,5,0,2139,0,15,1550,4,35,84,8276,4039,2,1,5,24,0,349,2374,1174,109,4,8,0,909,9,0,22,9,900,0,19,52,237,0,36,930,368,2,0,27,82,2,686,88,124,1141,93,1028,140,0,23,23,200,52,36,70,9,2,798,156,2,1683,0,162,22,462,2,4736,679,24,0,1337,2336,30,32,1367,4,43,221,160,6,113,798,1243,3525,1789,257,57,22,25,3567,0,37,2,202,445,9,4,3,32,8,1,0,43,0,3,17,39,0,0,3,319,19,24,32,12,919,1475,1,88,960,161,35,7,0,1065,2,39,98,0,1,0,3,1,0,1,3,409,1,123,1085,8,0,0,38,1,0,0,1,2210,53,3,5,0,1086,65,1607,0,1,2,9,9,0,0,1,7,1,14,2,36,1021,719,25,525,1322,6,101,0,181,0,10,2,402,74,0,29,40,3,850,3,6,29,12,857,126,0,507,2177,165,769,0,1,46,14,832,1,0,33,4,218,46,3,8,0,4,6,4,103,1,382,415,786,242,1158,0,25,123,0,23,392,9,2,69,4929,0,120,250,144,21,3199,8113,4966,1,17,1,102,875,81,459,23,4,0,56,20,12,0,4,436,39,3,497,5,58,74,6,4607,10,10,288,0,18,0,5,148,3,0,3620,75,6,940,0,0,5,117,17,3,207,53,0,12,2162,44,15,6,20,21,240,58,233,988,88,10,33,345,16,1,0,1,378,1,10,126,0,2,48,1,438,630,0,2,0,64,2891,1984,38,5,0,0,28,14,151,30,0,558,511,1,2,58,88,22,1735,5365,710,14,28,74,1024,0,6,0,25,44,12,904,2124,1248,0,7,786,318,392,197,1119,1,0,155,1,3,98,224,110,0,0,0,4,7671,12,0,2249,0,3899,1831,2,1072,3,5,0,3,0,0,345,2,0,0,14,1679,3,0,4,1013,1172,0,154,672,1,0,307,3834,2,124,0,11,121,0,0,19
D006,0,0,0,0,0,3,44,0,0,0,0,2,0,0,0,7,0,1,0,1,3,0,0,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,2,0,1,0,6,0,0,3,4,2,0,0,2,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,26,10,0,3,2,0,0,0,0,4,0,0,4,0,0,1,19,13,0,0,0,0,0,1,4,3,1,0,0,0,8,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,9,1,2,4,0,0,0,0,2,0,0,0,0,0,1,0,2,0,1,0,1,0,16,2,0,0,2,6,0,0,6,0,0,0,2,0,0,2,11,2,4,1,1,0,0,18,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,10,0,0,5,1,0,0,0,8,0,1,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,9,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,4,7,1,3,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,6,0,0,12,23,13,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,12,1,0,2,0,0,0,0,7,0,0,18,0,0,3,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,11,4,0,0,0,0,0,0,0,0,0,3,3,0,0,1,1,0,11,12,3,0,0,0,8,0,0,0,3,0,0,5,9,5,0,0,3,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,35,0,0,14,0,3,9,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,5,0,1,7,0,0,5,27,0,2,0,1,1,0,0,0
D007,10,0,29,52,0,20,0,2496,1,2,26,596,0,1,0,366,9,2,0,12,226,30,0,0,0,264,0,5,0,0,0,90,0,1,0,9,0,0,0,0,0,1,272,0,5,0,0,2,78,430,100,0,15,1,0,24,3,56,0,0,24,51,0,0,0,0,0,44,1,3,0,0,0,5,8,0,0,7,3,0,0,1,36,4,11,0,1,0,0,1088,301,0,96,8,0,0,8,0,54,0,2,54,0,5,61,1644,234,0,0,14,0,0,19,540,90,593,0,0,0,566,0,0,13,0,53,3,8,2,78,0,18,718,193,1,0,8,16,0,492,24,51,484,302,114,114,0,1,3,67,18,1,9,2,0,76,2,4,296,0,6,5,697,0,1282,66,25,0,113,183,0,7,540,0,2,26,269,0,9,497,82,248,226,47,0,11,1,1015,0,2,0,13,13,16,1,0,40,0,3,0,5,0,0,1,7,1,0,0,64,15,13,30,0,285,212,0,12,51,2,4,0,0,50,0,39,10,0,1,0,1,0,0,7,1,48,0,2,82,3,0,0,15,0,0,0,0,581,0,0,1,0,41,38,121,0,0,0,5,1,0,0,0,1,0,3,1,18,231,782,0,380,127,4,0,0,27,0,3,0,218,46,0,5,5,0,453,6,3,0,0,471,1,0,259,254,49,18,0,0,192,0,57,0,0,13,0,13,2,5,4,0,4,12,4,47,1,83,46,31,66,142,0,1,0,0,1,487,60,0,11,2099,0,26,30,17,14,212,1226,230,0,0,0,22,474,8,9,54,1,0,24,0,2,0,2,29,21,0,269,3,5,18,0,744,0,0,80,0,2,0,8,24,0,0,953,9,1,50,1,0,7,3,7,0,26,0,0,11,699,7,0,7,0,8,4,19,160,114,2,47,28,20,69,0,0,2,85,0,0,5,0,0,1,0,78,169,0,0,0,5,1054,462,1,0,0,0,0,3,34,10,0,1189,114,0,0,29,2,0,440,700,32,6,0,11,69,0,0,0,1,25,0,108,461,189,0,0,66,17,110,18,391,0,0,93,0,0,115,39,3,0,0,0,0,978,2,0,242,0,153,409,0,127,1,0,0,1,0,0,4,2,0,0,6,273,0,0,0,41,280,0,14,253,4,0,96,1117,0,28,0,8,25,0,0,6
D008,0,0,5,0,0,0,0,1,179,1,0,37,0,0,0,6,0,0,0,0,6,24,0,0,1,11,0,0,1,0,0,24,0,1,0,0,0,0,0,0,0,0,7,0,1,1,0,5,5,10,12,0,0,1,0,0,13,0,0,0,0,4,0,0,0,0,0,34,1,1,0,0,0,0,0,0,0,7,0,0,2,1,10,0,3,0,0,0,0,54,19,0,2,2,0,0,2,0,13,0,0,24,0,2,14,94,18,0,0,1,0,0,0,1,3,11,0,0,0,74,0,0,14,0,64,0,0,1,3,0,15,21,28,0,0,0,1,0,41,0,18,71,7,47,1,1,0,2,5,0,0,1,0,0,10,1,1,11,0,3,0,10,0,103,12,0,0,17,36,0,0,58,0,2,1,5,0,0,27,40,13,19,7,2,0,0,61,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,1,0,1,17,0,0,0,0,18,0,1,0,0,0,0,0,0,0,5,0,4,0,2,38,0,0,0,0,0,0,0,0,29,1,0,0,0,7,4,2,0,0,0,1,0,0,0,0,0,0,0,0,11,10,18,1,9,10,0,5,0,0,0,0,0,42,10,0,5,0,0,16,1,0,0,0,16,1,0,5,18,2,1,0,0,3,0,3,1,0,5,1,2,2,0,2,0,0,0,0,2,0,0,3,2,58,4,0,0,1,0,1,13,0,0,3,69,0,2,0,4,0,26,62,47,0,0,0,12,31,1,9,3,0,0,1,0,2,0,0,1,4,0,10,0,0,0,0,10,0,0,4,0,2,0,0,3,0,0,27,0,0,14,0,0,2,1,0,0,0,2,0,0,19,1,1,0,0,0,0,4,1,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,6,20,0,0,0,1,53,14,0,0,0,0,7,0,0,0,0,34,0,0,0,13,1,0,30,39,1,1,0,0,48,0,1,0,0,0,0,9,98,48,0,0,4,9,7,2,6,0,0,3,0,0,1,1,4,0,0,0,0,64,0,0,28,0,7,16,0,25,0,0,0,0,0,0,0,0,0,0,0,34,0,0,2,3,57,0,23,11,1,0,10,92,0,0,0,1,0,0,0,0
D009,0,0,9,4,0,3,0,2,1,1107,8,196,1,1,0,45,3,0,1,6,153,14,0,0,0,32,0,0,0,0,0,368,0,0,0,1,0,0,3,0,0,0,41,0,1,1,0,5,93,30,23,1,0,0,0,1,10,3,0,0,1,17,0,0,0,0,0,43,2,0,0,0,0,0,3,0,0,8,9,0,2,4,16,0,1,0,0,0,0,248,38,0,7,22,0,0,0,0,62,0,1,80,0,26,15,900,288,0,1,0,3,0,11,121,15,5,0,1,0,252,0,0,5,0,181,0,0,2,15,0,4,135,19,0,0,2,13,1,88,3,21,223,19,157,66,0,0,8,55,46,12,1,0,0,43,7,2,112,0,2,0,217,0,265,105,0,0,34,269,2,0,125,1,5,46,13,0,13,159,200,88,658,33,6,0,1,355,0,2,0,15,2,13,0,1,0,0,2,0,0,0,21,15,9,0,0,0,6,0,6,5,1,178,53,0,3,124,3,1,0,0,66,0,26,13,0,0,0,0,0,0,0,1,119,0,16,254,2,0,0,1,0,0,0,0,231,7,0,0,0,38,5,68,0,0,0,6,1,0,0,0,0,0,2,0,15,74,97,0,170,97,0,12,0,6,0,0,0,17,18,0,55,1,0,161,1,0,2,1,47,1,0,10,70,21,61,0,0,5,3,8,2,0,7,0,26,7,1,9,0,0,0,0,1,0,12,2,17,19,58,0,1,0,0,12,125,0,0,10,426,0,6,3,53,1,460,853,538,0,5,0,7,224,3,47,0,0,0,4,0,2,0,0,103,3,0,21,2,0,4,0,243,1,0,56,0,5,0,4,1,0,0,355,5,0,58,0,0,1,2,0,0,19,5,0,6,211,1,0,1,0,2,10,13,3,15,0,2,1,0,4,0,0,0,49,0,2,5,0,0,3,0,36,48,0,0,0,1,266,209,11,3,0,0,1,0,4,0,0,51,17,1,0,38,19,0,243,777,83,3,0,5,105,2,0,0,1,1,1,227,267,23,0,0,78,80,22,4,69,0,0,13,0,0,8,3,3,0,0,0,0,675,1,0,94,0,75,285,0,55,0,0,0,0,0,0,0,0,0,0,5,247,0,0,0,83,158,0,6,30,1,0,7,246,0,1,0,0,0,0,0,5
