dimension_a,dimension_b,cooccurrence_count,city_balanced_joint_probability,ppmi
D073,D199,236,0.0006209681134566488,4.850598079932965
D073,D215,393,0.001043376317511213,4.760583235572722
D073,D393,558,0.0014796790540331799,4.038230290220635
D191,D392,514,0.0013469980646909627,3.616786640682097
D235,D344,536,0.0014104567287810974,3.448178713972931
D073,D292,730,0.0019400559867225923,3.2518780703583534
D073,D190,207,0.0005464092394658758,3.1613694184114034
D300,D486,196,0.0005144204612448268,3.077538907551988
D174,D331,210,0.000549990502005929,3.054607413530354
D007,D115,593,0.0015657049607258763,2.9882467710079963
D264,D356,212,0.0005613780142099159,2.9842783195965255
D090,D425,322,0.0008479234951613999,2.9685277086846864
D005,D486,345,0.0009072577319226761,2.949558162548368
D354,D417,304,0.0008065029608743483,2.9240799606238825
D035,D042,255,0.0006788772997117566,2.9111190107962783
D199,D393,250,0.0006590748646539489,2.870670011585257
D369,D417,536,0.0014176744986911483,2.849715134447276
D019,D191,518,0.0013606871636966348,2.828394470126009
D305,D410,347,0.0009142157138375174,2.806175646300596
D093,D235,211,0.0005551920214291751,2.805748804572809
D035,D325,588,0.0015731963705546642,2.7904796209678744
D216,D288,194,0.0005084545586025713,2.7825701917057826
D240,D292,255,0.0006733011812426904,2.7694057524161977
D047,D221,654,0.0017217919419777654,2.7433065766718223
D325,D389,732,0.0019489339797124725,2.7232292466759174
D265,D344,744,0.0019564260882468706,2.7198216625339042
D115,D400,342,0.0009113721585730355,2.691788482293613
D209,D393,353,0.000931212863797665,2.69080908418414
D019,D174,644,0.0016885068415106778,2.6868642378818146
D250,D420,347,0.0009131692259814452,2.684974834287298
D192,D303,226,0.0005947529034835121,2.6311888184946635
D195,D298,343,0.0009128720315472283,2.5820957727058853
D175,D389,275,0.0007329105122996631,2.576269032048019
D420,D479,594,0.0015633926681609244,2.553155245733884
D073,D356,679,0.0017901318839540247,2.548041175360853
D056,D433,534,0.0013994055467958758,2.510745707355193
D199,D356,651,0.0017179735897893927,2.4878929046858103
D042,D389,247,0.0006562890229146853,2.4860626394512897
D130,D308,219,0.0005892700599038959,2.4608056991736316
D265,D354,308,0.0008129308217732968,2.4581922213276726
D311,D356,258,0.0006880746765979156,2.4441600470844818
D298,D308,560,0.0015100749933961413,2.4341341470099986
D354,D369,474,0.0012514224868970117,2.431902361810404
D069,D356,271,0.0007211245000711473,2.4195278155734257
D073,D082,241,0.000637825061808888,2.416977875248993
D055,D393,324,0.0008596473978998233,2.4098852877140664
D216,D235,759,0.0019952471366977936,2.4047248600860667
D292,D508,417,0.0010980151700286122,2.3992979882805603
D035,D456,198,0.0005314258006814338,2.392163006186513
D389,D456,258,0.0006896933036460227,2.392012863473197
D019,D392,426,0.0011182655162184116,2.3850156902642796
D144,D265,1046,0.002749577269040753,2.3664205009793027
D221,D344,2684,0.007067122012541742,2.353883664902609
D404,D454,1214,0.0032025290950006657,2.3528660131111203
D313,D332,319,0.0008415663963172409,2.344377516777793
D090,D096,234,0.0006191359759338726,2.3261110969765637
D281,D495,479,0.001257989902113561,2.324047055804773
D199,D292,385,0.0010161800404684504,2.318145566553891
D148,D261,195,0.0005119275292542555,2.316809259794125
D093,D265,344,0.000907708706809935,2.314576115538396
D049,D240,216,0.0005709444249703261,2.3086703213925075
D073,D182,251,0.0006619687935306107,2.3019567975220365
D307,D325,289,0.0007558300716261218,2.2949178194952147
D250,D486,326,0.0008571060062973681,2.2906702074964636
D055,D292,673,0.0017847448163202581,2.286619938869718
D003,D292,471,0.0012456075154294098,2.285788223688293
D265,D369,504,0.001328360540422064,2.278495083440355
D199,D315,282,0.0007422754720995192,2.277954326249248
