,F000,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063
F000,8223,800,327,15,680,46,95,1911,1091,405,3109,577,672,4349,36,559,218,352,102,216,86,2517,2482,79,197,307,3,1666,3504,3551,101,28,4,1000,317,1587,4140,53,13,23,1202,307,2000,287,380,1143,682,208,3,5,12,269,1546,1666,4714,26,217,2550,2362,34,397,208,124,1
F001,800,77047,2831,218,6283,143,1011,26809,11137,6932,20010,14235,5066,26148,209,2237,2191,5456,3513,2488,1436,29899,20197,2062,2384,2432,57,15763,17490,22336,2439,229,39,8556,2971,13218,36260,1137,460,161,12464,1511,12932,3761,5033,13135,7290,1895,31,118,597,3428,19502,16242,52552,75,1486,24085,36647,417,5724,2336,811,14
F002,327,2831,15998,117,1832,63,474,2643,1667,471,6147,1336,672,7741,57,324,163,971,595,536,347,8197,3508,278,246,673,9,2498,8283,4314,1027,96,14,2181,535,3347,7456,211,217,39,3506,832,2746,403,690,3787,1181,472,8,31,64,809,3445,3007,9996,44,247,2139,2874,148,2033,222,857,2
F003,15,218,117,814,94,1,23,112,65,71,279,113,58,414,6,30,20,43,29,37,52,216,154,29,15,33,2,114,318,119,49,4,1,136,47,194,468,8,19,0,240,62,129,44,40,194,27,25,0,6,13,62,74,121,443,1,11,123,170,3,83,7,96,1
F004,680,6283,1832,94,36706,119,435,6357,6645,1445,5947,4346,1681,19903,89,629,1087,3131,1649,940,1040,15573,8966,908,594,1277,33,6596,17234,11827,1059,242,24,4485,1114,6638,18484,292,284,171,8522,731,5972,1054,1584,8200,3177,1103,16,35,162,2699,7841,8625,21703,34,870,8421,11041,223,3529,707,557,3
F005,46,143,63,1,119,1192,11,273,203,50,494,79,41,651,10,38,20,45,21,17,65,740,178,17,32,61,3,215,440,261,51,17,3,180,30,309,564,22,27,15,163,28,338,35,49,383,88,34,1,1,1,94,153,433,448,1,8,109,157,7,218,18,22,0
F006,95,1011,474,23,435,11,5123,1625,491,187,2092,216,254,2389,35,205,87,207,232,279,35,1329,1625,22,20,368,2,1066,2386,598,155,39,1,679,40,1163,3117,43,55,5,524,253,1197,232,248,1175,564,70,5,6,24,287,1649,827,2593,8,61,919,1279,4,542,26,272,0
F007,1911,26809,2643,112,6357,273,1625,116971,14594,10481,15667,22611,6405,55691,547,2855,2490,7078,8750,3688,3717,45707,30435,2609,3560,4851,65,27862,39873,29661,1946,934,51,16150,6248,17633,59421,1864,1425,626,24325,1633,20248,3627,6882,15415,13721,4112,43,93,460,5986,28855,26280,65782,188,1870,42236,54573,463,11530,4172,1060,18
F008,1091,11137,1667,65,6645,203,491,14594,58622,3708,16434,9377,2945,33930,297,3556,2768,5825,2679,577,1956,27211,13757,1460,2053,2185,22,15304,22718,15964,997,256,55,4979,2546,8340,28230,903,824,394,10357,564,7916,2488,3652,8958,4325,740,46,55,248,4454,10529,15143,30012,74,1265,9462,25338,344,4208,1459,562,12
F009,405,6932,471,71,1445,50,187,10481,3708,31159,3808,6144,1692,17536,70,543,433,2413,2716,1199,1065,10141,7389,683,542,935,13,6750,11305,9565,515,112,25,4436,1384,3297,13777,178,185,95,6069,284,3105,471,1415,7309,4209,705,14,31,117,1601,8961,5392,19473,59,619,4359,18066,90,2384,392,291,1
F010,3109,20010,6147,279,5947,494,2092,15667,16434,3808,122045,13178,8605,53648,360,4223,2818,6665,5689,5154,1242,59359,39748,2405,2550,5318,68,26666,58879,40597,5140,1003,66,13434,4655,27711,57257,1518,1351,285,26719,4357,24725,4881,7252,25293,9359,2772,35,113,262,4923,24472,25159,85147,155,2753,28505,36840,645,12017,1235,3106,11
F011,577,14235,1336,113,4346,79,216,22611,9377,6144,13178,60886,4735,35300,50,1646,1705,4753,3491,1757,1276,19127,14798,1368,1463,2139,28,10053,18693,7608,1221,222,39,5207,2561,4846,32250,1142,670,146,7807,1015,6688,2820,3334,13106,6606,1845,30,40,215,2272,12835,12155,40271,36,895,21670,36598,247,2861,1405,935,10
F012,672,5066,672,58,1681,41,254,6405,2945,1692,8605,4735,27187,14680,67,780,484,672,1484,716,480,11486,6125,410,854,836,6,8532,8673,8875,914,163,16,2446,975,3346,13774,443,603,40,3616,311,3218,1230,1605,2528,1474,433,8,25,86,944,6088,4967,17080,35,470,7861,14654,99,1716,839,314,2
F013,4349,26148,7741,414,19903,651,2389,55691,33930,17536,53648,35300,14680,210391,672,9268,5869,17922,10260,6141,5934,88125,54592,4552,4249,8975,116,54137,79597,75837,2803,1024,114,20323,8390,28787,110460,2177,1941,653,39805,3286,30690,8655,11425,48363,20431,5866,66,157,633,10876,45450,46602,130692,261,4399,68594,93986,1011,16806,5910,3457,18
F014,36,209,57,6,89,10,35,547,297,70,360,50,67,672,1332,58,47,134,30,31,90,526,350,32,39,51,1,264,481,92,30,5,2,64,198,228,527,23,21,8,134,14,220,66,116,307,85,68,2,1,11,220,354,445,557,9,12,297,268,9,251,22,19,0
F015,559,2237,324,30,629,38,205,2855,3556,543,4223,1646,780,9268,58,15105,350,1368,420,308,244,5787,3072,329,320,631,4,3085,6361,5935,183,42,16,1256,486,2611,8070,89,152,48,2867,291,2235,260,512,3538,1504,315,7,7,40,989,2722,3172,9151,30,610,2917,5209,73,811,137,220,0
F016,218,2191,163,20,1087,20,87,2490,2768,433,2818,1705,484,5869,47,350,10329,1244,544,204,358,4154,2295,335,304,443,4,2124,4342,3152,134,34,8,1043,412,1570,4636,111,101,45,2300,150,732,291,540,2002,602,245,1,12,27,613,2177,2150,5322,11,180,1712,3974,41,668,109,97,0
F017,352,5456,971,43,3131,45,207,7078,5825,2413,6665,4753,672,17922,134,1368,1244,30807,1782,550,1481,15276,6997,733,910,1150,17,7989,6263,10633,271,110,40,1844,1322,3805,15494,443,181,102,4904,55,3109,1032,1630,4684,2022,636,14,26,76,1586,8093,7995,17395,27,669,7007,15088,241,2473,988,226,1
F018,102,3513,595,29,1649,21,232,8750,2679,2716,5689,3491,1484,10260,30,420,544,1782,22621,703,291,5138,6672,428,339,953,16,3096,6583,3005,670,80,24,2674,1155,2910,12057,374,107,30,4855,427,3032,929,1437,3997,2042,530,9,13,97,1527,6256,4256,15227,11,110,8624,10663,54,2326,332,300,2
F019,216,2488,536,37,940,17,279,3688,577,1199,5154,1757,716,6141,31,308,204,550,703,13367,230,5248,2363,259,263,607,0,2672,6460,3366,518,71,2,1747,464,2468,5902,117,166,34,2713,576,1941,560,267,2799,1269,205,5,3,60,488,1013,2513,8975,9,212,4090,5601,45,1208,308,209,2
F020,86,1436,347,52,1040,65,35,3717,1956,1065,1242,1276,480,5934,90,244,358,1481,291,230,8894,2745,2297,291,194,315,6,2134,1426,1332,160,38,6,1149,986,1052,4316,178,105,82,1017,113,1180,330,656,1917,634,373,6,22,57,851,2423,2732,2703,7,47,2628,2393,91,1464,336,40,1
F021,2517,29899,8197,216,15573,740,1329,45707,27211,10141,59359,19127,11486,88125,526,5787,4154,15276,5138,5248,2745,169116,42382,2553,3416,6310,76,41771,68532,58614,4464,1305,139,17589,3767,29829,80331,2197,1535,546,25985,3844,31979,5924,7200,37912,15410,4496,67,112,601,7152,34801,39863,107483,164,2875,48364,62438,1026,15256,4199,2787,17
F022,2482,20197,3508,154,8966,178,1625,30435,13757,7389,39748,14798,6125,54592,350,3072,2295,6997,6672,2363,2297,42382,107423,2180,2436,4072,56,24933,40343,33024,3695,950,47,15377,4941,20270,50994,1455,810,393,20242,2765,19332,4158,5714,24397,6010,2891,29,118,472,4881,16217,22053,63571,171,2222,25695,39713,507,11828,1562,1051,4
F023,79,2062,278,29,908,17,22,2609,1460,683,2405,1368,410,4552,32,329,335,733,428,259,291,2553,2180,8214,153,268,5,914,3132,1995,199,59,3,794,305,1539,3987,104,49,27,1491,153,1097,385,602,1436,566,204,3,9,67,797,1789,1441,4155,5,251,2281,2392,17,519,174,108,1
F024,197,2384,246,15,594,32,20,3560,2053,542,2550,1463,854,4249,39,320,304,910,339,263,194,3416,2436,153,9323,285,1,2459,3158,2748,112,44,11,1208,303,1682,4103,95,79,41,1208,102,1573,333,791,1552,844,170,1,11,37,282,1766,1498,3111,11,212,2955,4401,55,532,272,81,1
F025,307,2432,673,33,1277,61,368,4851,2185,935,5318,2139,836,8975,51,631,443,1150,953,607,315,6310,4072,268,285,17421,9,3276,5742,4401,399,233,11,3001,640,3207,9390,238,50,28,2991,367,3251,513,653,4899,956,265,4,9,63,741,3708,2698,10143,15,136,5285,6333,61,2166,219,369,2
F026,3,57,9,2,33,3,2,65,22,13,68,28,6,116,1,4,4,17,16,0,6,76,56,5,1,9,208,47,83,38,10,0,0,43,8,35,87,0,3,1,53,2,13,8,4,66,12,0,0,0,2,28,15,55,84,0,5,31,73,0,23,3,2,0
F027,1666,15763,2498,114,6596,215,1066,27862,15304,6750,26666,10053,8532,54137,264,3085,2124,7989,3096,2672,2134,41771,24933,914,2459,3276,47,94699,36181,42705,1101,500,75,8256,3861,4814,32396,826,1131,132,11793,1083,12901,4223,5302,18645,9382,2929,36,55,148,1680,20253,17897,58063,154,2195,31180,51949,308,5250,2269,1217,17
F028,3504,17490,8283,318,17234,440,2386,39873,22718,11305,58879,18693,8673,79597,481,6361,4342,6263,6583,6460,1426,68532,40343,3132,3158,5742,83,36181,158116,45790,5617,630,139,20889,6261,27547,79253,1298,1627,645,40404,4545,31077,7494,8079,33961,10096,4302,53,142,577,8847,31627,33136,98816,278,2056,39766,61886,664,14252,2665,3897,16
F029,3551,22336,4314,119,11827,261,598,29661,15964,9565,40597,7608,8875,75837,92,5935,3152,10633,3005,3366,1332,58614,33024,1995,2748,4401,38,42705,45790,125824,2007,390,141,6120,3396,15394,51114,800,853,184,10025,1355,19528,4132,5903,25490,14168,2698,32,74,555,3563,25172,29617,83821,198,3530,44482,65823,499,6409,4172,1173,7
F030,101,2439,1027,49,1059,51,155,1946,997,515,5140,1221,914,2803,30,183,134,271,670,518,160,4464,3695,199,112,399,10,1101,5617,2007,10570,68,12,1794,384,3376,4394,224,138,16,2376,644,1887,515,501,2230,915,392,3,15,79,808,1621,1891,7307,18,170,1432,1402,87,717,134,450,3
F031,28,229,96,4,242,17,39,934,256,112,1003,222,163,1024,5,42,34,110,80,71,38,1305,950,59,44,233,0,500,630,390,68,2681,2,485,116,540,1177,84,28,8,378,28,536,76,100,660,313,80,2,3,11,131,643,611,1537,1,27,891,863,9,427,52,20,0
F032,4,39,14,1,24,3,1,51,55,25,66,39,16,114,2,16,8,40,24,2,6,139,47,3,11,11,0,75,139,141,12,2,325,44,15,69,124,1,3,0,41,3,33,16,15,76,32,8,0,0,1,29,77,70,202,1,3,104,140,0,29,5,4,0
F033,1000,8556,2181,136,4485,180,679,16150,4979,4436,13434,5207,2446,20323,64,1256,1043,1844,2674,1747,1149,17589,15377,794,1208,3001,43,8256,20889,6120,1794,485,44,44394,2113,10875,12990,555,446,143,9875,1521,8209,2093,2530,8828,4716,766,4,63,195,2422,10219,10442,16997,39,727,12803,13686,87,5698,1197,945,5
F034,317,2971,535,47,1114,30,40,6248,2546,1384,4655,2561,975,8390,198,486,412,1322,1155,464,986,3767,4941,305,303,640,8,3861,6261,3396,384,116,15,2113,15775,2817,5635,188,212,77,2257,377,2892,464,1169,3010,1088,577,12,14,47,1249,3567,3323,5140,52,282,5209,4442,67,2766,371,172,3
F035,1587,13218,3347,194,6638,309,1163,17633,8340,3297,27711,4846,3346,28787,228,2611,1570,3805,2910,2468,1052,29829,20270,1539,1682,3207,35,4814,27547,15394,3376,540,69,10875,2817,65633,29869,953,809,157,12066,2276,11784,2970,3654,13316,5998,1317,22,86,210,4029,15695,13291,40065,121,2005,19305,12842,264,6120,1450,1701,2
F036,4140,36260,7456,468,18484,564,3117,59421,28230,13777,57257,32250,13774,110460,527,8070,4636,15494,12057,5902,4316,80331,50994,3987,4103,9390,87,32396,79253,51114,4394,1177,124,12990,5635,29869,191641,2814,2169,509,43210,4745,30924,7584,10223,43148,17798,5247,72,121,440,6586,45038,30121,114119,230,4343,58517,86889,349,15464,4661,3647,15
F037,53,1137,211,8,292,22,43,1864,903,178,1518,1142,443,2177,23,89,111,443,374,117,178,2197,1455,104,95,238,0,826,1298,800,224,84,1,555,188,953,2814,5196,54,37,712,97,1038,179,267,1141,421,152,4,4,25,232,992,929,2900,4,87,1515,1549,39,617,123,96,0
F038,13,460,217,19,284,27,55,1425,824,185,1351,670,603,1941,21,152,101,181,107,166,105,1535,810,49,79,50,3,1131,1627,853,138,28,3,446,212,809,2169,54,4115,49,881,101,681,229,212,613,126,112,2,3,4,225,653,996,2106,5,6,959,1392,13,300,54,178,2
F039,23,161,39,0,171,15,5,626,394,95,285,146,40,653,8,48,45,102,30,34,82,546,393,27,41,28,1,132,645,184,16,8,0,143,77,157,509,37,49,1373,402,22,286,49,91,250,147,70,0,1,8,199,299,522,529,1,3,368,247,1,86,27,8,0
F040,1202,12464,3506,240,8522,163,524,24325,10357,6069,26719,7807,3616,39805,134,2867,2300,4904,4855,2713,1017,25985,20242,1491,1208,2991,53,11793,40404,10025,2376,378,41,9875,2257,12066,43210,712,881,402,77947,2860,12994,3874,4668,16462,6619,2521,43,77,247,4341,17587,15121,50746,24,1388,20265,25890,238,5989,1175,1996,5
F041,307,1511,832,62,731,28,253,1633,564,284,4357,1015,311,3286,14,291,150,55,427,576,113,3844,2765,153,102,367,2,1083,4545,1355,644,28,3,1521,377,2276,4745,97,101,22,2860,8967,1706,480,462,1157,432,304,4,26,55,495,1723,1182,5970,14,271,1940,1477,34,858,94,395,0
F042,2000,12932,2746,129,5972,338,1197,20248,7916,3105,24725,6688,3218,30690,220,2235,732,3109,3032,1941,1180,31979,19332,1097,1573,3251,13,12901,31077,19528,1887,536,33,8209,2892,11784,30924,1038,681,286,12994,1706,66510,952,2590,12543,6527,759,21,47,218,3244,11670,14046,41513,125,952,11817,20778,292,6834,1652,914,2
F043,287,3761,403,44,1054,35,232,3627,2488,471,4881,2820,1230,8655,66,260,291,1032,929,560,330,5924,4158,385,333,513,8,4223,7494,4132,515,76,16,2093,464,2970,7584,179,229,49,3874,480,952,16390,1121,2370,1330,407,5,29,58,954,2450,3238,10497,22,362,2931,6990,95,1285,79,400,0
F044,380,5033,690,40,1584,49,248,6882,3652,1415,7252,3334,1605,11425,116,512,540,1630,1437,267,656,7200,5714,602,791,653,4,5302,8079,5903,501,100,15,2530,1169,3654,10223,267,212,91,4668,462,2590,1121,21673,3430,1786,314,6,38,83,989,1634,3902,12458,26,562,5273,8109,162,1889,296,155,1
F045,1143,13135,3787,194,8200,383,1175,15415,8958,7309,25293,13106,2528,48363,307,3538,2002,4684,3997,2799,1917,37912,24397,1436,1552,4899,66,18645,33961,25490,2230,660,76,8828,3010,13316,43148,1141,613,250,16462,1157,12543,2370,3430,85507,9732,2050,38,57,252,4218,18653,17095,53450,82,1356,15136,36621,391,10255,1069,2264,5
F046,682,7290,1181,27,3177,88,564,13721,4325,4209,9359,6606,1474,20431,85,1504,602,2022,2042,1269,634,15410,6010,566,844,956,12,9382,10096,14168,915,313,32,4716,1088,5998,17798,421,126,147,6619,432,6527,1330,1786,9732,39968,1140,16,17,127,1513,8680,9641,25414,48,480,12363,19543,169,3110,645,154,0
F047,208,1895,472,25,1103,34,70,4112,740,705,2772,1845,433,5866,68,315,245,636,530,205,373,4496,2891,204,170,265,0,2929,4302,2698,392,80,8,766,577,1317,5247,152,112,70,2521,304,759,407,314,2050,1140,10970,6,25,30,572,1876,3143,6137,18,270,1682,4411,79,1294,196,228,0
F048,3,31,8,0,16,1,5,43,46,14,35,30,8,66,2,7,1,14,9,5,6,67,29,3,1,4,0,36,53,32,3,2,0,4,12,22,72,4,2,0,43,4,21,5,6,38,16,6,155,0,0,16,43,40,86,0,2,18,25,2,10,4,4,0
F049,5,118,31,6,35,1,6,93,55,31,113,40,25,157,1,7,12,26,13,3,22,112,118,9,11,9,0,55,142,74,15,3,0,63,14,86,121,4,3,1,77,26,47,29,38,57,17,25,0,349,7,35,42,39,151,2,14,72,48,4,48,7,18,0
F050,12,597,64,13,162,1,24,460,248,117,262,215,86,633,11,40,27,76,97,60,57,601,472,67,37,63,2,148,577,555,79,11,1,195,47,210,440,25,4,8,247,55,218,58,83,252,127,30,0,7,1487,75,228,124,850,0,16,349,663,6,145,33,39,0
F051,269,3428,809,62,2699,94,287,5986,4454,1601,4923,2272,944,10876,220,989,613,1586,1527,488,851,7152,4881,797,282,741,28,1680,8847,3563,808,131,29,2422,1249,4029,6586,232,225,199,4341,495,3244,954,989,4218,1513,572,16,35,75,19455,5126,3863,10341,48,481,4115,2586,52,3513,491,258,0
