combination_size,dimensions,fine_clusters,fine_semantic_labels,coarse_clusters,cooccurrence_count,image_prevalence,city_balanced_prevalence,combined_mean_patch_share,cities_with_at_least_10_images,dimension_1,mean_patch_share_1,relative_share_1,dimension_2,mean_patch_share_2,relative_share_2,dimension_3,mean_patch_share_3,relative_share_3,rank_within_size
2,D105|D336,F054|F058,highlighted_lane|shaded alley,C023|C031,184074,0.48591671990243335,0.48594438720570593,0.14600505608547404,30,D105,0.08456739226216253,0.5792086557102188,D336,0.06143766382331152,0.4207913442897812,,,,1
2,D336|D471,F058|F013,shaded alley|tree-lined_driveway,C031|C012,140541,0.3709987381803399,0.3710074239737467,0.10597913253289876,30,D336,0.059720571046955724,0.5635125483633947,D471,0.046258561485943026,0.43648745163660524,,,,2
2,D336|D437,F058|F057,shaded alley|streetlight illumination,C031|C027,129724,0.3424441288428744,0.3421014664338018,0.14085564076699103,30,D336,0.06109210512239801,0.43372139581870905,D437,0.07976353564459301,0.5662786041812908,,,,3
2,D105|D437,F054|F057,highlighted_lane|streetlight illumination,C023|C027,126227,0.33321278291950224,0.3329434261564072,0.16121866129420548,30,D105,0.08370953172636987,0.5192297904869067,D437,0.0775091295678356,0.4807702095130933,,,,4
2,D105|D471,F054|F013,highlighted_lane|tree-lined_driveway,C023|C012,123365,0.32565770369940183,0.3258661167127862,0.12201869845332045,30,D105,0.07662879442702383,0.6280086199767079,D471,0.04538990402629661,0.37199138002329213,,,,5
2,D105|D329,F054|F036,highlighted_lane|pedestrian walk,C023|C024,118473,0.31274385060899956,0.31356859193581316,0.1340529754734438,30,D105,0.07763733991228863,0.5791541712378385,D329,0.056415635561155156,0.4208458287621614,,,,6
2,D329|D336,F036|F058,pedestrian walk|shaded alley,C024|C031,114678,0.3027258472406274,0.3034283209129549,0.11388435979215628,30,D329,0.05669218977289027,0.4978048774770819,D336,0.05719217001926601,0.5021951225229181,,,,7
2,D186|D336,F053|F058,road_marking|shaded alley,C030|C031,103735,0.2738386243525915,0.27323132780421333,0.10025216333219555,30,D186,0.042050387417703866,0.4194461847009297,D336,0.058201775914491695,0.5805538152990704,,,,8
2,D105|D337,F054|F021,highlighted_lane|road_and_building,C023|C017,97672,0.2578335770739511,0.2573465825388585,0.1351010713073828,30,D105,0.09198127301539012,0.6808330394813358,D337,0.043119798291992695,0.3191669605186643,,,,9
2,D106|D336,F027|F058,car_top_heat|shaded alley,C020|C031,96281,0.2541616290672566,0.25323314432481264,0.12112303506169972,30,D106,0.05422944616406611,0.4477219889382873,D336,0.06689358889763361,0.5522780110617127,,,,10
3,D105|D336|D437,F054|F058|F057,highlighted_lane|shaded alley|streetlight illumination,C023|C031|C027,98613,0.26031761954289395,0.2601614472038987,0.22818559750266815,30,D105,0.0851716367238082,0.3732559708235411,D336,0.06339712423559671,0.27783140097111264,D437,0.07961683654326322,0.3489126282053462,1
3,D105|D336|D471,F054|F058|F013,highlighted_lane|shaded alley|tree-lined_driveway,C023|C031|C012,98275,0.2594253704945383,0.2595576105903344,0.18648310914291946,30,D105,0.07850705278295496,0.42098747250501733,D336,0.06254419345962756,0.3353879809655795,D471,0.04543186290033693,0.24362454652940307,2
3,D105|D336|D329,F054|F058|F036,highlighted_lane|shaded alley|pedestrian walk,C023|C031|C024,83492,0.220401353684355,0.22095989411932707,0.1923429423031609,30,D105,0.07866621951803765,0.40898937375122435,D336,0.05858394596280519,0.30458068937340177,D329,0.055092776822318064,0.28642993687537394,3
3,D105|D336|D186,F054|F058|F053,highlighted_lane|shaded alley|road_marking,C023|C031|C030,73370,0.19368139845519483,0.19332962281020385,0.17858693566018474,30,D105,0.07706279049714475,0.43151415422559153,D336,0.06080093070347943,0.34045564687425656,D186,0.04072321445956057,0.22803019890015197,4
3,D105|D336|D106,F054|F058|F027,highlighted_lane|shaded alley|car_top_heat,C023|C031|C020,72799,0.19217407831729222,0.19149948618167315,0.20222973459772237,30,D105,0.07981544655664984,0.3946771067836271,D336,0.06925337615368679,0.34244902853404013,D106,0.05316091188738576,0.26287386468233287,5
3,D105|D336|D337,F054|F058|F021,highlighted_lane|shaded alley|road_and_building,C023|C031|C017,72751,0.19204736839326536,0.19169306417199367,0.19733160270747382,30,D105,0.09367281296925857,0.4746974720928001,D336,0.05925004467292546,0.3002562380277135,D337,0.044408745065289794,0.22504628987948638,6
3,D336|D471|D437,F058|F013|F057,shaded alley|tree-lined_driveway|streetlight illumination,C031|C012|C027,69310,0.18296385071459118,0.18287161816296313,0.1860004887830186,30,D336,0.061779965196293495,0.3321494776734901,D471,0.045081620875157165,0.24237366885496597,D437,0.07913890271156797,0.42547685347154396,7
3,D105|D336|D335,F054|F058|F029,highlighted_lane|shaded alley|electric_bike_parking,C023|C031|C022,69238,0.18277378582855092,0.18277916019397308,0.19700437296730416,30,D105,0.08564078885547691,0.43471516680337996,D336,0.06502408728013577,0.3300641823363357,D335,0.04633949683169146,0.23522065086028418,8
3,D336|D471|D329,F058|F013|F036,shaded alley|tree-lined_driveway|pedestrian walk,C031|C012|C024,67365,0.17782945900142022,0.178185535994578,0.16355674311586135,30,D336,0.05819772576142459,0.35582590269725606,D471,0.048447689028851354,0.29621333921116094,D329,0.05691132832558541,0.34796075809158294,9
3,D105|D471|D437,F054|F013|F057,highlighted_lane|tree-lined_driveway|streetlight illumination,C023|C012|C027,61354,0.1619616808071422,0.16194432338971254,0.20102983821556136,30,D105,0.07849437489896373,0.3904613145775671,D471,0.04446494182638991,0.22118578128044256,D437,0.07807052149020771,0.38835290414199025,10
