dimension_id,available_top1_count,available_top3_count,umap_fit_top1_count,umap_fit_top3_count,high_response_candidate_pool,selected_high_response_representatives,representative_city_count,target_count,quota_satisfied
D000,653,1972,132,373,2000,434,28,100,True
D001,614,1943,88,300,2000,368,30,100,True
D002,1966,4892,300,765,2000,336,28,100,True
D003,880,2564,161,427,2000,393,27,100,True
D004,694,2098,110,343,2000,359,29,100,True
D005,524,1885,94,315,2000,390,26,100,True
D006,492,1629,65,270,2000,370,30,100,True
D007,3038,5694,410,854,2000,322,30,100,True
D008,1519,4081,209,640,2000,381,28,100,True
D009,1430,3616,253,589,2000,377,21,100,True
D010,633,2054,101,320,2000,332,27,100,True
D011,793,2288,141,350,2000,353,29,100,True
D012,267,1088,53,187,2000,384,29,100,True
D013,692,2151,92,313,2000,363,28,100,True
D014,574,1979,111,347,2000,407,27,100,True
D015,1077,3047,213,507,2000,396,27,100,True
D016,819,2388,148,383,2000,346,28,100,True
D017,543,1881,75,292,2000,366,29,100,True
D018,177,840,31,138,2000,355,28,100,True
D019,1358,3494,234,560,2000,378,29,100,True
D020,360,1257,90,225,2000,382,27,100,True
D021,703,2124,103,342,2000,374,29,100,True
D022,653,2085,126,358,2000,380,27,100,True
D023,664,2223,119,382,2000,412,30,100,True
D024,483,1619,111,283,2000,382,30,100,True
D025,398,1436,81,227,2000,350,28,100,True
D026,697,2258,105,359,2000,373,29,100,True
D027,1652,4077,283,656,2000,392,24,100,True
D028,530,1989,89,319,2000,356,28,100,True
D029,2771,5583,434,909,2000,421,17,100,True
D030,699,2469,103,421,2000,385,28,100,True
D031,1239,3346,203,542,2000,375,29,100,True
D032,1037,2685,136,389,2000,328,30,100,True
D033,936,2532,125,414,2000,371,27,100,True
D034,751,2283,103,361,2000,363,30,100,True
D035,473,1666,51,233,2000,348,26,100,True
D036,256,1073,51,186,2000,333,30,100,True
D037,804,2389,111,367,2000,353,29,100,True
D038,1202,3356,216,533,2000,360,25,100,True
D039,875,2697,123,423,2000,374,27,100,True
D040,560,1830,140,330,2000,374,29,100,True
D041,198,831,45,141,2000,345,29,100,True
D042,137,678,35,136,2000,333,27,100,True
D043,900,2650,99,373,2000,329,30,100,True
D044,422,1461,65,190,2000,309,26,100,True
D045,459,1616,68,241,2000,352,29,100,True
D046,1057,3178,139,494,2000,355,29,100,True
D047,788,2418,108,402,2000,395,30,100,True
D048,811,2510,110,367,2000,360,29,100,True
D049,1695,4172,217,638,2000,365,26,100,True
D050,594,1888,140,373,2000,455,21,100,True
D051,957,2601,145,418,2000,357,29,100,True
D052,472,1510,96,273,2000,386,26,100,True
D053,1059,2940,187,465,2000,368,23,100,True
D054,526,1874,91,287,2000,328,27,100,True
D055,1029,3170,123,466,2000,331,25,100,True
D056,534,1913,79,314,2000,387,23,100,True
D057,684,2300,110,343,2000,363,30,100,True
D058,700,2222,83,315,2000,330,30,100,True
D059,500,1718,66,271,2000,366,27,100,True
D060,522,1823,94,272,2000,348,30,100,True
D061,587,2027,74,283,2000,338,30,100,True
D062,1069,3207,154,490,2000,337,26,100,True
D063,347,1381,69,225,2000,362,30,100,True
D064,521,1680,80,235,2000,321,28,100,True
D065,197,840,26,123,2000,344,28,100,True
D066,401,1450,58,235,2000,373,30,100,True
D067,942,2897,166,492,2000,384,28,100,True
D068,927,2750,172,428,2000,378,24,100,True
D069,486,1741,70,238,2000,344,28,100,True
D070,610,1997,74,296,2000,329,30,100,True
D071,654,2146,87,368,2000,388,28,100,True
D072,199,856,33,116,2000,300,26,100,True
D073,2211,4108,341,664,2000,369,30,100,True
D074,348,1272,40,176,2000,326,30,100,True
D075,869,2691,140,422,2000,338,28,100,True
D076,576,1824,118,293,2000,362,29,100,True
D077,880,2415,131,366,2000,321,30,100,True
D078,994,3164,152,491,2000,357,26,100,True
D079,597,2249,135,413,2000,397,27,100,True
D080,257,997,52,162,2000,345,28,100,True
D081,854,2399,129,386,2000,330,30,100,True
D082,816,2416,86,353,2000,362,29,100,True
D083,751,2232,103,341,2000,366,30,100,True
D084,713,2379,106,355,2000,333,29,100,True
D085,874,2766,104,404,2000,328,28,100,True
D086,455,1502,65,243,2000,357,28,100,True
D087,864,2591,114,369,2000,323,26,100,True
D088,1044,2936,185,487,2000,394,28,100,True
D089,385,1496,63,242,2000,349,28,100,True
D090,195,997,26,160,2000,366,30,100,True
D091,1071,3089,203,512,2000,365,28,100,True
D092,205,940,22,147,2000,352,28,100,True
D093,331,1509,43,247,2000,354,25,100,True
D094,885,2516,127,400,2000,353,28,100,True
D095,438,1554,67,216,2000,327,29,100,True
D096,691,2130,77,291,2000,318,29,100,True
D097,488,1796,116,309,2000,404,29,100,True
D098,366,1481,67,220,2000,345,28,100,True
D099,1103,3070,150,444,2000,330,28,100,True
D100,765,2350,86,327,2000,327,29,100,True
D101,807,2427,99,353,2000,332,30,100,True
D102,559,1837,66,258,2000,320,29,100,True
D103,372,1329,47,210,2000,353,30,100,True
D104,650,2123,95,320,2000,336,29,100,True
D105,80,491,23,83,2000,349,29,100,True
D106,220,1174,65,226,2000,365,22,100,True
D107,552,1752,69,257,2000,376,30,100,True
D108,180,799,41,147,2000,337,28,100,True
D109,246,1097,52,178,2000,347,28,100,True
D110,422,1500,71,227,2000,333,29,100,True
D111,538,1753,90,267,2000,332,30,100,True
D112,524,1696,90,272,2000,351,29,100,True
D113,4,64,0,8,2000,320,29,100,True
D114,720,2168,99,340,2000,363,29,100,True
D115,2168,5156,286,716,2000,316,30,100,True
D116,316,1151,42,178,2000,365,30,100,True
D117,780,2314,143,362,2000,358,28,100,True
D118,707,2246,97,349,2000,352,30,100,True
D119,299,1140,90,242,2000,390,26,100,True
D120,1503,3909,224,619,2000,333,28,100,True
D121,1135,3065,190,478,2000,347,29,100,True
D122,310,1294,39,203,2000,391,30,100,True
D123,527,1682,72,242,2000,370,30,100,True
D124,1932,4679,277,826,2000,401,30,100,True
D125,492,1663,88,257,2000,352,30,100,True
D126,999,2863,147,445,2000,350,29,100,True
D127,381,1382,51,201,2000,379,29,100,True
D128,691,2265,125,379,2000,378,30,100,True
D129,730,2233,97,334,2000,338,30,100,True
D130,280,1236,32,180,2000,375,24,100,True
D131,881,2533,139,385,2000,332,29,100,True
D132,585,2099,78,317,2000,383,30,100,True
D133,1346,3222,192,480,2000,340,28,100,True
D134,497,1812,131,338,2000,381,25,100,True
D135,890,2502,132,379,2000,380,30,100,True
D136,130,627,51,144,2000,361,25,100,True
D137,955,2868,122,423,2000,358,29,100,True
D138,174,782,32,127,2000,329,24,100,True
D139,402,1469,76,232,2000,336,28,100,True
D140,988,2644,124,385,2000,353,27,100,True
D141,1747,4340,289,667,2000,345,30,100,True
D142,496,1739,73,277,2000,369,28,100,True
D143,1343,3442,182,507,2000,311,28,100,True
D144,774,2560,158,415,2000,394,26,100,True
D145,529,1781,77,267,2000,366,28,100,True
D146,1379,3255,190,488,2000,353,30,100,True
D147,448,1505,65,225,2000,350,30,100,True
D148,634,2144,152,398,2000,418,25,100,True
D149,802,2563,111,388,2000,340,27,100,True
